word,weight,number_of_words
karya,3,1
keroyok,1,1
tunjang,3,1
jempol,4,1
koordinasi,1,1
renang,1,1
bincang,2,1
pesona,4,1
sahut,1,1
edar,2,1
dandan,4,1
mahir,4,1
pandu,3,1
ken,3,1
pikir,1,1
pindah,1,1
pasuk,2,1
rata,1,1
naik,1,1
labuh,3,1
dapat,2,1
usik,1,1
menang,4,1
guna,1,1
tanya,2,1
pukau,2,1
moga,1,1
neng,5,1
longgar,3,1
zikir,4,1
baring,2,1
pati,3,1
keliru,1,1
kucup,2,1
aku,2,1
bom,1,1
aib,1,1
kerubung,1,1
bangan,2,1
bunga,3,1
boleh,2,1
imbuh,1,1
cengang,1,1
sembahyang,5,1
syukur,5,1
cinta,3,1
jelas,1,1
tingkat,1,1
timba ilmu,4,2
lakon,1,1
rencana,2,1
hendak,1,1
limpah,1,1
kembang,3,1
menung,2,1
tuntut ilmu,4,2
amuk,1,1
irama,4,1
citra,2,1
darat,1,1
jatuh,1,1
sudi,2,1
dievaluasi,5,1
hangat,4,1
selaras,3,1
bangkit,2,1
sir,2,1
banding,3,1
kuat duga,2,2
tumpu,1,1
guru,3,1
langgan,2,1
sinkron,1,1
daftar,1,1
jernih suasana,1,2
lam,3,1
bawa,1,1
benar,2,1
surat takdir,2,2
prasangka,1,1
kuntit,1,1
asosiasi,3,1
jungkal,1,1
tegar,2,1
suguh,2,1
suasana hati,1,2
rumah tangga,2,2
banyak,3,1
dukung,4,1
keluarga,4,1
lengkap,2,1
sedia,2,1
teladan,4,1
inap,2,1
patut,2,1
singsing,3,1
sabar,5,1
timbun,1,1
lanjur,1,1
lapor,2,1
proses,1,1
kuasa,3,1
simpat,4,1
teguh hati,3,2
mata cahari,2,2
heboh,1,1
sempurna,3,1
erti,2,1
cengkeram,1,1
luang,2,1
kirim,2,1
tukar pikir,3,2
ringan,2,1
nyali,4,1
gapai,3,1
nyala,2,1
angkut,1,1
tanggap,3,1
aji,4,1
tanggulang,2,1
coba,2,1
hajat,1,1
aja,1,1
sampai,2,1
bobot,2,1
harga,3,1
kejut,3,1
jalan buka,3,2
timpal,2,1
tongkrong,1,1
ajar,1,1
rindu,2,1
tahu,4,1
isi,2,1
manfaat,5,1
masyhur,4,1
pergi,1,1
mohon diri,2,2
capai,4,1
tata,3,1
kerja,2,1
sokong,3,1
latih diri,4,2
persen,2,1
rasai,1,1
para,2,1
sangkut,2,1
taruh hati,3,2
alam,2,1
selesai,2,1
rusuh,1,1
akar,2,1
sambut,3,1
tulang,2,1
kini,3,1
cerita,2,1
cari ilmu,4,2
ana,2,1
hitung,1,1
tafsir,2,1
laden,3,1
suka,3,1
bingkis,4,1
operasi,1,1
pudar,2,1
ikhtiar,3,1
amal,4,1
gila,3,1
kam,2,1
kucil,1,1
kesah,2,1
ganjar balas,1,2
tinggi,3,1
dahulu,2,1
puji,4,1
mimpi,2,1
denyut,2,1
pemuda,2,1
gambar,2,1
tukar,1,1
hadiah,4,1
telungkup,1,1
pandang,1,1
baik,3,1
tarik,2,1
cakap,2,1
panjat doa,4,2
imbal,1,1
mukim,2,1
kenang,3,1
anugerah,3,1
meni,4,1
mikat,2,1
rengkuh,1,1
jenak,1,1
mulai,1,1
gores,1,1
terima,2,1
sila,1,1
silah,3,1
poin,2,1
bunyi,2,1
telaah,2,1
dansa,3,1
buah,2,1
cepat,3,1
hidang,2,1
selawat,3,1
kesima,4,1
daya guna,4,2
buat,1,1
tiada,1,1
ibadat,4,1
jadi,1,1
layak,3,1
gelincir,1,1
simpul,3,1
mutu,3,1
pengaruh,3,1
bara,2,1
nikmat,3,1
atur,4,1
awat,5,1
redam,1,1
luk,3,1
suplai,2,1
awal,2,1
sembul,1,1
susut,1,1
tuju,3,1
tegur,2,1
tangan,1,1
lupa,1,1
pelamin,4,1
sembur,1,1
biasa,2,1
nila,2,1
asket,2,1
karena allah,2,2
sesal,1,1
tutup mulut,1,2
gelanggang,2,1
hias,3,1
beli,2,1
curiga,1,1
makin,2,1
colok,2,1
cekat,2,1
prihatin,2,1
tanding,2,1
dua,1,1
taat,3,1
damping,1,1
arti,1,1
naik ke pelamin,3,3
tunang,3,1
sanjung,2,1
hujan gerimis,1,2
lebih,1,1
suap,1,1
gelesot,1,1
sayang,3,1
serah,2,1
serunda,2,1
milik,1,1
kuat batin,3,2
tukar akal,1,2
biar,1,1
kualitas,4,1
jual,1,1
sama,3,1
pasang hidup,4,2
cium telapak kaki,1,3
bijak,3,1
dunia,1,1
bagi,2,1
faedah,4,1
ganyang,1,1
raih,2,1
yakin,3,1
bayang,2,1
jaring,3,1
gelora,2,1
lorot,1,1
banting,1,1
uji,1,1
libur,3,1
jawab,3,1
kerabat,3,1
tarik hati,3,2
cadang,2,1
aktif,2,1
gema,1,1
rilis,3,1
saksi,1,1
panjang,2,1
lucu,3,1
gali ilmu,4,2
hayat,3,1
jejal,1,1
arah,1,1
antisipasi,3,1
hidup,2,1
terang,2,1
imla,1,1
minta kpd tuhan,3,3
tetap,3,1
salin,3,1
parade,1,1
konfirmasi,3,1
wujud,2,1
kasih,2,1
dekat,1,1
iktikad,2,1
tunggu dunia,2,2
angsur,1,1
budi pekerti yang baik,3,4
hikmah,2,1
cemplung,1,1
rekam,2,1
buru,1,1
tampil,1,1
bakat,4,1
luas,3,1
pacar,2,1
bakar,1,1
taraf,3,1
bisu,1,1
jalan bebas hambat,2,3
rebut,1,1
cegah,2,1
toreh,1,1
anyar,4,1
gari,3,1
lambung,2,1
batu,2,1
keluang,3,1
lindung,4,1
rinai,1,1
dalam,3,1
bimbing,3,1
cantik,2,1
gentar,1,1
gairah,3,1
lunas kapal,2,2
jago,3,1
dagel,3,1
ramai,3,1
jaga,2,1
semangat,4,1
duli,4,1
beri,2,1
temu,2,1
jeblos,1,1
serempak,3,1
satu,3,1
saji,4,1
fasilitas,2,1
lukis,2,1
tentang,1,1
tutur,3,1
teguh batin,3,2
pantar,1,1
lawas,1,1
lawan,1,1
tumpang tinggal,1,2
pantai,1,1
puas,3,1
tahan,1,1
parkir,1,1
nyaman,4,1
pandai,4,1
tara,2,1
titi,2,1
perata,2,1
kira,2,1
indah,3,1
kenyam,1,1
serta,2,1
bagus,2,1
taksir,3,1
hubung,1,1
kait,1,1
orak senyum,2,2
bahagia,4,1
seragam,1,1
coret,2,1
memperindah,3,1
lebun,3,1
wadak,3,1
lebuk,3,1
sesaji,4,1
merenung,3,1
pengajar,3,1
dikara,3,1
khalis,4,1
putus,3,1
faktitius,3,1
pasang,4,1
memafhumi,3,1
stabilitas,4,1
bapa,3,1
manis,5,1
tekanan jiwa,4,2
tempo-tempo,3,1
berpiuh,3,1
kepatuhan,3,1
anak sekolah,3,2
mempromosikan,3,1
takyin,3,1
ketapak,3,1
kegembiraan,4,1
kunci,3,1
pelanggan,4,1
lancung,3,1
tunas,3,1
tergeleng-geleng,4,1
berkobar-kobar,4,1
bacot,3,1
melakonkan,3,1
mengusili,4,1
ansar,4,1
kelezatan,4,1
binen,3,1
abid,3,1
mengawaki,5,1
belukar,3,1
remeh,4,1
banyolan,3,1
bersendeng,4,1
pertanda,4,1
komplet,3,1
tindakan,3,1
amerta,3,1
analisis,4,1
berlatih,4,1
penundukan,3,1
pengganti,3,1
karyawan,3,1
kondang,5,1
lalu,3,1
kalong,3,1
riasan,3,1
kecong,3,1
dewana,3,1
kesukacitaan,3,1
perwira,4,1
tela,3,1
perpaduan,4,1
sarap,3,1
candrasa,3,1
memegang kitab,4,2
apas,5,1
persesuaian,4,1
kesufian,4,1
meletakkan,4,1
digdaya,4,1
kadang,3,1
merentangkan,3,1
menginginkan,4,1
formasi,3,1
bersagang,4,1
nyata,4,1
prawira,4,1
terbalik akal,3,2
astagfirullah,3,1
kesohor,5,1
mabrur,4,1
harkat,5,1
geger,4,1
jernih,4,1
balasan,3,1
menyusuri,3,1
acuh tak acuh,4,3
berbagai,3,1
inayat,4,1
bantah-bantah,5,1
kadar,5,1
kaji,4,1
derauan,3,1
distribusi,3,1
unggulan,5,1
kebutuhan,4,1
tegap,3,1
menyeberangi,3,1
mulut sungai,4,2
wekel,4,1
tepercaya,3,1
cantum,4,1
berharta,4,1
sakelek,4,1
manja,5,1
memperelok,3,1
fit,4,1
mengizinkan,3,1
widyaiswara,3,1
paduka,4,1
mempersolek,3,1
mengakar,5,1
terdahulu,4,1
berkegiatan,4,1
menghikayatkan,3,1
perserikatan,3,1
penghuni,3,1
cendera,4,1
ugahari,3,1
sohor,4,1
besar akal,4,2
sepatu,3,1
perangsang,3,1
kawakan,5,1
azamat,4,1
sekar,5,1
menggemparkan,4,1
angan,3,1
menurut,4,1
sekah,3,1
meramalkan,3,1
sekam,3,1
bertundangan,3,1
bausuku,3,1
terperinci,3,1
bergantung,4,1
berkesesuaian,3,1
taruhan,3,1
jala,3,1
resam,3,1
Ahad,3,1
bermartabat,4,1
andur,3,1
cerminan,3,1
menghukum,4,1
umur,4,1
duga,3,1
menokok,3,1
lurus,4,1
juak-juak,5,1
pemaafan,5,1
jalan keluar,3,2
berlilit,3,1
fantasi,3,1
makhluk,3,1
rana,4,1
mengalunkan,3,1
bubuh,4,1
andil,4,1
berbagai macam,3,2
gatra,3,1
petah lidah,4,2
tengkuluk,3,1
instingtif,3,1
donatur,3,1
jibilah,4,1
pusaka,4,1
perseptif,3,1
otomatis,3,1
rupawan,5,1
preinan,3,1
absorpsi,3,1
kemangkakan,3,1
warok,3,1
paket,4,1
preseden,4,1
bersanggama,5,1
endut-endut,3,1
eksklusif,4,1
beruntutan,3,1
naik daun,4,2
mata gawai,4,2
melalui,3,1
hayo,4,1
eksplisit,3,1
sinuhun,4,1
penyimpan,3,1
longo,3,1
sosialita,5,1
beruntung,4,1
bulat kata,3,2
hipotetis,3,1
perai,3,1
kemampuan,4,1
fatamorgana,3,1
meledos,3,1
tersungging,5,1
bersambang,4,1
spesialis,4,1
interupsi,3,1
refleks,3,1
penjenang,4,1
dok,4,1
kehadiran,3,1
dol,3,1
metah,4,1
malayari,3,1
maimun,4,1
datar,3,1
melanyak,4,1
berdiam,4,1
gajak,4,1
bisikan,4,1
bakir,4,1
kenduri,4,1
tangkisan,3,1
bersengat,5,1
bain,3,1
delusi,3,1
mencebikkan,4,1
mengeloskan,3,1
menelurkan,3,1
preventif,4,1
capekk,4,1
berguna,5,1
tanya jawab,3,2
stop,3,1
mengimbuhi,3,1
penongkat,3,1
ekstremis,3,1
khayalan,4,1
sosialistis,3,1
tungkak,4,1
kekhususan,3,1
perian,3,1
sauk,3,1
serentak,3,1
panggul,4,1
habis,3,1
gubahan,3,1
bagak,5,1
bagas,5,1
angan-angan,4,1
bertakwa,4,1
mengenang,3,1
menyesali,3,1
awas,4,1
jreng,3,1
kekuatan,3,1
bersahaja,5,1
figur,3,1
beroleh,3,1
perolehan,3,1
mengarifi,3,1
kesebatan,4,1
pemilikan,3,1
gebyar,4,1
sedeng,3,1
kemahiran,4,1
menghinakan,4,1
martabat,5,1
keterikatan,4,1
pionir,3,1
berakidah,4,1
kepentingan,5,1
bernapaskan,3,1
gigil,3,1
trengginas,5,1
pulut,3,1
terbangun,3,1
jaya,4,1
sintal,3,1
lemah,5,1
susah hati,3,2
stupa,4,1
lemas,5,1
jantan,5,1
beranak,3,1
rekaan,3,1
putus kata,4,2
intuitif,3,1
sorongan,4,1
impulsif,3,1
bercermin,4,1
kecerdikan,4,1
inferensi,3,1
berjasa,4,1
sintetis,3,1
ramanda,3,1
intan,3,1
tanggapan,3,1
takrif,3,1
moratorium,3,1
perkiraan,3,1
membenang,4,1
servis,3,1
reksa,3,1
bugar,4,1
silang pendapat,3,2
kakek,3,1
gengsi,4,1
karsa,3,1
menebarkan,3,1
mengesankan,4,1
beristirahat,3,1
kaisar,4,1
pencatat,3,1
bentuk,4,1
angkat,3,1
rais,3,1
atasan,3,1
studi,4,1
fusi,4,1
meluluskan,3,1
tepat guna,4,2
suntuk,5,1
seibu,3,1
kegirangan,3,1
rembukan,3,1
kunyah,3,1
moblong,3,1
percederaan,5,1
terpelajar,4,1
tulen,3,1
mengimbas,3,1
lindu,4,1
lantip,3,1
daya tahan,5,2
bergas,5,1
kepintaran,4,1
cucu Adam,3,2
kepelesiran,3,1
sangkil,4,1
endus,3,1
elu,3,1
pekerja,3,1
mengotot,4,1
cengkauan,3,1
daim,3,1
memesonakan,5,1
keberuntungan,4,1
meriah,3,1
melihat,3,1
kegilaan,3,1
bertanya-tanya,4,1
kegiatan,3,1
pemufakatan,4,1
kimah,5,1
surat tanah,3,2
moral,4,1
kundangan,5,1
salim,4,1
rimba,3,1
keriangan,4,1
estetik,4,1
murid,3,1
runtut,3,1
mendidik,3,1
umi,4,1
sukat,3,1
muktamar,4,1
tanda-tanda,4,1
sunan,4,1
tawarikh,3,1
mengibai,4,1
uraian,3,1
lampu,4,1
efek,3,1
rafi,3,1
transendental,3,1
kicau,3,1
primitif,3,1
sejadah,3,1
terhalang,3,1
produk,3,1
pencedok,3,1
animo,4,1
kejayaan,4,1
duka,4,1
kenikmatan,4,1
sembahyangan,4,1
suam-suam kuku,4,2
peronda,3,1
paya,4,1
pantulan,3,1
panorama,3,1
bernama,4,1
gentas,3,1
samseng,3,1
rela,5,1
talenta,4,1
bangkit selera,3,2
lebih-lebih,4,1
perkomplotan,4,1
tasamuh,5,1
ura-ura,4,1
khas,4,1
pokta,5,1
menistakan,4,1
resep,3,1
teranggar-anggar,3,1
penat,4,1
aneh,4,1
lestari,4,1
ganjaran,5,1
emir,4,1
siswa,3,1
kontributor,3,1
minat,4,1
manjur,4,1
vista,3,1
pendalaman,4,1
tip,4,1
penyantun,4,1
panas,4,1
kepleset,3,1
perhimpunan,3,1
golongan atas,5,2
bertepatan,3,1
mahdi,3,1
mencontoh,4,1
menjahili,4,1
bergamat,4,1
roh,4,1
ketangkasan,4,1
pengharmonisan,3,1
menyerikati,3,1
menggerecoki,4,1
sarju,4,1
anak sasian,3,2
Yang Dipertuan,4,2
bapang,3,1
santer,4,1
kelepasan,3,1
kohesi,4,1
seraya,4,1
jebakan,3,1
menjelang,3,1
wisma,3,1
rusak,3,1
lambuk,3,1
bersumber,4,1
bersimpuh,3,1
kits,5,1
sambatan,4,1
penali,3,1
konsultasi,3,1
bakh,4,1
ordo,3,1
cekel,4,1
orde,3,1
penumpil,3,1
direktur,3,1
berjiwa,3,1
praktis,4,1
santiran,3,1
paket,4,1
denda,3,1
melongo,3,1
akil,4,1
bos,3,1
eka,3,1
hilang,3,1
lakeri,3,1
sebandung,3,1
transparan,3,1
gubris,3,1
berjaya,4,1
prei,3,1
pere,3,1
tersendat,4,1
peri,3,1
ulama,3,1
aya,3,1
bungkusan,4,1
memintasi,3,1
mikroanalisis,3,1
berupaya,3,1
mengikuti,3,1
mengumpulkan,3,1
nirmala,4,1
gampang,4,1
ganduh,3,1
bersama,3,1
berembuk,3,1
terima kasih,5,2
kamil,3,1
kanjang,4,1
perdeo,4,1
berbenak,3,1
menjelajahi,3,1
berakal,4,1
perincian,3,1
taruh,4,1
mau,5,1
drastis,4,1
arketipe,3,1
suci,4,1
berada,4,1
daya gabung,4,2
menghirukkan,4,1
vitalitas,3,1
memanjang,3,1
primbon,3,1
penjelasan,4,1
hamparan,3,1
meributkan,3,1
mustajab,4,1
waduh,4,1
cuti,3,1
kontemporer,3,1
mengasihani,3,1
purusa,4,1
putusan,3,1
kodrat,3,1
beralas,4,1
karimah,4,1
misbah,4,1
menggirangkan melegakan,4,1
nuftah,4,2
inventivitas,3,1
menentu,4,1
cerapan,3,1
prima,3,1
makanan,4,1
cuma-cuma,3,1
intelektual,4,1
zaim,3,1
preferensi,3,1
menghimpunkan,3,1
gombroh,3,1
kecepatan,3,1
pangus,4,1
permanen,5,1
benang raja,3,1
prodeo,4,2
punya nama,4,1
menenangkan,5,2
eja,4,1
sawala,3,1
trauma,3,1
biang keladi,4,1
melipur,3,2
terlibat,4,1
terbukti,3,1
ajal,3,1
menduga,3,1
prediksi,3,1
melampas,3,1
sempena hati,4,1
taksiran,4,2
bolehan,5,1
pengetahuan,4,1
kajian,4,1
tiris,4,1
gusti,3,1
recok,4,1
bianglala,4,1
menating,4,1
bersenandung,3,1
kebisaan,4,1
berprakarsa,4,1
berlibat,3,1
gembur,3,1
kelilipan,5,1
kebesaran,3,1
semarak,4,1
penggede,3,1
berhasrat,3,1
peninggalan,3,1
berpatroli,4,1
sumpah,4,1
timbalan,3,1
membaca,4,1
penanti,4,1
terus-menerus,3,1
pendataan,4,1
simetris,3,1
beber,3,1
membenarkan,3,1
protektor,3,1
berpatokan,3,1
naik pelaminan,4,1
lugu,4,2
ventura,4,1
berbentuk,3,1
pegah,3,1
sero,5,1
polemik,3,1
beraras,3,1
mengeluarkan darah,4,1
gempar,4,2
widita,4,1
kebajikan,4,1
tuntun,4,1
bersender,3,1
mematuhi,4,1
beraturan,4,1
hukum,4,1
mencari akal,3,1
fertil,3,2
besar-besaran,4,1
kusa,3,1
bineka,3,1
wantah,3,1
menganut,3,1
ideal,4,1
meminda,3,1
anakan,4,1
tinggalan,5,1
samun,4,1
mustaid,3,1
solah,3,1
puadai,4,1
bercita rasa,4,1
artian,3,2
mullah,3,1
kesal,3,1
aneka,4,1
rahasia,3,1
ganjar,3,1
adakala,5,1
kemantapan,3,1
pendidik,4,1
dispensasi,3,1
penangkalan,3,1
menganggar,4,1
sublim,3,1
tekanan mental,3,1
mengganjari,4,2
prominen,3,1
disiplin,5,1
kosen,3,1
peleburan,4,1
terjadi,3,1
bilhak,3,1
pestaka,3,1
kincung,4,1
perut,3,1
cumil,3,1
mengerikan,4,1
bekal,4,1
mengecamkan,3,1
bersendel,3,1
traktat,4,1
terjemahan,3,1
pejatian,3,1
infinit,3,1
menyanyi,3,1
mengambil contoh,4,1
mekar,4,2
klien,3,1
sosial,4,1
kempuh,4,1
rupa,5,1
radu,3,1
mengalem,3,1
setujuan,4,1
sembuh,4,1
uluran,4,1
garda,3,1
kincang,3,1
konspirasi,3,1
susuk,4,1
berkedudukan,3,1
pergeseran,4,1
ganti,5,1
cenangkas,3,1
membingkas,3,1
ungkap,3,1
pelesapan,3,1
montok,3,1
ingatan,3,1
pop,3,1
merahimi,5,1
pola,4,1
mengherankan,3,1
anak didik,3,1
dekorasi,3,2
berstatus,5,1
pertumpahan,4,1
terjamin,3,1
eneng,5,1
statis,5,1
berpengalaman,4,1
comel,4,1
celengan,4,1
pekerjaan,3,1
hutan,3,1
berpacangan,3,1
mukibat,3,1
hilir,3,1
menakjubkan,4,1
populer,3,1
keampuhan,5,1
kelapangan,4,1
perubahan,3,1
tanda jasa,4,1
sami,4,2
pas,3,1
licin,3,1
mempunyai,4,1
manila,4,1
bayangan,5,1
bersinar,3,1
atraktif,4,1
riil,4,1
kreativitas,4,1
mengetuk,4,1
naik pelamin,3,1
rekognisi,4,2
genit,5,1
letih,5,1
mengatakan,4,1
mewarnai,3,1
kegirangan keceriaan,4,1
berpamor,4,2
termulia,3,1
khalas,3,1
kaget,3,1
berkaca,3,1
asoi,4,1
sportif,3,1
menolong,3,1
terjadinya,4,1
guntang-guntang,3,1
damar,3,1
momentum,4,1
segar,3,1
memburu,4,1
titip api,3,1
menyegarkan,3,2
dodor,3,1
klasik,3,1
purna,3,1
harga diri,3,1
menerima,3,2
kemufakatan,3,1
ketajaman,3,1
menggegerkan,3,1
mengecilkan,4,1
penghimpunan,4,1
mengalami,3,1
mengumaikan,3,1
serapah,3,1
federasi,4,1
lunak,3,1
sudah,5,1
debuk,3,1
pemajangan,3,1
ilusi,4,1
penyerobotan,3,1
rekan,3,1
fatanah,4,1
kaki tangan,3,1
kelih,4,2
gerakan,4,1
akuan,4,1
pelayanan,3,1
tersem-bunyi,3,1
jelang,5,1
rumput,3,1
pinggul,3,1
simpleks,4,1
nuri,3,1
pembiasaan,3,1
spesialisasi,3,1
kalis,3,1
kemaslahatan,4,1
seremeh,4,1
besar,3,1
seemak,4,1
julat,3,1
penggalian,3,1
pokok,4,1
catu,3,1
nyana,4,1
cebak,3,1
bertumpuk,3,1
sebetulnya,4,1
pendaftaran,4,1
kesemarakan,3,1
berteduh,4,1
fadil,3,1
punia,3,1
berkecambah,4,1
tenaga,3,1
tutuk,3,1
tangsel,3,1
yg dipertuan,3,1
dambaan,4,2
romantis,3,1
monopoli,4,1
interpretasi,3,1
sambung tangan,3,1
ab,4,2
pantat,3,1
wiladah,3,1
mencontohkan,3,1
Sri paduka,4,1
umat,4,2
penderma,3,1
pengenalan,3,1
labiovelar,5,1
penggabungan,4,1
langsung,3,1
kroni,3,1
sregep,4,1
sangka,4,1
menderaikan,3,1
majenun,3,1
cermin,3,1
gol,3,1
rampuh,3,1
kampanye,3,1
berputra,3,1
berseni,3,1
drama ria,4,1
mendeteksi,3,2
ambisi,3,1
tedas,4,1
berahi,3,1
tepa salira,5,1
pengumpulan,5,2
mengira-ngira,3,1
pengurus,3,1
adab,3,1
probabilitas,3,1
vila,3,1
degap,3,1
kesetiaan,3,1
mufaham,3,1
penandasan,3,1
komplemen,3,1
terkemuka,5,1
pelayan,5,1
mahabah,4,1
kegagahan,4,1
bernafsu,4,1
sekali-kali,3,1
menembusi,3,1
binasa,3,1
efisien,3,1
radikalis,4,1
bergigi,3,1
pelit,3,1
uluran tangan,4,1
melicinkan,4,2
mengadunkan,4,1
suasana,3,1
merecoki,4,1
sani,4,1
cempiang,3,1
kujarat,3,1
zakelek,5,1
margrit,4,1
afdal,3,1
meremehkan,3,1
foto,4,1
termasyhur,3,1
mengimbuhkan,4,1
tukar cincin,4,1
betapa,3,2
menambah,4,1
abu,3,1
bersemayam,3,1
panas kuku,4,1
distingtif,4,2
pencegahan,4,1
idaman,4,1
mengacau,3,1
jaswadi,4,1
memukau,3,1
muara,4,1
berbahagia,4,1
samad,4,1
asa,3,1
perhatian,3,1
suplemen,4,1
enakan,5,1
enak,5,1
mendusin,4,1
mewisuda,3,1
mencengangkan,4,1
plong,3,1
kehormatan,5,1
penyerasian,3,1
pemuaian,3,1
pelatih,3,1
berkenaan,4,1
perkumpulan,3,1
isi perut,3,2
tahan lasak,4,2
pemilik,3,1
bergolongan,4,1
bertransaksi,3,1
kreatif,4,1
berkecukupan,4,1
heran,4,1
sangkut-paut,3,1
permukiman,3,1
kejadian,3,1
mendapat,3,1
grahita,3,1
memusingkan,4,1
memprediksi,3,1
sebenarnya,4,1
bercahaya,4,1
menyepelekan,4,1
berkategori,4,1
autentik,3,1
wawancara,3,1
penahan,3,1
dominasi,3,1
memolakan,4,1
menganggap,3,1
melendeh,3,1
pengasuh,3,1
memendam,4,1
prabu,4,1
bapanda,3,1
rotan,4,1
kudus,4,1
berderajat,4,1
sukses,3,1
indah ambang,4,2
gombrong,3,1
menebak,3,1
tanganan,3,1
ya,4,1
rani,4,1
dendam berahi,5,2
gombrang,3,1
kaci,4,1
lembuk,3,1
elegan,4,1
gagah,5,1
penolong,4,1
antusiasme,3,1
amanah,5,1
mengganggu,4,1
energi,3,1
isbat,3,1
menongkat,4,1
cublik,4,1
menggemburkan melambuk,3,2
anggapan,3,1
positif,4,1
bersauh,4,1
nyamleng,5,1
bersaur,3,1
tersengal-sengal,3,1
menumbuk,4,1
pegawai,3,1
mesra,4,1
penunggu,3,1
memalu,3,1
tajam pikiran,4,2
garing,5,1
bersitegang,4,1
intrik,4,1
manggala,3,1
membalas,4,1
permadani,3,1
paparan,3,1
kekekalan,3,1
kredibel,3,1
guar,3,1
gerak hati,4,2
kipu,4,1
bumbu,5,1
kemunculan,3,1
keriaan,3,1
sains,3,1
nian,4,1
kasatmata,4,1
jamik,3,1
keseimbangan,4,1
lebai,4,1
seringai,4,1
berhasil,3,1
terbatas,3,1
definisi,3,1
komplot,4,1
afirmasi,3,1
jamhur,3,1
gres,4,1
gerha,3,1
mengalirkan darah,4,2
dana,4,1
tabung bambu,3,2
tahu aturan,4,2
menerka,3,1
kerukunan,3,1
keterbukaan,5,1
kasual,3,1
teja,4,1
berlagak,4,1
bersayap,4,1
donor,3,1
akomodasi,3,1
tebak,3,1
cegar,4,1
terbayang-bayang,3,1
bertambatan,3,1
menjalani,3,1
keenakan,4,1
asuh,3,1
melewati,3,1
jawara,3,1
rakitan,3,1
suara halus,4,2
rawa,4,1
pengukur,3,1
mempercantik,3,1
dalang,3,1
mengangkat-angkat,4,1
bentukan,3,1
langgeng,4,1
deduksi,3,1
bestari,4,1
ringan tulang,5,2
prasarana,3,1
menyandar,4,1
wasiat,4,1
bisnis,3,1
langkah,4,1
tongkeng,5,1
menguntir,4,1
masakan,3,1
tergantung,3,1
keputusan,4,1
menyapih,4,1
bayang-bayang,3,1
bercokol,3,1
sinkronisasi,3,1
menjelajah,3,1
mencari jalan,3,2
meremas-remas,3,1
terala,3,1
memunculkan,3,1
bermacam-macam,3,1
upa-,4,1
bulang,3,1
kemurahan,4,1
prayojana,3,1
berduit,4,1
biadab,3,1
tajam,4,1
limbukan,3,1
individual,4,1
suguhan,4,1
terkadang,3,1
debat,3,1
kedalaman,3,1
linuhung,3,1
berseri,4,1
korek,4,1
infak,4,1
maskapai,3,1
mengarahkan,3,1
ovum,4,1
ugal-ugalan,3,1
keurusan,4,1
centil,5,1
paradigma,3,1
tempoh,3,1
lentera,4,1
berpilin,3,1
kandis,4,1
selamatan,4,1
andal,5,1
benci,4,1
biduanda,5,1
getas,5,1
desakan,4,1
pelupuk mata,4,2
bertaruk,3,1
konsensus,3,1
meluncurkan,3,1
anteng,4,1
ulasan,3,1
anak Adam,3,2
integrasi,3,1
pendekar,3,1
keperluan,5,1
dikte,3,1
lapang,3,1
berilmu,4,1
spesifikasi,3,1
melantunkan,3,1
meruncing,4,1
dakaik,3,1
desain,4,1
memeluk,4,1
bertunas,3,1
ceri,4,1
berkaitan,3,1
ria,4,1
pertolongan,4,1
simpatisan,3,1
liputan,3,1
singkap,3,1
sembir,4,1
mendandankan,3,1
ihsan,4,1
penegasan,3,1
defensif,4,1
sepele,4,1
bersangga,4,1
peresapan,3,1
selesa,3,1
struktur,3,1
terpuji,4,1
ricuh,3,1
ajudan,4,1
wagu,4,1
mengononkan,3,1
perbaikan,3,1
tabah,5,1
gemi,3,1
tenaga kerja,3,2
pendahuluan,3,1
menghebohkan,4,1
ranum,5,1
lembek,5,1
kejuruan,3,1
lektur,4,1
berbetulan,3,1
sukar,4,1
pilihan,5,1
semu,3,1
rezeki,3,1
baca,3,1
trendi,3,1
kegunaan,4,1
imaji,3,1
bahaduri,4,1
semringah,4,1
wirid,4,1
cokol,4,1
energik,5,1
pemantapan,4,1
makruf,4,1
melisankan,3,1
teraso,4,1
intensi,3,1
gutuk,4,1
terkadang-kadang,3,1
cemerlang,4,1
gambir,3,1
bermakna,4,1
makbul,3,1
jelak,3,1
menyampaikan,3,1
menyebut,3,1
mementingkan,4,1
tokcer,4,1
serbaserbi,3,1
bikinan,3,1
kepiawaian,4,1
penentuan,3,1
nasabah,4,1
segeh,3,1
mengganjar,5,1
terka,3,1
linu,4,1
mahfum,4,1
teguran,3,1
kemas,3,1
tercapai,3,1
lini,4,1
atom,3,1
faal,4,1
berjenis-jenis,3,1
mustakim,4,1
jumpa muka,3,2
malim,3,1
kelimpahan,4,1
mendengungkan,3,1
genial,4,1
alangkah,4,1
spontan,3,1
tolakan,4,1
berkuasa,4,1
tercermin,3,1
mendikte,3,1
keurus,4,1
selera,3,1
jigrah,3,1
bonyok,5,1
kismat,4,1
tangkul,3,1
kreasi,3,1
terbuka mata,4,2
pengandaian,3,1
kapasitas,3,1
berkait,3,1
ciptaan,3,1
hakimah,4,1
akhlak,4,1
menuntun,3,1
lapangan,3,1
mengipasi,3,1
neces,4,1
doktrin,3,1
efektif,5,1
gani,4,1
hulubalang,3,1
arif,4,1
buyung,4,1
