word,weight,number_of_words
special,4,1
obsesi,1,1
sepakat,4,1
bermohon diri,2,2
insentif,3,1
nafkah,3,1
setuju,4,1
curhat,2,1
berproses,1,1
varian,1,1
oke,2,1
kesabaran,5,1
mufakat,4,1
rawat,3,1
mikir,2,1
karunia,4,1
beredar,2,1
rangkap,2,1
tengah,2,1
komisi,3,1
check,1,1
nasi,2,1
serasi,4,1
maklumat,2,1
darurat,1,1
disarankan,1,1
inisiator,3,1
substansial,1,1
luntur,1,1
trima,1,1
berbagi,2,1
kabar,2,1
tiara,3,1
lancar,4,1
lanjutkan,1,1
baik-baik,3,1
pelancar,2,1
say,1,1
ajak,1,1
meminta,1,1
publikasi,2,1
benar-benar,2,1
rasio,1,1
baper,1,1
intensif,2,1
menyembul,1,1
hadir,2,1
muncul,1,1
menukar,1,1
ayunan,3,1
berhati-hati,3,1
kembang-kempis,3,1
hastag,1,1
diskaun,3,1
jumat,2,1
babe,3,1
merapal,1,1
bergetar,1,1
mengerubungi,1,1
bernyanyi,2,1
terperengah,1,1
irit,2,1
bergema,1,1
setir,1,1
penggunaan,1,1
selidik,2,1
penimbunan,1,1
muslim,3,1
merinai,1,1
memindahkan,1,1
swagriya,2,1
memperhitungkan,1,1
lelang,1,1
cuat,2,1
kenangan,3,1
kehebohan,1,1
maksimal,3,1
dipantau,2,1
smartphone,1,1
penabung,3,1
sharing,3,1
tampak,1,1
ngerasain,1,1
jagalah,3,1
penumpukan,1,1
lovers,4,1
gelegak,1,1
nyanyi,3,1
bahas,2,1
pengembangannya,3,1
tertinggi,3,1
lenggang,2,1
monggo,3,1
mengeroyok,1,1
ayun,1,1
aba,2,1
abi,2,1
queen,2,1
ekonomis,3,1
mengangsur,1,1
sebenernya,1,1
refresh,2,1
orang islam,2,2
nice,4,1
ayahanda,1,1
membahas,1,1
menorehkan,1,1
penambahan,2,1
kaitan,1,1
menyembur,1,1
gesek,1,1
geser,1,1
tetap hati,3,2
tercinta,4,1
signifikansi,2,1
sidang,1,1
penggentaran,1,1
definit,2,1
jali,2,1
kekerabatan,3,1
afiliasi,2,1
konkret,3,1
chat,3,1
alim,2,1
fanbase,3,1
reseptor,2,1
maujud,2,1
merah jambu,3,2
komunitas,2,1
eviden,3,1
genah,2,1
sensibel,2,1
coffee,2,1
bernyali besar,3,2
goda,2,1
sparing,3,1
jaringan,3,1
real,2,1
sentuh,1,1
 belajar,3,1
informasinya,2,1
mengaibkan,1,1
membiasakan,2,1
konfirmasinya,3,1
kesimpulan,3,1
berwujud,2,1
pantas mulut,2,2
infonya,2,1
latih,3,1
sweet,3,1
bernyali,4,1
kentara,1,1
banget,1,1
percaya diri,4,2
adzan,3,1
transparansi,2,1
salamat,4,1
dear,2,1
persangkutan,2,1
candang,2,1
anut,2,1
jalanin,2,1
pandai bicara,3,2
pancur,1,1
interaksi,3,1
alim arif,4,2
cakep,5,1
single,3,1
penerima,2,1
langgam,2,1
merah muda,3,2
nyali besar,3,2
nekat,2,1
kesatria,2,1
sungguh-sungguh,2,1
konfirmasikan,3,1
bentur,1,1
determinasi,3,1
medium,2,1
tampilan,1,1
baku,1,1
kubra,2,1
satria,4,1
jentelmen,3,1
relevansi,2,1
penyambut,2,1
faktual,3,1
krim,1,1
melakoni,1,1
jamiah,1,1
esok,1,1
dikasih,2,1
penunggu dunia,2,2
ijab,2,1
menayangkan,2,1
snapback,2,1
pinky,3,1
sejenak,1,1
favorite,4,1
sigap,4,1
membimbingmu,3,1
couple,2,1
syarikat,3,1
penyesuaian,3,1
menghadiahkan,3,1
ikat janji,3,2
dapatkan,2,1
secepatnya,3,1
drum,2,1
tengkurap,2,1
terluang,2,1
nada,2,1
yukk,4,1
berlebih,1,1
tempo,1,1
hostel,1,1
menganugerahi,3,1
rembuk,3,1
pesanggrahan,2,1
pemikiran,1,1
bahasan,1,1
pose,3,1
bertaraf,3,1
penangguhan,3,1
mobil,1,1
care,2,1
baju,2,1
biarkan,1,1
bertekan,1,1
adaptasi,2,1
melayani,3,1
help,2,1
konferensi,2,1
gerak gerik,1,2
menyikap,1,1
pingin,2,1
lompong,1,1
azimat,1,1
penyelarasan,3,1
hamba Allah,3,2
habituasi,1,1
layan,2,1
ciyeee,1,1
senyumnya,3,1
maen,3,1
meladeni,3,1
perbincangan,2,1
merenangi,1,1
kesepakatan,3,1
evaluasi,3,1
menyelami,3,1
forum,2,1
penginapan,2,1
super,3,1
menggores,1,1
kencan,3,1
pengakuan,2,1
imbang,2,1
duluan,2,1
ngobrol,1,1
bismillah,4,1
tekan,1,1
pembahasan,1,1
berkualitas,4,1
ketiadaan,1,1
tandang,1,1
kestabilan,4,1
mengontak,1,1
memarkir,1,1
arung,1,1
cintai,4,1
tayang,3,1
balas,1,1
enjoy,3,1
kuy,1,1
motel,1,1
tengok,2,1
dangkal,1,1
deres,1,1
menelungkup,1,1
mirip,1,1
permufakatan,3,1
booking,2,1
plus,2,1
baiknya,1,1
meniti,2,1
reply,2,1
musyawarah,2,1
bernas,2,1
tambah,3,1
losmen,2,1
kenek,1,1
kerjaan,2,1
tukar pikiran,3,2
teh,1,1
pembeli,2,1
lihat,3,1
hotel,1,1
bertingkat,1,1
berbobot,2,1
perilaku,2,1
menghubungi,1,1
menanggapi,3,1
pengirim,1,1
pengangkut,1,1
rajah,1,1
gerak laku,1,2
setara,2,1
semerbak,2,1
arsitektur,2,1
selayaknya,3,1
rute,2,1
size,1,1
diskon,2,1
erang,1,1
saksama,2,1
konstelasi,2,1
koneksi,2,1
tergelak,4,1
sketsa,2,1
gelagat,1,1
tingkah laku,1,2
maklum,3,1
kebijakan,3,1
sepatutnya,2,1
beranda,1,1
permenungan,2,1
rapal,1,1
kemiripan,2,1
tertawa,5,1
sadar,2,1
berkarya,3,1
sewajarnya,2,1
menegarkan,2,1
great,3,1
menyanjung-sanjung,2,1
membunyikan,2,1
dateng,2,1
merapat,1,1
merata,1,1
antologi,1,1
pengalaman,2,1
rame,2,1
saran,2,1
adil,4,1
fulanah,1,1
coretan,2,1
ketawa,4,1
bertemu,2,1
persamaan,2,1
guruh,2,1
lumayan,1,1
mengembang,1,1
selfie,2,1
album,3,1
kiprah,3,1
dihati,3,1
verbal,1,1
suratan takdir,2,2
stabil,3,1
memuji-muji,4,1
lagak,2,1
terindah,5,1
aksi,2,1
sikap,2,1
terlewat,1,1
menegur,2,1
ngopi,3,1
solo,2,1
teguk,2,1
kalap,1,1
jatah,3,1
engah,1,1
untung,3,1
eaa,1,1
jujur,4,1
keras hati,1,2
koleksi,1,1
pertahanin,1,1
undang,2,1
berdendang,4,1
hoki,3,1
peruntungan,4,1
mantap,5,1
sugesti,2,1
tuah,1,1
patuh,4,1
keaktifan,2,1
melambungkan,2,1
pelajaran,2,1
usul,2,1
tenggang,1,1
sebanding,3,1
getol,2,1
gila-gilaan,2,1
melafalkan,2,1
terjaga,2,1
berserah,2,1
rohaniah,2,1
sepantasnya,2,1
ratu,2,1
mencium telapak kaki,1,3
daya upaya,3,2
setimpal,2,1
pasrah,3,1
buka,3,1
mahal,1,1
bertukar akal,1,2
kepuasan,3,1
mafhum,3,1
siuman,3,1
meluas,2,1
perkembangan,2,1
tekun,4,1
melek,2,1
lupain,1,1
musik,2,1
siapa,1,1
nikmati,3,1
dongeng,3,1
adek,1,1
streng,1,1
akidah,3,1
sponsor,2,1
keliatan,2,1
penunjang,3,1
kerasan,2,1
ketaatan,3,1
pendukung,4,1
telaten,4,1
malu,2,1
suporter,3,1
gempita,4,1
hingar,2,1
ikat,1,1
kontak,2,1
kenyamanan,4,1
kelahiran,3,1
diproses,1,1
penanganan,1,1
maslahat,3,1
ketetapan hati,3,2
solusi,3,1
pacarnya,2,1
homogen,2,1
gepok,2,1
sekolah,3,1
relasi,3,1
peristiwa,2,1
sastra,2,1
wajar,3,1
gegap,2,1
import,2,1
lukisan,2,1
cercah,2,1
lupakan,1,1
dikonfirmasi,3,1
perkasa,4,1
laba,4,1
esai,2,1
sumbu,2,1
iman,3,1
insiden,1,1
slow,1,1
dogmatis,2,1
penyokong,3,1
merilis,3,1
ekspres,3,1
hikmat,3,1
dahsyat,2,1
bersamamu,3,1
cute,5,1
keuntungan,4,1
baiklah,2,1
keteguhan hati,3,2
resolusi,3,1
memudar,2,1
kekuatan batin,3,2
menjadi-jadi,1,1
kumbang,1,1
alot,1,1
persahabatan,4,1
simple,3,1
selengkapnya,1,1
hiruk,1,1
okeey,2,1
deras,2,1
ceritanya,2,1
komunikasi,2,1
dicoba,2,1
dikirim,2,1
kekeliruan,1,1
mancing,2,1
demen,3,1
penyelesaian,2,1
tewas,1,1
proud,5,1
tergila-gila,3,1
voucher,3,1
ngaku,2,1
penanggulangan,2,1
anjir,1,1
keteguhan batin,3,2
perebutan,1,1
berkah,4,1
arak,2,1
kaya,2,1
ngalah,2,1
tulus hati,4,2
mimpian,2,1
team,1,1
silir-semilir,2,1
moga-moga,1,1
yaaaa,1,1
kado,2,1
terimaksih,4,1
berlimpah,1,1
mendarat,1,1
doain,2,1
baby,2,1
challenge,2,1
mulus,4,1
berdansa,3,1
prajurit,2,1
cintaku,4,1
welcome,4,1
mengenal,1,1
berjilbab,3,1
kerinduan,2,1
kalem,4,1
memantai,1,1
nungguin,1,1
game,2,1
leleh,1,1
ampun,1,1
amalan,4,1
tuntas,2,1
temennya,1,1
kukuh,2,1
rida,2,1
kepercayaan,3,1
masjid,3,1
mengucup,2,1
bantuin,3,1
ibadah,4,1
umum,1,1
pelangi,4,1
rejeki,4,1
tunai,3,1
membahagiakan,4,1
quran,3,1
produktif,2,1
alhamdulilah,3,1
rampung,3,1
tertata,3,1
solusinya,3,1
ikhlas,4,1
terbiasa,3,1
shiawase,2,1
kliyengan,1,1
pengaman,2,1
yank,2,1
aamiin,2,1
subur,2,1
gelak,2,1
betul,2,1
religi,1,1
memasuki,2,1
keprihatinan,2,1
nestapa,1,1
khawatir,1,1
masak,2,1
birthday,4,1
khayal,2,1
berparade,1,1
pantes,1,1
rapi,3,1
surau,2,1
dimiliki,1,1
siap,1,1
koordinasikan,1,1
kebanyakan,2,1
goreng,1,1
normal,1,1
tertarik,2,1
mengimbangi,1,1
bersahabat,2,1
sejati,3,1
undangan,1,1
smpai,1,1
mencinta,5,1
kuat,2,1
hati-hati,2,1
menghadiahi,4,1
pseudonim,2,1
mengingat-ingat,2,1
juta,2,1
ustazah,3,1
dicuekin,1,1
judul,2,1
kekayaan,2,1
modal,2,1
pelita,4,1
novel,2,1
cegak,1,1
sahabatnya,3,1
resmi,2,1
mudahan,1,1
sukacita,2,1
formal,2,1
liburan,3,1
pendek,1,1
ingat,2,1
prospek,3,1
gurih,1,1
matahari,2,1
visi,2,1
familiar,2,1
pantas,1,1
ganteng,4,1
jaga-jaga,1,1
menyesal,1,1
substansi,1,1
ganjaran balasan,1,2
