id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1.4888E+18,Wed Feb 02 08:49:46 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Penghentian PTM, Pemkot Depok Tunggu Kebijakan Pusat

Selengkapnya 👇🏻 #PTM https://t.co/qmcrJo8FpR",penghentian ptm pemerintah kota depok tunggu kebijakan pusatselengkapnya,in,0,0,Beritasatu,FALSE,PTM,,Jakarta,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:49:30 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@iHugunil Wkwkwk, padahal baru 2 hari ptm 100%",wkwkwk ptm,in,0,0,headoverhell,,,iHugunil,She/her,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:48:31 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @mouldie_sep: Ada satu sekolah di Bekasi
PTM ditutup pemerintah
Tapi tetep masuk
Ngga usah pake seragam
:(

Kenapa tetep PTM? Karena mos…",sekolah bekasiptm ditutup pemerintahtapi masukngga perlu pakai seragamkenapa ptm mos,in,0,208,chairizkasekar,,,mouldie_sep,Indonesia.,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:48:24 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @airlanggafess: rek -uner ada yg sampe skrg blm ngisi surat persetujuan untuk PTM kah? https://t.co/nyeafM6vGZ,rek uner skarang mengisi surat persetujuan ptm,in,0,1,IklilSalma,FALSE,,airlanggafess,Indonesia,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:48:22 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Bisniscom: PTM 100 Persen di Jakarta Masih Lanjut, Tunggu Arahan Pemerintah Pusat https://t.co/9Duq17kPuC",ptm jakarta tunggu arahan pemerintah pusat,in,0,1,ridwangso,FALSE,,Bisniscom,Bogor,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:48:05 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kalian sekolah masih ptm apa pjj?,sekolah ptm pjj,in,0,0,nananafiaa,,,,,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:48:03 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kasian ade gue, sekolahnya pjj lagi ;( padahal baru beberapa minggu ptm ;(",kasian ade sekolahnya pjj ptm,in,0,0,aaa170721,,,,"Jakarta Utara, DKI Jakarta",
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:48:01 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @mouldie_sep: Ada satu sekolah di Bekasi
PTM ditutup pemerintah
Tapi tetep masuk
Ngga usah pake seragam
:(

Kenapa tetep PTM? Karena mos…",sekolah bekasiptm ditutup pemerintah tapi masuk ngga perlu pakai seragamkenapa ptm mos,in,0,208,idenyaedi,,,mouldie_sep,Nganjuk - Kediri,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:47:48 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@RP1777 enak bgt nit masi ptm,enak bnget nit masi ptm,in,0,0,nesanjayyyy,,,RP1777,,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:47:30 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",wtf baru sebulan ptm 100% udah mau beda sesi sama ayang😔 https://t.co/0yjF8hJQLb,what the fuck sebulan ptm beda sesi sayang,in,0,0,sambattonly,FALSE,,,,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:47:29 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GoodDoggo107: Tidak ada tempat tidur untuk PICU (Pediatric Intensive Care Unit) atau ruang perawatan intensif untuk anak-anak khusus CO…,tidak tidur picu pediatric intensive care unit perawatan intensif anak anak co,in,0,263,x_junkc,,,GoodDoggo107,,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:47:22 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mayan bisa ptm 100% selama ✨2 hari✨ https://t.co/gJsfpC3qqH,mayan ptm,in,0,0,karindjorgie,FALSE,,,,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:47:15 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @mouldie_sep: Ada satu sekolah di Bekasi
PTM ditutup pemerintah
Tapi tetep masuk
Ngga usah pake seragam
:(

Kenapa tetep PTM? Karena mos…",sekolah bekasiptm ditutup pemerintahtapi masukngga perlu pakai seragamkenapa ptm mos,in,0,208,vhe_jun,,,mouldie_sep,"ÜT: -6.2335908,107.0332607",
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:46:17 +0000 2022,"<a href=""http://www.kupastuntas.co"" rel=""nofollow"">kupastuntasnew</a>",Dinas Pendidikan dan Kebudayaan (Disdikbud) Kabupaten Pesawaran menghentikan Pembelajaran Tatap Muka...  #ZonaMerah #SatuKecamatandiPesawaranHentikanPTM #Kupast  https://t.co/RXqFElWigH,dinas pendidikan kebudayaan disdikbud kabupaten pesawaran menghentikan pembelajaran tatap muka,in,0,0,kupastuntasnew,FALSE,"ZonaMerah, SatuKecamatandiPesawaranHentikanPTM, Kupast",,Indonesia,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:45:42 +0000 2022,"<a href=""http://www.republika.co.id"" rel=""nofollow"">roltweet</a>",Hingga saat ini sudah ditemukan 50 kasus positif Covid-19 di klaster PTM di DIY. https://t.co/nmlyMKmeeS,hingga kasus positif covid klaster ptm diy,in,1,0,republikaonline,FALSE,,,"Jakarta, Indonesia",
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:45:41 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lagi"" gak jadi ptm 😪 https://t.co/iVJOcCEJa9",tidak ptm,in,0,0,namericanohrj,FALSE,,,kwangya,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:45:19 +0000 2022,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#Kasus COVID-19 Naik, PTM di 7 Kecamatan di Bogor Disetop Sementara - Detikcom #Covid #Covid19 https://t.co/iK8nwFDq8L",covid ptm kecamatan bogor disetop sementara detikcom,in,0,0,beritacovid,FALSE,"Kasus, Covid, Covid19",,,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:45:08 +0000 2022,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#11 Sekolah di Solo Siswanya Terpapar Covid-19, Dinkes Minta PTM Dihentikan - https://t.co/QsqLsFoH3K - https://t.co/EOkm6FnZW9 #Covid #Covid19 https://t.co/35us4ab0Vu",sekolah solo siswanya terpapar covid dinkes ptm dihentikan,in,0,0,beritacovid,FALSE,"Covid, Covid19",,,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:45:03 +0000 2022,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",#DKI Siapkan Diskresi Soal PTM 100 Persen Jika Kasus Covid-19 di Atas 5 Persen - Tempo #Covid #Covid19 https://t.co/sf3z10gsrf,siapkan diskresi ptm kasus covid tempo,in,0,0,beritacovid,FALSE,"DKI, Covid, Covid19",,,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:44:53 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @mouldie_sep: Ada satu sekolah di Bekasi
PTM ditutup pemerintah
Tapi tetep masuk
Ngga usah pake seragam
:(

Kenapa tetep PTM? Karena mos…",sekolah bekasiptm ditutup pemerintahtapi masukngga perlu pakai seragamkenapa ptm mos,in,0,208,sempoolcrispi,,,mouldie_sep,Malang Kucecwara,
,,,,,,,,,,,,,
