date,original_tweet_text,tweet
Thu Feb 03 16:29:47 +0000 2022,"rasanya 70% pengen ptm soalnya kebutuhan bersosialisasi bisa terpenuhi, tapi 30% diri gue masih males berangkat pagi &amp; kadang capek jg bersosialisasi KEWKWKW",rasanya pengen ptm soalnya kebutuhan bersosialisasi terpenuhi gue males berangkat pagi kadang capek bersosialisasi wkwk
Thu Feb 03 16:29:15 +0000 2022,"RT @vaiyo: Gue udah gak tau lagi nih, gotbener ini orang gila atau orang jahat atau gabungan keduanya? Dia yg buat kebijakan dadakan lewat…",gue sudah gak tau lagi gotbener gila jahat gabungan buat kebijakan dadakan lewat
Thu Feb 03 16:29:03 +0000 2022,"@StopPlandemit @aniesbaswedan bebaskanlah warga jkt utk sekolah PTM,hilangkan kebijakan harus diswab siswa yg PTM,jauhi alat setan itu,toh batuk,pilek,demam,kan mmng pnyakit sdh dri jaman dlu ada,lgian kan virus ini gak bahaya yg bisa bikin org lgsg mati djln2,bijaksanalh jdi pemimpin,stop swab",bebaskanlah warga jkt sekolah ptm hilangkan kebijakan swab siswa ptm jauhi alat setan batuk pilek demam memang penyakit sudah dari jaman ada lagi virus bahaya langsung mati jalan bijaksana jadi pemimpin stop swab
Thu Feb 03 16:28:57 +0000 2022,"@subschfess ptm, bawaannya rajin. ketemu temen juga, materi gampang paham terus ngerasa lebih ""hidup"" aja gitu",ptm bawaannya rajin ketemu temen materi gampang paham ngerasa lebih hidup aja
Thu Feb 03 16:27:53 +0000 2022,"sch! lihatlah jadwal ulangan harian sender buat mingdep iniii huaaaa, mana pas sesi sender gantian ptm😂😭💔 https://t.co/BnEnpF0oqN",lihatlah jadwal ulangan harian sender buat hua sesi sender gantian ptm
Thu Feb 03 16:27:19 +0000 2022,ya allah ptm jangan 100% dong ga kuat sama kehidupan sekolah bikin stress,allah ptm jangan dong ga kuat sama kehidupan sekolah stress
Thu Feb 03 16:27:17 +0000 2022,"@fadlizon PTM itu kewenangan Kepala Daerah (Gubernur/Walikota/Bupati).
Pak @jokowi sdh minta agar 3 propinsi (DKI Jakarta, Jabar dan Banten) stop PTM, tp anehnya @aniesbaswedan justru minta agar Luhut yg mengentikan PTM di DKI Jkt.

Lucu kan..
Mau pasang jebakan betman.

Itu lah Anies.",ptm kewenangan kepala daerah gubernur wali kota bupati sudah minta agar propinsi dki jakarta jabar banten stop ptm anehnya justru minta agar luhut menghentikan ptm dki jkt lucu mau pasang jebakan batman anies
Thu Feb 03 16:27:11 +0000 2022,"Sibuk PJJ puyeng mikirin PTM trs bntr lg US trs ape lagi dah gw puyeng semua lah ini:"") https://t.co/djEMbC3MCw",sibuk pjj puyeng mikirin ptm bentar lagi lagi dah gue puyeng semua
Thu Feb 03 07:20:21 +0000 2022,"Sedikit cerita.
Hari ini bener² argg bgt. PTM 100% kenapa harus sebulan doang si tanggung dikit lagi gua lulus. Mulai pjj tahun lalu mental gua udah ombang ambing eh pas PTM 100% tuh mental udah mulai stabil lagi. Pengen cepet cepet PTM 100% lagi😭😭🙏",sedikit cerita bener argg banget ptm doang tanggung dikit lagi gua lulus mulai pjj lalu mental gua sudah ombang ambing eh ptm mental sudah mulai stabil lagi pengen cepet cepet ptm lagi
Thu Feb 03 16:26:47 +0000 2022,"kali ini setujuu walaupun uang jajan babay gutbay tapi seenggaknya lebih aman, dari pada ptm tapi was was mulu trus jadi parnoan kan serem shay https://t.co/7278YqwCi4",setuju walaupun uang jajan babay gutbay seenggaknya lebih aman dari ptm mulu jadi parno serem say
Thu Feb 03 16:26:43 +0000 2022,"ternyata ptm membuatku lebih sibuk dan keteteran
kerkom,presentasi,ulangan banyak ya bunddd",ternyata ptm membuatku lebih sibuk keteteran kerja kelompok presentasi ulangan banyak bunda
