id,created_at,source,original_tweet,,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:07:07 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@lovelyjohnnyseo hello 🙋🏻‍♀️🙋🏻‍♀️ hari ini kamu ptm/pjj? semangat yaa, sebelum ngelakuin kegiatan jangan lupa berdoa dulu, jangan skip sarapan, jangan lupa mandi juga biar seger 🛀🛀 perbanyak minum air putih, okay? supaya badan sehat 💪🏻💪🏻 have a nice day!! 💐💟💟",,in,0,0,nonosweett,,,lovelyjohnnyseo,️자인,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:07:01 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@lemarkeeu hello 🙋🏻‍♀️🙋🏻‍♀️ hari ini kamu ptm/pjj? semangat yaa, sebelum ngelakuin kegiatan jangan lupa berdoa dulu, jangan skip sarapan, jangan lupa mandi juga biar seger 🛀🛀 perbanyak minum air putih, okay? supaya badan sehat 💪🏻💪🏻 have a nice day!! 💐💟💟",,in,0,0,nonosweett,,,lemarkeeu,️자인,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:06:50 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Jenoleexyz_ hello 🙋🏻‍♀️🙋🏻‍♀️ hari ini kamu ptm/pjj? semangat yaa, sebelum ngelakuin kegiatan jangan lupa berdoa dulu, jangan skip sarapan, jangan lupa mandi juga biar seger 🛀🛀 perbanyak minum air putih, okay? supaya badan sehat 💪🏻💪🏻 have a nice day!! 💐💟💟",,in,0,0,nonosweett,,,Jenoleexyz_,️자인,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:06:48 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@sahiluve aku ptm nanti siang, semangatt!!",,in,0,0,starlvez,,,sahiluve,SHE/HER 06L,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:06:44 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ilyjjeno hello 🙋🏻‍♀️🙋🏻‍♀️ hari ini kamu ptm/pjj? semangat yaa, sebelum ngelakuin kegiatan jangan lupa berdoa dulu, jangan skip sarapan, jangan lupa mandi juga biar seger 🛀🛀 perbanyak minum air putih, okay? supaya badan sehat 💪🏻💪🏻 have a nice day!! 💐💟💟",,in,0,0,nonosweett,,,ilyjjeno,️자인,
,,,,,,,,,,,,,
