,tweet
0,pjj lagi aja deh gak ptm terbatas ptm gua kaget capek dihajar tugas pembagian jadwal
1,sedih mulai sudah mulai ptm terbatas lagi
2,sekolah anak saya tidak ada ptm karena ada vaksin dosis kelas infonya bukan karena lonjakan kasus besok kembali ptm seperti jadwal sebelumnya saya sebagai tua keberatan info serba dadakan dari pihak sekolah
3,ptm sudah capek banget tugas kelompok menerus habis belajar cepet
4,mulai sekolahku ptm terbatas lagi aaaa
5,semangat pagi ptm terbatas
6,horor banget bangun pagi kasih info mulai ptm terbatas
7,semua tergantung tuanya cabut anak suruh daring jika sekolah marah karena anaknya daring laporkan pihak sekolah kepolisi bila perlu kadisdikbudnya laporkan ndak usah repot anak saya walau sekolah wajib ptm sudah tetap daring hak saya sebagai tua
8,sekolah rin balik ptm gegara ada word rin milih buat masuk sekolah karena takut
9,anak saya sd belum saya bolehkan masuk sekolah ptm sedihnya sekolah katanya sudah meniadakan daring karena sudah ptm diperbolehkan enggak ikut ptm dikasih tugas harian saja
10,saya usul tetap ptm argumentasi saya boleh ptm adalah anak sudah divaksin ptm orangtuanya sudah vaksin lengkap protokol kesehatan sekolah diawasi sekolah online memperlihatkan ketimpangan pendidikan parah cukup jangan lagi
11,beberapa lalu saya minta saya agar keponakan saya gak usah ptm minta tugas apapun sama gurunya barusan kasih kabar lebih dari tua melakukan hal sama selamatkan anak anak
12,aku kemaren kemaren sebelum ptm begadang sampai dini semenjak ptm badan jadi capek banget
13,sekolah anak saya ngga berani hentikan ptm sampai kemarin ada anak positif covid sekeluarga ptm dihentikan tapi cuma sementara pejabatnya tenang aja mungkin mikirnya ah kena anak bukan saya
14,kalau pjj makan teratur soalny pulang kmpung ada ibu masak kalau ptm jadi anak kosan males masak mau beli rugi wkwk
15,sekolah anak saya walau anak tidak bersedia vaksin diperbolehkan ptm tidak ada perbedaan
16,sekolah gua sudah kena covid tapi sekolah tetap kekeh buat ptmt kalau sudah libur nunggu tumbal sekolah mau bayar biaya perawatannya kah kalau misalkan kena mau ngegantiin nyawa kalau sampai ada
17,anjir kemarin kakel gua sekarang temen seangkatan gua ada kena cororong untung aja kemarin emak gua ijinin masuk ptm
18,top bu saya begitu diminta isi form vaksin kalau vaksin menjadi syarat ptm anak saya online aja dibilang ada pembelajarn online saya jawab yaa sudah anak keluar ehh dihub agar masuk sekolah setelah sekolah
19,kasian anak pandemi gak punya temen mainnya sama sepupu doang begitu ngaji ptm seneng banget selalu ceria
20,alhamdulillah sekarang sudah normal semenjak ptm lagi sebelum ptm pasti tidur jam gituan
21,lintang belum sekolah sudah mengaji ngajinya semester full ptm semester sebelumnya online
22,anak kelasku banyak gamasuk woe sakit jadi takut ptm
23,ptm pjj mls dah asli
24,tetap ptm walau gak ngerjain tugas
25,pjj santai ptm lebih cepet paham materi
