,tweet
26,aku mau seneng ada ptm jadi ulangan ada ptm karena berita duka ya
27,entah guru guru ptm ngeselin semua ngasik tugas aneh aneh
28,mending ptm
29,sekolah swasta gatau ada mreka ptm hati dah negri
30,suka pjj santai males malesan lama kelamaan bosen pengen ptm biar paham
31,semangat buat lagi ptm jangan aneh aneh sekolah
32,wi semangat aku sebelumnya ptm tiap karena dikelas ada kena covid jadi pjj lagi
33,semoga ptm diberentikan deh kak jakarta sudah sekolah ditutup gegara ada kasus positif
34,iya saya gak ngijinin anak saya vaksin mbak karena anak saya dari kecil sering rawat rs saya gak mau ambil resiko gak tau besok boleh ptm
35,gajadi wkwk ada harapan ptm kalau sampai besok kasus
36,ptm kebanyakan tugasnya kelompok
37,sudah aja awali semangat walaupun sekolah sudah ptm tetap belajar
38,anjing dah siap siap taunya ada ptm
39,aku heran sama sekolah ada kasus kopit sekolahnya tetap adain ptm
40,ptm seindah diharapkan
41,enak banget ptm mau ptm
42,gua kira sudah ptm jam tidurnya bakal berubah ternyata sama ajaa malah makin parah
43,pjj gatau semenjak ptm semangat gua jadi hilang jadi ngga niat
44,kebijakan ptm gak mau ditinjau lagi sekolah anak saya dah ada kejadian sd sma habis ptm keesokannya positif jadi merepotkan semua ikut ptm kena tracing sekeluarga pcr walaupun belum pasti kenanya sekolah jadi cluster
45,wow temen sekolah uda ada positive mericon
46,jika ada positif kena tracing semua lebih baik ptm lanjut daring kemaren anak saya sistemnya begini
47,gue gamau pjj anjing sudah enak banget ptm
48,kalian ada engga sejak ptm rasanya capek bangett bentaran doang sekolahnya
49,ptm belajarnya belum normal balik jam
50,enak ptm way pagi
51,semangat ptm
52,belum full ptm sudah suruh pjj lagi tugas kelompok banyak bener
53,ptm males banget
54,hua aku malah pjj nder huhu gak nyobain ptm malah
55,kalau bangun buat pjj ngantuk banget ptm ngga terlalu
56,ihh bentar lagi ptm aku gak siap bertemu macam ras manusia meskipun aku berasal dari ras terkuat muka bumi read wibu
57,enak anjing gue malah maunya pjj cape banget ptm
58,pjj dong aih malah ptm mulu jaba tugas kelompok wae
59,gak tau semenjak ptm aku jadi lebih males
60,aku pjj hiks pengen ptm
61,ptm tetap diberlakukan namanya nekat
62,awal pjj sudah agak mending masuk sistem absensi ganjil genap ketimbang ptm dilakukan
63,semenjak ptm gue atm nyetor mulu setiap
64,balik pjj lagi sekolah aja ya sekolahku ptm
65,sedih giliran sudah nyaman ptm malah kasus makin banyak
66,aku males banget ptm dah mau tidur
67,gue lagi ptm yaallah nyesek aksa kemana
68,anak kelas sebelah gue kena sembuh biar gue ptm lagi
69,ptm ptm sering sakit gara kecapean
70,halo selamat pagi aku kembali pjj lagi enakan ptm
71,sama katanya masuk ptm lagi
72,nataru dilonggarin sekolah dibuka ptm temen gue story tempat swab sudah rame lagi abis liat
73,temanku males berusaha banget biar ptm sampai chat grup
74,aku ptm tetap kesekolah karena ada kegiatan lain high semangat
75,baca cerita tua curhat tentang kegiatan ptm sekolah anaknya makin makin pusing bener dah nyawa anak dikira
76,ptm walaupun sakit badan materi nemplok kepala
77,ngasih info ptm pagi pagi anjing gua sudah rapih
78,bayangin se kesel aku kemarin libur ngasih tugas aja karena guru pergi sekarang tiba tiba disuruh
79,ptm menyenangkan sampai ulangan pakai kertas
80,ptm gue males jadi akhirnya daring
81,katanya mau pjj lagi dah seruan ptm
82,ptm seru gak seru bangun pagi
83,ptm anjir sangking emosi sampai typo
84,pjj karena setelah ptm aku sadar kalau sekolah bener bener loss prokres
85,ngeri banget jadi takut karena semester nanti mulai ptm
86,ngantuk banget untung ptm
87,capek ptm gak ihh iya
88,lalu sudah gegara kabupaten level omicron jadinya dibuat ptm
89,pjj aja ptm ribet ngga santai tugas makalah hard file
90,ptm hihi semangat
91,jam tidur gue sudah normal lagi semenjak ptm
92,alhamdulillah ptm jangan sampai pjj lagi deh
93,bangun pagi gosok gigi cuci muka ptm lagi
94,semenjak ptm makin jatuh hati sama kafein
95,bersin mulu takut covid parno aja gegara ptm
96,kalian ptm ada istirahatnya aku gaada coba
97,muridnya covid sekolahnya tutup wkwk lucu banget suka banget sama ptm ya
98,ptm aku nambah ilmu lebih dari dibuku internet walaupun agak oot dari materi dipelajari
99,enggak maksudnya feel kalau ptm biasanya gue siapin mata pelajaran sama mandi pagi eh
100,malesnya ptm bocil bangsat mencetin bel rumah gua asu pengen takol
101,kasus harian naik tetap maksain ptm walau terbatas
102,untung dah engga karena dah ptm tidur suka jam
103,yuhu setelah dua pjj rumah balik ptm lagi mari siap siap
104,mls ptm
105,enak ptm full buat anak smk kayak aku sekolah jm sampai jam sore jadi pulang sekolah sudah capek bangett maksain
106,aaa malas banget ptm
107,kayaknya ptm disini bakal distop lagi deh
108,ya lagian ptm langsung jebret anak sekolah mau dijadiin kelinci percobaan omicron
109,ptm nder soalnya materi sama tugasnya lebih ngerti ketimbang pjj abis ptm belajarnya asik soalnya bareng temen
110,asli capek ptm ulangan math indo latihan sore sampai jam lanjut nyicil ngerjain tugas
111,ribet banget coi sudah kebiasa ptm balik lagi
112,nunggu kasus positif ngelonjak kemudian stop ptm heran gak waras
113,kalau gue liat liat sekolah gue batu anjir sudah tau ada kena covid malah lanjut ptm diliburin aja
114,koko semakin banyak cov terdeteksi sekolah imho mas menteri sudah waktunya mengevaluasi ptm
115,ptm enak ngerti materi terlalu banyak tugas kelompok sama individu
116,semenjak ptm gue sering banget tiba tiba kebangun lagi tidur abis reflek nangis ngeluh capek
117,semoga jogja ikut ikutan aduh sudah enak ptm
118,bukan sekolah diterapkan diharuskan malahan seperti dipaksa vaksin buat ptm
119,ptm karena dapat uang jajan jadi paham sama materi lagi pelajari plusnya ketemu mas crush
120,seharusnya tengah naiknya kasus covid varian omicron sementara sekolah kembali online saja nanti kalau sudah landai kasusnya ptm
121,please jangan pjj lagi please pengen ngehabisin tersisa sebelum lulus sebaik mungkin
122,jangan smpe teman kampus terpapar gegara ptm awas sja dibatalkan ptm karena nunggu kena
123,mulai mencium aroma aroma ptm
124,aku nanti pagi ptm belum tidur
125,aku masing ada kurang lebihnya pjj aku jenuh enak jadi lebih cape fisik ptm asik ketemu teman
126,ptm jangan berhenti plis stress gua dirumah tai
127,besok ptm gabisa tidur anjing
128,lebih baik distop sementara melihat kasus penularannya lebih cepat pjj
129,kalau ptm enaknya gue ketemu guru praktek ayey
130,gue gue suka ptm kbm aja gue mau sekolah
131,sumpah gue ptm
132,sumpah kalau dalam dekat gak ptm lagi aku prank banget sama semesta
133,tv katanya ada murid kena weh serem ptm persen
134,ihh besok ptm males banget
135,kampus gua rencananya semester sudah ptm jujur seneng banget degdegan juga karena sudah lama masuk kelas
136,omicron lagi naik naiknya ada pencegahan buat ngga maksain ptm nunggu ada kena
137,kalau ptm penjelasan lebih dipahami tugas dikit karena menekan pemahaman kalau pjj gila tugas
138,ptm soalnya pelajaran lebih meresap
139,sekolahku lagi ngeluh sakit sendi flu batuk sama badan anget sudah banyak ngalamin termasuk aku sendiri ptm
140,semenjak ptm kerjaan gua kalau gak tidur ya ketiduran
141,wkwk biasanya tidur jam segitu kaaa wah enak aku males banget sekarang ptm
142,kemarin ngotot ptm banyak kasusnya covid sekolah sekarang ngumpet ya
143,gue sekolah ptm kayak buat healing ketawa cekikikan rumah belum tentu kayak
144,sudah semester awal ptm full pula tugasnya sama kayak daring bedanya sekrang banyak tugas
145,cape ptm jujur
146,gua msh mau main hp besok ptm
147,speechless sama pemda dki tetap ngotot ptm paling ngotot jakarta lockdown
148,menemukan banyak pelanggaran prokes dalam pelaksanaan ptm persen
149,semenjak ptm jadi stress lagi ada makin stress anjing
150,sama kaya ponakan saya mak dok saya bersikeras ortunya jangan pernah mau vaksin ptm daring aja
151,ya betul sebenarnya pjj enak ptm enak sekarang kasus omicorn lagi naik mending pjj deh ngeri cuy
152,gatau deh masing punya kelebihan gua butuhin pjj uhuas dkk ptm gampang dimengerti
153,kemarin dah kena sekarang ptm lagi
154,way ya audeh nangis besok ptm huhu
155,shift aku lelah banget nget nget sampai sekarang ngerjain tugas kalau pagi ngerjainnya takut selesai
156,aa mau sudah lumayan nyaman ptm bentar otak bodoh lagi
157,ptm gak mau pengen per sesi aja masa setiap hapalan bahasa inggris sama keagamaan pusing
158,berupa teguran sudah ingatkan berkali prokes tidak mungkin diterapkan sekolah sanksi tegas
159,males ngotorin seragam buang bensin soalnya cuma pensi doang jadi ya ngapain mending rumah
160,kayaknya sekolah lain sudah balik pjj lagi sekolah gue tetap ptm aneh
161,kalau punya cewe mending ptm tar biar bucin plek plek plek tiap
162,sekelas positif covid semua kantin sama kopsis sekolah ditutup tetap disuruh ptm
163,pjj karena ptm teman gak asik kalau pjj capek gak kuat ngerjain tugas gak masuk otak kalau
164,lemes bre ptm isinya kerja kelompok praktek laporan presentasi niatnya mau kejar materi malah isinya
165,kalau ptm ganti belajar online trus pelajar vaksin kemarin sampai ada dipaksa
166,awal wow bercandain ptm dadakan awal nyaman ptm walau tugas numpuk numpuk
167,takut nanti pjj lagi jujur sebenernya gue males ptm tugas kelompok banyak banget gue males kalau ngerjainnya online online ribet
168,mau nangis aja sekolahku balik sistem pjj bismillah balik ptm lagi
169,males yakin sama siswa guru buka masker seenaknya ptm
170,hoo kentut ptm kentut kentut
171,aku dengar dari kalian ptm ya tatap muka belajarnya kerjanya belum wfh kasus sudah naik
172,gak punya temen sebangku duduk sendiri karena belum ptm
173,ptm pjj membuatku malas belajar
174,mending turu besok ptm tai kucing
175,yolahh gue seneng pjj lagi ptm lebih seru rasanya
176,enak bener ptm
177,update terkini aku wes mulai bosen ptm
178,sama bayangin ptm tetap dikasih tugas
179,sudah aja awali semangat walaupun sekolah sudah ptm tetap belajar
180,ptm membuatku sibuk
181,es pjj jangan kelamaan kayaknya aku bakal kangen ptm
182,besok ptm males banget pengen bobo
183,sudah seru seru ptm
184,hadeh gue sudah sibuk lagi gegara sekolah sudah ptm bentar lagi wisuda kshakahsa seneng banget wisudanya offline
185,oke aja sekolah aku ptm sudah ada kena soalnya
186,ptm semoga ptm amin
187,belum ptm sekolah lain sudah ada kena omnicorn yaudah yuk pjj lagi wkwk
188,dahlah dari awal sudah tidak yakin ptm bakalan awet
189,jujur lebih suka ptm temen gue beda sesi gue gapunya temen lagi sesi sama kaya sebelumya
190,gaenak kalau ptm selama belajar narik ingus mulu
191,mungkin gara ptm gue sering julid jadi suka lupa pls
192,semenjak ptm gue jadi suka lupa deadline tugas kalau lagi pjj gue inget
193,ayolah hentikan lagi ptm kesehatan semua warga jakarta
194,pjj ptm pahamnya sama aja tapi kurangnya kalau ptm tugas banyak jadi fokus materi
195,baik baik besok aku ptm lagi ihh mls banget
196,anjay besok ptm
197,ptm cape tau ahaha
198,ptm lagi bangsat
199,ptm malah capek banget
200,sekolahku ptm nder dari awal lalu ademm banget kayaknya gak ada kasus covid sama sekali
201,kayak gak konsisten banget pjj ya pjj ptm ya ptm
202,lagi nyamannya ptm
203,gue takut full ptm karena karena tugas tugas sudah baris mau ngejar gue
204,ptm gak enaknya cuma kelompokan
205,harusnya jadi online aaa iya ada seru ptm
206,iyaa capek ptm
207,sama anjir kalau pjj emg banyak banget tugasnya kayak ptm
208,ptm sudah mau remuk anjir badan
209,ptm pelajarannya lebih masuk otak kalau pjj jujur aja guruku jarang banget zoom jadi cuma ngasih materi
210,ptm mending pjj
211,bangsat doain sekolah gue biar pjj males bangun pagi anjing kalau ptm
212,lama gue jadi pengen pjj aja ptm
213,sudah ptm jdi ptmt lagi sialan
214,ada kasus positif sekolah tetap tenang ptm biasa rambut gondrong dicat pulang mas mbak dibenerin rambutnya nggih
215,kembaliin tidurku woi anjir ptm makin banyak aja tugas
216,males besok ptm
217,males banget ptm besok
218,besok sekolah ptm males sampai tulang
219,sekolah mau stop ptm aja ya banyak anak belum usia vaksin
220,semoga pjj sampai ajaran berakhir ya allah gatau gak suka ptm
221,bajingan ptm awal tugas presentasi banyak banget ngentot
222,semangat sekolah meskipun ptm
223,kasus covid meningkat kaji ulang ptm penghentian ptm merupakan opsi lakukan berbasis kajian
224,aku mager sekolah bukan masalah kejepit liburnya cuma aku dari lalu sudah ptm
225,thoughts ada pilihan sebenernya kata aku balik pjj ptm lanjut ptm
226,first ptm setelah hampir lebih cuma sampai jam set lamanya berasa banget sudah kayak setengah
227,sekalian pjj aja soalnya kalau ptm aku asik mood sekolah jadi xixi
228,ptm lagi anjing
229,setengah ptm setengah pjj
230,jogja kembali berlakukan ptm persen setelah beberapa siswa positif semoga segera landai lagi
231,positif jadi jadi ptm sama guru guru jadi lebih sering sidak prokes dadakan
232,pengennya ptm
233,aku sekolah bilangnya dari prov jateng bukan pjj tanya ptm kurangi jadi pjj
234,daring lagi gua ptm belum pernah
235,aku jakarta ptm jadi pjj sisanya ptm sekolah lain
236,deng wkwk mulai besok ptm lagi gue suka ptm really really fun tho
237,sekolah kalbar ptm mungkin kedepannya ptm
238,bekasi dari pusat nder sebenernya ptm balik lagi
239,gatau katanya mau balik ptm
240,ptm menurutku gak efisien sekelas sama jadi pasti ngelanggar prokes kaya gak jaga jarak
241,woi sekolahku tiba tiba jadi ptm persen lagi njir gue sesi anjing
242,sudah seneng ptm tau samoga jadi daring lagi
243,gue gamau pjj gamau ptm maunya ptm aja
244,eh sama gua kalau ptm suka mata pelajaran mtk kimia sama pjok soalnya olahraga sisanya kabur kantin
245,kesel ptm mulai besok
246,mulai ptm lagi
247,sekolah daring lagi sudah nyaman sama ptm setidaknya masuk sekolah
248,mending pjj gasih kalau kaya soalnya kalau ptm sedikit waswas
249,kalau bolehin pjj yaudah jadi aja maksa banget mau ptm
250,balik full pjj pjj sama ptm ptm sudah vaksin dua jadi
251,dom serang ptm untungnya belum ada omongan bakal pjj kalau jangan
252,gatau soalnya dari bukanya ptm sampai kasus sekolah gua semoga
253,aaaaaa besok ptm lagi huhu seru bangett kemarin sudah ptm
254,wih ptm full punya sudah balik lagi
255,kayanya cuma sekolahku jadi deh malang entah bener ngga soalnya sekolahku sekarang
256,aku balik ptm jadi masuknya gantian lagi
257,karena ptm kantin buka kantin tutup alhamdulillah aman aja
258,jujur gue seneng seneng jadi karena full ptm full ptm sudah suruh lagi anjing
259,kalau punyaku besok mulai ptm lagi gak tau
260,eh asik aku jadinya ptm karena sama tetangga ada positif mungkin sekolahku ada
261,pengen ptm lagi
262,sial sekolahku ptm lagi
263,jadi ptm pelajaran produktif aja kayak praktikum sama tambah mtk pjok bk
264,sekolah aku gaada covid ptm deh kalau mah ngeri circle
265,pjj selang seling kak jadi sama jadi ptm pjj aku dapetnya anjir males
266,sudah nyaman ptm mau ptmt huft
267,moots bukan mau nakut nakutin omicron emang cuepet nyebarnya salah teman fb anaknya sd
268,anjing sekolah gak adil banget njir ptm lagi ganjil genap kemarin genap sampai jam besok ganjil
269,balik lagi nder jadi sehari ptm pjj
270,anjir balik lagi ptm
271,sedang merasakan indahnya ptm eh malah ubah jadi ptm tai tai
272,ptm wfh aja selamat dong anak jangan pekerja aja selamatkan
273,gue pengen pjj ptm
274,jogja kembali berlakukan ptm persen setelah beberapa siswa positif semoga segera landai lagi
275,jujur pengen ptm bukan karena gue takut jadi buka masker
276,sekolahku besok mau uji coba pake sistem hybrid ptm pjj karena ada siswa sekolah sebelah
277,sender sudah ptm disesi ya allah sender masuk jam seharusnya sesi jam sesi protes
278,aaaaaaa mau ptm lagi jogja
279,dih anjing ptm lagi
280,iya deh kayaknya sekolah aku jadi banyak izin kelas aku masuk
281,semoga ptm aja
282,hadeh emang serba salah ngadain ptm masa sekarang kalau terusin pjj materi paham ptm cuma
283,memang paling bener ptm full online full offline
284,jujur agak seneng ptm soalnya gajadi penilaian olahraga aku gabisa coy nangis
285,sekolah anakku mulai online kebijadikan ambil karena kepseknya positif adeknya
286,plis ptm lagi kayak jangan
287,ptm setengah hope gak pjj lagi ya
288,sekolah aku ptm semoga jadi gak pjj
289,anak sekolah sudah ptm mohon dipertimbangkan lagi buat ptm dahulu jangan menunggu suatu sekolah
290,sama dom lagi cuma doang aku bersyukur sama sekali ptm malah lebih sedih
291,ptm doang aku jadi mager sekolah
292,stay safe ptm enak banget
293,sekolahku mulai full ptm gara gara omicron mulai lagi
294,aku tipe belajar diskusi aku gapunya temen skusi jadi belajarnya bentar aja
295,penting ptm ditunda kantor wfh wfh lebih
296,sebenernya takut ptm jujur ngga mau pjj anjir gila kalau pjj lagi mending aja
297,ptm kalau ptm main circle kalau sudah ketemu sekelas semua seru jadi mending
298,ptm bentar lama lama pjj amin
299,wah sebetulnya aku ngerti papamu ngga bolehin soalnya omicron emang lagi ngejamur banget
300,prefer karena situasi sepenuhnya memungkinkan aku sudah ptm asli sebenernya enakan ptm materi
301,belum pernah ptm aku pengen ngerasain ptm soalnya temen temen aku kenal ada sesi
302,ptm enak agak sepi
303,awalnya soalnya lebih sedikit lebih tenang ternyata seruan ptm banyak temen kelas saya
304,biar ada istirahat aku suka rame angkatan sekolah ptm
305,semoga besok lagi deh ptm
306,ptm sumpah lebih tenang
307,ptm karena sesi lain banyak masalah gak mau kebawa bawa
308,tergantung kalau mending pjj jadi sekalian semua soalnya kalau setengah daring
309,engga pengennya ptm jadi kaya sekarang soalnya selain karena pandemi tren kasus
310,soalnya kalau ptm fisik kerasa banget capeknya kalau pjj capek mental
311,aku mau ptm mau alias gue dah capek sekali anjir sekolah daring tau lagi
312,enakan ptm tugasnya terlalu banyak pjj enak lebih santai tugasnya video jadi mending
313,kebanyakan kelompok presentasi kalau ptm paham materi kalau pjj
314,kelasku jadi izin ada gara sekolahku balik lagi ptm alhamdulillah aku sudah sembuh
315,ptm soalnya kalau ptm susah bagi
316,ptm sekarang tugas kelompoknya much seringnya kerja sekolah nugas rumah pr
317,sering banget beda pendapat berasa beda kelas bercircle aku ngerasa kurang adil soalnya
318,gamau pengennya ptm cuma kalau gakuat bangett rasanya kelas penuh sekolah penuh
319,soalnya ptm cuma doang kalau asik jadi deh
320,ptm lagi males
321,sekolah gua ptm sekolah lain sudah kasih surat buat pjj sekolah gue belum sekolah gue sudah kayak tahu
322,gue mau cerita kemarin gue ptm kabar baik gue sudah mulai akrab sama temen se sesi gue
323,sebenernya lebih enakan ptm jadi sekalian capek ptm pulangpulang mesti sekolah lagi
324,anak sekolah sdah ptm mohon pe imbangkan lagi buat ptm dahulu jangan menunggu suatu sekolah
325,jika angka kasus jadika semakin naik level ppkm jadi level maka otomatis ptm batasi maksimal persen
326,way sekolah gue emg belum ptm karena kemarin ada positif inimah gue yakin gabakal ptm
327,awalnya mau ptm gue ngeluh karena pasti bakal berisik gue sudah nyaman begitu jadilanin
328,ptm sepi banget gue se sesi sama temen gue ptm rame banget kalau nunggu jemputan
329,ngga ptm cuma abis lagi huhu
330,anak sekolah sdah ptm mohon pe imbangkan lagi buat ptm dahulu jangan menunggu suatu sekolah
331,belum ada info resamai rumornya pro sebelah bakalan pake sistem gilir ptm sampai ut
332,kalau ptm mah mending pjj
333,bener kata tiara kelas stress ptm kalau ptm full coba
334,aku biasanya kemarin ada coba ptm malah pusing nder biasanya sepi krikkrik jadi rameberisik
335,pengen balik ptm lagi tolong
336,karena hampir setengah sudah ptm jadi sudah menyesuaikan diri sama sesi
337,gue jadi terlihat oleh guru soalnya kelasan gua bacot banget babi berisik orangnya cari muka
338,ptm bener efektif menurut gue
339,ptm enak karna materi masuk otak interaksi langsung sama temen guru pjj enak
340,adek aku jadii ptm sekarang karena temannya masalahnya orngnya sekolah kasian sama teman lain
341,menurut aku nggak semenjak ptm tugas hampir berkurang menurut aku kalau pjj tugas karena aman
342,ptm seru bangett capeknya kalau pjj capek langsung tiduran
343,sejujurnya ngga kalau capek kalau gurunya bagi diri secara adil bagi ptm
344,ptm biar deket sama semua teman kelas kalau bagi sesi jadi kenal jadi canggung
345,ptm tidak maunya cuma supaya lebih dekat sama teman teman ikut ptm
346,pengen pengen gue maunya kaya kemarin soalnya semenjadik ptm tugas kelompok gue makin nga
347,persen soalnya temen gua sesi semua gua sesi dua kalau ptm kayak gaenak jadiuh jadiuhan bener duduknya
348,buatku lebih enak ptm
349,sama kayak sekolahku walau ptm ada positif malah sekolahku rencananya mau ptm
350,ptm gua sanggup kayaknya kalau ptm
351,sedih banget masa ptm lagi
352,wkwk gak pengen ptm lagi aja
353,ternyata ada untungnya ptm tiap jadi ikut takut kalau ptm
354,ptm kalau ptm penyampaian materinya ngga sama rata kelas gue jadi sudah ngerasain
355,enakan jelas ptm rumah kaya dongo
356,gamau maunya jadi soalnya lebih fokus anak anak kelas gua ptm berisik banget sampai guru marah
357,yeah ptm alhamdulillah
358,pengen ptm aja jadi tetep ada sesi engga gabung
359,gasih ptm aja
360,mungkin aku tugas ptm ngotak parah
361,sama nder aku ptm nyaman
362,ptm karena rame lebih mudah ngerti materinya
363,sudah semester ptm way semangatt sender semoga nilainya memuaskan
364,ptm sering deg degan setelah ptm jadi enggak paling kadang males jadi kalau ada mata pelajaran
365,sekolahku ptm gak wajib boleh ptm boleh ngga banyak milih gak ptm jadi takut banget
366,berat badan gue biasanya sebenernya felt confident bsegitu badan gue bagus know th
367,sama bgtt beberapa sekolah nerapin pasti ada jadi kena kebijadikan beberapa sekolah langsung pt
368,sudah melakukan daring buat anak walau sekolah memaksakan ptm setelah sebelumnya komitmen sekola
369,yadongg ptm jadi lebih cpet pulangnya yhahhaa iri loe
370,anakku ptm capt online dari rumah
371,menurut saya jangan hentikan ptm persen tetapi pemda
372,makin melonjadiknya kasus harian akibat varian omicron tambah subvarian lbh baik
373,itulah selama status pandemi belum cabut seharusnya sekolah ptm tetap kembalikan keputusan pd
374,ptm pjj wkwkwk alias ptmt lagi
375,jadi seingat saya kalau kasusnya naik ppkmnya naik turun dari persen kalau naik lagi turun
376,beberapa daerah langsung berani ptm dah daerah gue anjr
377,seh aku hampir samaa sekolah full siswa sama guru cuma sehari bersihbersih kela
378,pjj ptm oke kalau
379,jujur pjj lebih efektif ptm jadi efektif
380,saran sangat baik dari perhimpunan penkan guru pg berada ujung tombak penkan semoga gubern
381,seharian isinya sambat mulu ttg tugas sekolah emang secapek pulang ptm jam lanjut kerjadi
382,ahh shit binder catetan mtk gue ketinggalan laci kelas besok sekolah lagi gegara balik lagi ptm
383,hhmmmxfxfxax yth prof ptm siswa pekanbaru samap
384,kayaknya otomatis liburin dehh tetep ptm soalnya tempetku gituu stay safe waa
385,susah hindari dok bekasi ptm wfo
386,sebagai ibuk suka memantau kepatuhan prokes sekolah aktif memantau kesiplinan nakes
387,sebagai ibuk suka memantau kepatuhan prokes sekolah aktif memantau kesiplin
388,tiga siswa terpapar covid ptm turun persen via
389,stress ptm mau back
390,jangan sampai minimal mah ptm sisanya pjj jangan terusan pjj anjir
391,gaada nder aku ptm
392,kasus covid kembali melonjadik asosiasi guru desak ptm cukup persen
393,iya aku denger antara ada ptm ptm
394,liat lapangan pelaksanaan aslinya kayak tiap balik sekolah ruwet kayak
395,sama banget sudah ptm sekarang pjj ptm
396,sekolah rin balik ptm gegara ada word rin milih buat masuk sekolah karena takut
397,lalu sudah gegara kabupaten level omicron jadinya buat ptm
398,aku masing ada kurang lebihnya pjj aku jenuh enak jadi lebih cape fisik ptm asik ketemu teman
399,males ptm nder mending pjj dah
400,ptm nder kelas sama gantian masuknya per sudah bagi dua sesi selang seling sehari
401,jujur lebih suka ptm temen gue beda sesi gue gapunya temen lagi sesi sama kaya gue
402,sender pengen pjj pengen ptm
403,sekolah sender mau balik ptm lagi huhu sudah enak full
404,evaluasi ketentuannya kalau level katanya balai kota dki jadika sumbe
405,kuliah ptm terbatas sedangkan tingkatan paud tk jelas ngatur ri
406,anak anak sekolah jakarta rada khawatir karena ptm full kasus covid lagi
407,deh suka ptm karna ketemu crush pjj karna seru rumah beljadir
408,assalamualaikum sehubungan naik angka covid dki apakah layak ptm sementara
409,ngajadir sumpah capek banget wes mending entah semua pjj semua ptm asal jangan separoh
410,ptm kasus sudah tambah begini ko ptm lanjutkankasian anak sement
411,kalau stop minimal jadi ptm
412,besok gua ptm lagi anjir menggabut
413,guyss doain daerah tetap safe yaa biar sekolahku tetep jadilann walau cuma penting tetep ptm
414,ptm asik
415,bekasi ketularan kayanya nanti ptm pula sudah suruh belajar dari rumah lagi jadi karena ada guru positif
416,ketentuannya kalau ppkm level ptm turunkan jadi persen kata riza
417,ptm soalnya kalau menurutku kondusif banget kelasku benerbener serame
418,kalau ptm kemarin cepet gegara mata kuliah doang jadiin ptm cuma sks sksnya lagi sisa tetep daring
419,pjj kemarin ptm enak sekarang gaenak cape
420,ptm menjadi resiko penyebaran omicron anak terdampak
421,alias gue sudah pewe banget sama ptm
422,katanya mau ptm lagi wkwk ngabrut ngakak brutal
423,emang sudah bener ptm deh ujung ujungnya bakal pjj semua lagi
424,oiya gue soalnya lgi sekolah onlen klian sudah ptm ptm
425,sudah ptm jadii kaya ptm pjj gituu
