clean_tweet,sentiment_result
semenjak ptm makin jatuh hati sama kafein,8
bersin mulu takut covid parno aja gegara ptm,1
kalian ptm ada istirahatnya aku gaada coba,5
muridnya covid sekolahnya tutup wkwk lucu banget suka banget sama ptm ya,12
ptm aku nambah ilmu lebih dari dibuku internet walaupun agak oot dari materi dipelajari,-3
enggak maksudnya feel kalau ptm biasanya gue siapin mata pelajaran sama mandi pagi eh,0
malesnya ptm bocil bangsat pada mencetin bel rumah gua asu pengen takol,-11
kasus harian naik tetap maksain ptm walau terbatas,-3
untung dah engga karena dah ptm tidur suka jam,-1
yuhu setelah dua pjj rumah balik ptm lagi mari siap siap,5
mls ptm,-4
ga enak ptm full buat anak smk kayak aku sekolah jm sampai jam sore jadi pulang sekolah sudah capek bangett maksain,0
aaa malas banget ptm,-2
kayaknya ptm disini bakal distop lagi deh,-5
ya lagian ptm langsung jebret anak sekolah mau dijadiin kelinci percobaan omicron,9
ptm nder soalnya materi sama tugasnya lebih ngerti ketimbang pjj abis ptm belajarnya asik soalnya bareng temen,11
asli capek ptm ulangan math indo latihan sore sampai jam lanjut nyicil ngerjain tugas,-7
ribet banget coi sudah kebiasa ptm balik lagi,-3
nunggu kasus positif ngelonjak kemudian stop ptm heran gak waras,5
kalau gue liat liat sekolah gue batu anjir sudah tau ada kena covid malah lanjut ptm diliburin aja,6
koko semakin banyak cov terdeteksi di sekolah imho mas menteri sudah waktunya mengevaluasi ptm,13
ptm enak ngerti materi terlalu banyak tugas kelompok sama individu,4
semenjak ptm gue sering banget tiba tiba kebangun lagi tidur abis reflek nangis ngeluh capek,-11
semoga jogja ga ikut ikutan aduh udah enak ptm,13
bukan sekolah diterapkan diharuskan malahan seperti dipaksa vaksin buat ptm,-7
ptm karena dapat uang jajan jadi paham sama materi lagi pelajari plusnya ketemu mas crush,1
seharusnya tengah naiknya kasus covid varian omicron sementara sekolah kembali online saja nanti kalau sudah landai kasusnya ptm,-5
please jangan pjj lagi please pengen ngehabisin tersisa sebelum lulus sebaik mungkin,2
jangan smpe tmn kampus terpapar gegara ptm awas sja dibatalkan ptm karena nunggu kena dulu,-7
mulai mencium aroma aroma ptm,-2
aku nanti pagi ptm belum tidur,4
aku masing ada kurang lebihnya pjj aku jenuh enak jadi lebih ga cape fisik ptm asik ketemu teman,24
ptm jangan berhenti plis stress gua dirumah tai,-19
besok ptm gabisa tidur anjing,-1
lebih baik distop sementara melihat kasus penularannya lebih cepat pjj,1
kalau ptm enaknya gue ketemu guru praktek ayey,-1
gue gue suka ptm kbm aja gue mau sekolah,0
sumpah ga gue ga ptm,8
sumpah kalau dalam dekat gak ptm lagi aku prank banget sama semesta,11
tv katanya ada murid kena weh serem ptm persen,0
ihh besok ptm males banget,-8
kampus gua rencananya semester depan sudah ptm jujur seneng banget degdegan jg karena udah lama ga masuk kelas,1
omicron lagi naik naiknya ga ada pencegahan buat ngga maksain ptm dulu ga nunggu ada kena dulu,-8
kalau ptm penjelasan lebih dipahami tugas dikit karena menekan pemahaman kalau pjj gila tugas,-7
ptm soalnya pelajaran lebih meresap,2
sekolahku lagi ngeluh sakit sendi flu batuk sama badan anget sudah banyak ngalamin termasuk aku sendiri ptm,-16
semenjak ptm kerjaan gua kalau gak tidur ya ketiduran,-5
wkwk biasanya tidur jam segitu kaaa wah enak aku males banget sekarang ptm,7
kemarin ngotot ptm banyak kasusnya covid di sekolah sekarang ngumpet ya,6
gue sekolah ptm kayak buat healing ketawa cekikikan di rumah belum tentu kayak,1
udah semester awal ptm full pula tugasnya sama kayak daring bedanya sekrang banyak tugas,4
cape ptm jujur,0
gua msh mau main hp besok ptm,3
speechless sama pemda dki tetap ngotot ptm paling ngotot jakarta lockdown,-2
menemukan banyak pelanggaran prokes dalam pelaksanaan ptm persen,7
semenjak ptm jadi ga stress lagi ada makin stress anjing,11
sama kaya ponakan saya mak dok saya bersikeras ortunya jangan pernah mau vaksin ptm daring aja,3
ya betul sebenarnya pjj enak ptm enak sekarang kasus omicorn lagi naik mending pjj dulu deh ngeri cuy,12
gatau deh masing punya kelebihan gua butuhin pjj uhuas dkk ptm gampang dimengerti,-1
kemarin dah kena sekarang ptm lagi,-8
way ya audeh nangis besok ptm huhu,-1
shift aku lelah banget nget nget sampai sekarang ngerjain tugas kalau pagi ngerjainnya takut ga selesai,5
aa mau udah lumayan nyaman ptm bentar otak bodoh lagi,6
depan ptm gak mau pengen per sesi aja masa setiap hapalan bahasa inggris sama keagamaan pusing,-6
berupa teguran sudah ingatkan berkali prokes tidak mungkin diterapkan sekolah sanksi tegas,7
males ngotorin seragam buang bensin soalnya cuma pensi doang jadi ya ngapain mending rumah,1
kayaknya sekolah lain sudah balik pjj lagi sekolah gue tetap ptm aneh,2
kalau punya cewe mending ptm tar biar bucin plek plek plek tiap,5
sekelas positif covid semua kantin sama kopsis sekolah ditutup tetap disuruh ptm,5
pjj karena ptm teman gak asik kalau pjj capek gak kuat ngerjain tugas gak masuk otak kalau,-13
lemes bre ptm isinya kerja kelompok praktek laporan presentasi niatnya mau kejar materi malah isinya,-14
kalau ptm di ganti belajar online trus pelajar vaksin kemarin sampai ada dipaksa,7
awal wow bercandain ptm dadakan awal nyaman ptm walau tugas numpuk numpuk,-4
takut nanti pjj lagi jujur sebenernya gue males ptm tugas kelompok banyak banget gue males kalau ngerjainnya online online ribet,-20
mau nangis aja sekolahku balik sistem pjj bismillah balik ptm lagi,-6
males yakin sama siswa guru buka masker seenaknya ptm,7
hoo kentut ptm kentut kentut,-6
aku dengar dari kalian ptm ya tatap muka belajarnya kerjanya belum wfh kasus sudah naik,5
gak punya temen sebangku duduk sendiri karena belum ptm,-10
ptm pjj membuatku malas belajar,-3
mending turu besok ptm tai kucing,-3
yolahh gue seneng pjj lagi ptm lebih seru rasanya,5
enak bener ptm,8
update terkini aku wes mulai bosen ptm,2
sama bayangin ptm tetap dikasih tugas,7
sudah aja awali semangat walaupun sekolah sudah ptm tetap belajar,21
ptm membuatku sibuk,4
es pjj jangan kelamaan kayaknya aku bakal kangen ptm,-4
besok ptm males banget pengen bobo,0
udah seru seru ptm,10
hadeh gue sudah sibuk lagi gegara sekolah sudah ptm bentar lagi wisuda kshakahsa seneng banget wisudanya offline,8
oke aja sekolah aku ptm udah ada kena soalnya,8
ptm semoga ptm amin,3
belum ptm sekolah lain sudah ada kena omnicorn yaudah yuk pjj lagi wkwk,8
dahlah dari awal sudah tidak yakin ptm bakalan awet,0
jujur lebih suka ptm tapi temen gue beda sesi gue gapunya temen lagi di sesi sama kaya sebelumya,0
gaenak kalau ptm selama belajar narik ingus mulu,-2
mungkin gara ptm gue sering julid jadi suka lupa pls,1
semenjak ptm gue jadi suka lupa deadline tugas kalau lagi pjj gue inget,-7
ayolah hentikan lagi ptm kesehatan semua warga jakarta,-5
pjj ptm pahamnya sama aja tp kurangnya kalau ptm tugas banyak jadi fokus materi,9
baik baik besok aku ptm lagi ihh mls banget,-2
anjay besok ptm,-3
ptm cape tau ahaha,-8
ptm lagi bangsat,-7
ptm malah capek banget,-3
sekolahku ptm nder dari awal lalu ademm banget kayaknya gak ada kasus covid sama sekali,-8
kayak gak konsisten banget pjj ya pjj ptm ya ptm,6
lagi nyamannya ptm,-2
gue takut full ptm karena karena tugas tugas sudah baris mau ngejar gue,-7
ptm gak enaknya cuma pas kelompokan,0
harusnya jadi online aaa iya ada seru ptm,10
iyaa capek ptm,-4
sama anjir kalau pjj emg banyak banget tugasnya kayak ptm,3
ptm sudah mau remuk anjir badan,4
ptm pelajarannya lebih masuk otak kalau pjj jujur aja guruku jarang banget zoom jadi cuma ngasih materi,7
ptm mending pjj,2
bangsat doain sekolah gue biar pjj males bangun pagi anjing kalau ptm,-11
lama gue jadi pengen pjj aja ptm,-3
sudah ptm jdi ptmt lagi sialan,-2
ada kasus positif sekolah tetap tenang ptm biasa rambut gondrong dicat pulang dulu mas mbak dibenerin dulu rambutnya nggih,16
kembaliin tidurku woi anjir ptm makin banyak aja tugas,6
males besok ptm,-4
males banget ptm besok,-3
besok sekolah ptm males sampai tulang,3
sekolah mau stop ptm aja ya banyak anak belum usia vaksin,16
semoga pjj sampai tahun ajaran berakhir ya allah gatau gak suka ptm,7
bajingan ptm baru awal tugas presentasi banyak banget ngentot,-9
semangat sekolah meskipun ptm,5
kasus covid meningkat kaji ulang ptm penghentian ptm merupakan opsi lakukan berbasis kajian,3
aku mager sekolah bukan masalah kejepit liburnya cuma aku dari lalu sudah ptm,3
thoughts ada pilihan sebenernya kata aku balik pjj ptm lanjut ptm,10
first ptm setelah hampir lebih cuma sampai jam set lamanya berasa banget udah kayak setengah,-8
sekalian pjj aja soalnya kalau ptm aku asik ga mood sekolah jadi xixi,7
ptm lagi anjing,-6
setengah ptm setengah pjj,-8
 jogja kembali berlakukan ptm persen setelah beberapa siswa positif semoga segera landai lagi,10
positif jadi terus jadi ptm sama guru guru jadi lebih sering sidak prokes dadakan,20
pengennya ptm,0
aku sekolah bilangnya dari prov jateng bukan pjj tanya ptm kurangi jadi pjj,3
daring lagi gua ptm belum pernah,-6
aku jakarta ptm ga jadi pjj sisanya ptm sekolah lain,0
ga deng wkwk mulai besok ptm lagi gue suka ptm really really fun tho,-2
sekolah kalbar ptm mungkin kedepannya ptm,7
bekasi dari pusat nder sebenernya ptm balik lagi,-6
gatau katanya mau balik ptm,0
ptm menurutku gak efisien sekelas sama jadi pasti ngelanggar prokes kaya gak jaga jarak,4
woi sekolahku tiba tiba jadi ptm persen lagi njir gue ga sesi anjing,-10
sudah seneng ptm tau bikin samoga jadi daring lagi,5
gue gamau pjj gamau ptm maunya ptm aja,-12
eh sama gua kalau ptm suka mata pelajaran mtk kimia sama pjok soalnya olahraga sisanya kabur kantin,-2
kesel ptm mulai besok,-4
mulai ptm lagi,-1
sekolah daring lagi udah nyaman sama ptm setidaknya masuk sekolah,8
mending pjj gasih kalau kaya soalnya kalau ptm sedikit waswas,-2
kalau ga bolehin pjj yaudah jadi aja maksa banget mau ptm,3
balik full pjj atau pjj sama ptm ptm udah vaksin dua jadi,2
dom serang ptm untungnya belum ada omongan bakal pjj kalau jangan,-6
gatau soalnya dari bukanya ptm sampai kasus sekolah gua semoga,-11
aaaaaa besok ptm lagi huhu ga seru bangett kemarin udah ptm,-9
wih ptm full punya udah balik lagi,-2
kayanya cuma sekolahku jadi deh malang entah bener ngga soalnya sekolahku sekarang,-6
aku balik ptm jadi masuknya gantian lagi,-2
karena ptm kantin buka kantin tutup alhamdulillah aman aja,-4
jujur gue seneng seneng jadi karena full ptm full ptm udah suruh lagi anjing,-1
kalau punyaku besok mulai ptm lagi gak tau,2
eh asik aku jadinya ptm karena sama tetangga ada positif mungkin  sekolahku ada,21
pengen ptm lagi,1
sial sekolahku ptm lagi,-6
jadi ptm pelajaran produktif aja kayak praktikum sama tambah mtk pjok bk,9
sekolah aku gaada covid ptm terus deh kalau mah ngeri circle,-3
pjj selang seling kak jadi sama jadi ptm pjj aku dapetnya anjir males,4
sudah nyaman ptm mau ptmt huft,14
moots bukan mau nakut nakutin omicron emang cuepet nyebarnya salah teman  fb anaknya sd,-6
anjing sekolah gak adil banget njir ptm lagi ganjil genap kemarin genap sampai jam terus besok ganjil,-5
balik lagi nder jadi sehari ptm pjj,-4
anjir balik lagi ptm,-4
sedang merasakan indahnya ptm eh malah ubah jadi ptm tai tai,-9
ptm wfh aja selamat dong anak jangan pekerja aja selamatkan,5
gue pengen pjj ptm,-1
jogja kembali berlakukan ptm persen setelah beberapa siswa positif semoga segera landai lagi,10
jujur pengen ptm bukan karena gue takut jadi buka masker,12
sekolahku besok mau uji coba pake sistem hybrid ptm pjj karena ada siswa sekolah sebelah,7
sender sudah ptm disesi ya allah sender masuk jam seharusnya sesi jam sesi protes,8
aaaaaaa mau ptm lagi jogja,3
dih anjing ptm lagi,-6
iya deh kayaknya  sekolah aku jadi banyak izin kelas aku masuk,-3
semoga ptm aja,1
hadeh emang serba salah ngadain ptm masa sekarang kalau terusin pjj materi paham ptm cuma,-9
memang paling bener ptm ga full online full offline,7
jujur agak seneng ptm soalnya gajadi penilaian olahraga aku gabisa coy nangis,2
 sekolah anakku depan mulai online kebijadikan ambil karena kepseknya positif adeknya,0
plis ptm lagi kayak jangan,-8
ptm setengah hope gak pjj lagi ya,-2
sekolah aku ptm semoga jadi gak pjj,6
anak sekolah sudah ptm mohon dipertimbangkan lagi buat ptm dahulu jangan menunggu suatu sekolah,5
sama dom lagi cuma doang tapi aku bersyukur sama sekali ga ptm malah lebih sedih,5
ptm doang aku jadi mager sekolah,3
stay safe ptm ga enak banget,-4
sekolahku mulai full ptm gara gara omicron depan mulai lagi,-8
aku tipe belajar diskusi aku gapunya temen skusi jadi belajarnya bentar aja,6
penting ptm ditunda kantor wfh atau wfh lebih,1
sebenernya takut ptm jujur ngga mau pjj anjir gila kalau pjj lagi mending aja,5
ptm kalau ptm main circle kalau udah ketemu sekelas semua seru jadi mending,6
ptm bentar lama lama pjj amin,-5
wah sebetulnya aku ngerti papamu ngga bolehin soalnya omicron emang lagi ngejamur banget,11
prefer karena situasi sepenuhnya memungkinkan aku sudah ptm asli sebenernya enakan ptm materi,7
belum pernah ptm aku pengen ngerasain ptm soalnya temen temen aku kenal ada  sesi,14
ptm enak agak sepi,2
awalnya soalnya lebih sedikit lebih tenang ternyata seruan ptm banyak temen kelas saya,-1
biar ada istirahat aku suka rame angkatan sekolah ptm,10
semoga besok ga lagi deh ptm,2
ptm sumpah lebih tenang,10
ptm karena sesi lain banyak masalah gak mau kebawa bawa,-13
tergantung kalau mending pjj jadi sekalian semua soalnya kalau setengah daring,-4
engga pengennya ptm jadi kaya sekarang soalnya selain karena pandemi tren kasus,-13
soalnya kalau ptm fisik kerasa banget capeknya kalau pjj capek mental,-6
aku mau ptm mau alias gue dah capek sekali anjir sekolah daring tau lagi,-1
enakan ptm tugasnya ga terlalu banyak pjj enak lebih santai tugasnya video jadi mending,22
kebanyakan kelompok presentasi kalau ptm paham materi kalau pjj,-8
kelasku jadi izin ada gara sekolahku balik lagi ptm alhamdulillah aku udah sembuh,4
ptm soalnya kalau ptm susah bagi waktu,-3
ptm sekarang tugas kelompoknya much seringnya kerja  sekolah nugas rumah pr,7
sering banget beda pendapat berasa beda kelas bercircle aku ngerasa kurang adil soalnya,-6
gamau pengennya ptm  cuma kalau gakuat bangett rasanya kelas penuh sekolah penuh,-15
soalnya ptm cuma doang kalau asik jadi deh,1
ptm lagi males,-6
sekolah gua ptm  sekolah lain udah  kasih surat buat pjj sekolah gue belum sekolah gue udah kayak tahu,0
gue mau cerita kemarin gue ptm kabar baik gue sudah mulai akrab sama temen se sesi gue,8
sebenernya lebih enakan ptm jadi sekalian capek ptm pulangpulang mesti sekolah lagi,5
anak sekolah sdah ptm mohon pe imbangkan lagi buat ptm dahulu jangan menunggu  suatu sekolah,0
jika angka kasus  jadika a semakin naik level ppkm jadi level maka otomatis ptm batasi maksimal persen,7
way sekolah gue emg belum ptm  karena kemarin ada positif inimah gue yakin gabakal ptm,-3
awalnya mau ptm gue ngeluh karena pasti bakal berisik gue udah nyaman begitu jadilanin,-7
ptm sepi banget gue se sesi sama temen gue ptm rame banget kalau nunggu jemputan,-4
ngga ptm cuma abis lagi huhu,-4
anak sekolah sdah ptm mohon pe imbangkan lagi buat ptm dahulu jangan menunggu  suatu sekolah,0
belum ada info resamai rumornya pro sebelah bakalan pake sistem gilir ptm sampai ut,-6
kalau ptm mah mending pjj,1
bener kata tiara kelas stress ptm kalau ptm full coba,-4
aku biasanya terus kemarin ada coba ptm malah pusing nder biasanya sepi krikkrik jadi rameberisik,2
pengen balik ptm lagi tolong,1
karena hampir setengah sudah ptm jadi udah menyesuaikan diri sama sesi,0
gue jadi terlihat oleh guru soalnya kelasan gua bacot banget babi berisik orangnya cari muka,-8
ptm bener ga efektif menurut  gue,-2
ptm enak karna materi masuk otak interaksi langsung sama temen amp guru pjj enak,22
adek aku jadii ptm sekarang karena temannya masalahnya orngnya sekolah kasian sama teman lain,-2
menurut aku nggak semenjak ptm tugas hampir berkurang menurut aku kalau pjj tugas karena aman,3
ptm seru bangett  capeknya kalau pjj capek langsung tiduran,-1
sejujurnya ngga kalau capek kalau gurunya bagi diri secara adil bagi ptm,5
ptm biar deket sama semua teman kelas kalau bagi sesi jadi kenal jadi canggung,-1
ptm tidak maunya cuma supaya lebih dekat sama teman teman ikut ptm,-4
pengen pengen gue maunya kaya kemarin soalnya semenjadik ptm tugas kelompok gue makin nga,-5
persen soalnya temen gua  sesi semua gua  sesi dua kalau ptm kayak gaenak jadiuh jadiuhan bener duduknya,-13
buatku lebih enak ptm,6
sama kayak sekolahku walau ptm ada positif malah sekolahku rencananya mau ptm depan,8
ptm gua ga sanggup kayaknya kalau ptm,-10
sedih banget masa ptm lagi,-6
wkwk gak pengen ptm lagi aja,-4
ternyata ada untungnya ptm tiap jadi ikut takut kalau ptm,2
ptm kalau ptm penyampaian materinya ngga sama rata kelas gue  jadi udah ngerasain,-10
enakan jelas ptm  rumah kaya dongo,11
gamau maunya jadi soalnya lebih fokus anak anak kelas gua ptm berisik banget sampai guru marah,-13
yeah ptm alhamdulillah,5
ga pengen ptm aja jadi tetep ada sesi engga gabung,0
gasih ptm aja,1
mungkin aku tugas ptm ga ngotak parah,3
sama nder aku ptm nyaman,9
ptm karena rame lebih mudah ngerti materinya,4
udah semester ptm way semangatt sender semoga nilainya memuaskan,5
ptm sering deg degan setelah ptm jadi enggak paling kadang males jadi kalau ada mata pelajaran,7
sekolahku ptm gak wajib boleh ptm boleh ngga banyak milih gak ptm jadi takut banget,2
berat badan gue biasanya sebenernya felt confident bsegitu badan gue bagus know th,-11
sama bgtt beberapa sekolah nerapin pasti ada jadi kena kebijadikan beberapa sekolah langsung pt,14
udah melakukan daring buat anak walau sekolah memaksakan ptm setelah sebelumnya komitmen sekola,-4
yadongg ptm jadi lebih cpet pulangnya yhahhaa iri loe,-2
anakku ptm capt online dari rumah,-2
menurut saya jangan hentikan ptm persen tetapi pemda ,-1
makin melonjadiknya kasus harian akibat varian omicron tambah subvarian lbh baik,5
itulah selama status pandemi belum cabut seharusnya sekolah ptm tetap kembalikan keputusan pd,2
ptm pjj wkwkwk alias ptmt lagi,1
  jadi seingat saya kalau kasusnya naik ppkmnya naik turun dari persen kalau naik lagi turun,-6
beberapa daerah langsung berani ptm dah daerah gue anjr,-4
seh aku hampir samaa sekolah full siswa sama guru cuma sehari bersihbersih kela,11
pjj ptm oke kalau,1
jujur pjj lebih efektif ptm jadi efektif,16
saran sangat baik dari perhimpunan penkan guru pg berada  ujung tombak penkan semoga gubern,7
seharian isinya sambat mulu ttg tugas sekolah emang secapek pulang ptm jam lanjut kerjadi,6
ahh shit binder catetan mtk gue ketinggalan  laci kelas bsk sekolah lagi gegara balik lagi ptm,-24
hhmmmxfxfxax yth prof ptm siswa  pekanbaru samap,3
kayaknya otomatis liburin dehh tetep ptm soalnya tempetku gituu stay safe waa,-1
susah hindari dok bekasi ptm wfo,1
  sebagai ibuk suka memantau kepatuhan prokes  sekolah aktif memantau kesiplinan nakes,7
sebagai ibuk suka memantau kepatuhan prokes  sekolah aktif memantau kesiplin,7
tiga siswa terpapar covid ptm turun persen via,6
stress ptm mau back,0
jangan sampai minimal mah ptm sisanya pjj jangan terusan pjj anjir,-4
gaada nder aku ptm,-1
kasus covid kembali melonjadik asosiasi guru desak ptm cukup persen,0
iya aku denger antara ada ptm atau ptm,3
liat lapangan pelaksanaan aslinya kayak tiap balik sekolah ruwet kayak,-6
sama banget udah ptm sekarang pjj ptm,4
sekolah rin balik ptm gegara ada word terus rin milih buat masuk sekolah karena takut,-3
lalu udah gegara kabupaten level omicron jadinya buat ptm,1
aku masing ada kurang lebihnya pjj aku jenuh enak jadi lebih cape fisik ptm asik ketemu teman,16
males ptm nder mending pjj dah,-5
ptm nder kelas sama gantian masuknya per udah bagi dua sesi selang seling sehari,1
jujur lebih suka ptm tapi temen gue beda sesi gue gapunya temen lagi  sesi sama kaya gue,-4
sender pengen pjj pengen ptm,6
sekolah sender mau balik ptm lagi huhu udah enak full,8
evaluasi ketentuannya kalau  level katanya  balai kota dki jadika a sumbe,-3
kuliah ptm terbatas sedangkan tingkatan paud tk jelas ngatur ri ,5
anak anak sekolah jakarta rada khawatir karena ptm full kasus covid lagi,-13
deh suka ptm karna ketemu crush pjj karna seru  rumah beljadir,12
assalamualaikum sehubungan naik angka covid  dki apakah layak ptm sementara,2
ngajadir sumpah capek banget wes mending entah semua pjj atau semua ptm asal jangan separoh,-8
terus ptm kasus udah tambah begini ko ptm  lanjutkankasian anak sement,-6
kalau ga stop minimal jadi ptm,-6
besok gua ptm lagi anjir menggabut,-5
 guyss doain daerah tetap safe yaa biar sekolahku tetep jadilann walau cuma penting tetep ptm,-2
ptm asik,4
