original_tweet,sentiment_result
sudah saya contohkan kalau ptm ditutup cari uang kalau cafe ditutup ada omset karyawannya kerja pajak pasti berhenti mungkin terjadi menurut saya lho salah contoh pertimbangannya mungkin kalau mau jelas tanya gub,4.921875
iyaa mager ptm karena punya temen wkwk,-5
pengen cepet cepet ptm,7
kampus aing jadi ptm feb aja sekalian online aja karena kasus lagi naik sekolah sma aing sudah kena,nan
yaudah kalau ptm jalan sekalian cabut status pendemi biarin rakyat hidup bebas malah jelas desember berita covid terkendali ehh sekarang naik lagi covid covid tai kucing,-21
aaaaa ptm lagi,-3
kalau pertimbangnya sektor ekonomi pendidikan ada pertimbangan seperti ditulis dalam berita,0
ptm boleh mudik boleh awas aja yaa,4
iya duh takut banget mau ptm semoga pjj aja deh ngeri,0
sadar pjj goblok ptm,-3
sudah bener ptm malah daring lagi ngentot,0
ptm pjj pasangan selalu lucu wkwk wkwk,3
mari berdoa biar hujan ptm rumah siswa jaraknya km ngajar sekalian touring,16
sudah seneng ptm eh pjj,10
yaelah gausah pamer kalau lagi ptm,-11
gatau ptm sama pjj sama sama nyontek kalau ulangan,2
kumpul nonton barongsai cuma ptm doang,-2
sekolah gue kediri dah daring kalau nganjuk ptm,-4
ptm ihh enak bangett,-2
kalian jadi pjj sampai seterusnya gue cuma aja pjj balik ptm,-5
amin banget kalau pjj mah serem banget kalau liat banyak ptm,3
semangat ptm,4
banget dah sudah enakan ptm,8
yuk ptm lagi,1
barusan aku jemput sepupuku gajadi ptm karena sebelah sekolahnya ada positip wkwk,-5
sudah pjj lagi doain semoga menular pjj aku suka ptm temen kelas kayak setan,-6
bagi perusahaan menerapkan test tracing baik prokes kendor ptm sangat mempengaruhi,16
ckckck saya ptm mau berangkat kasian sekolahnya rumah,-2
jika kesehatan keselamatan anak anak dki abaikan saja penolakan jalankan pjj seperti,-14
kasian banget daring lagi alhamdulillah aku ptm hihi,2
iri iri iri sama ptm,-9
sudah nyaman ptm eh daring lagi,6
gilaa kasus covid banget sudah ptm mampus aduh muka tenggelam aja,nan
sorry gue lebih suka ptm deh hybrid penting ptm mata kuliah gue praktek,-14
bocah tim ptm banjir bandang menyerang panas tinggi mah,-1
sudah gadapat ijin ptm sekolah tetap ptm,11
aku malah ptm emang pjj lagi,2
sekolah gue ptm anjing lagi nekat banget sekolah gue,-4
kalau benar omicron sangat berbahaya ada ditolak permohonan penghentian ptm maka menolak telah melakukan perencanaan pembunuhan kepada anak sekolah para pendidiknya kira begitu pendapat saya,-14
sekolah ptm yes,6
ptm gue selalu kehilangan semangat belajar kalau pjj kalau sekolah sambil ngobrol diskusi sama temen materi jadi lebih ngerti,5
kalau selama masuk ptm jaga prokes yes salah kalau sudah pakai masker jaga jarak tetap kena ofc ur fault emg mulutnya kayak anjing nder anggep aja anjing menggonggong angin lewat semangat sender,1
gajdi ptm covid tinggi lol wkwk,3
kalau aku ptm doang belajar dari rumah sama setengah sekolah belajar dari rumah deh,3
kalian sudah ptm kalian lebih suka online offline guys,10
bukan bela setidaknya sudah tolak ptm seperti sekarang ditolak pemerintah pula dalam sisi lebih baik,3
gua belum ptm sama sekali,0
kemarin gua ptm anjir,-2
pagi semangat pusing mikirin ptm nanti kejelasan,-3
ptm dosennya gaada anjing,-7
jadi bingung guys presiden minta ptm dihentikan lord luhut setuju,8
iya jelas ptm dong stres gue pjj mulu,-4
yuk ngajar ptm pjj sekolah deh sekali khususnya sekolah negeri banyak sis,19.5
ptm garis keras,-5
belum ada pemberitahuan sekarang iya ptm disuruh pjj,-1
aku kayaknya ptm,-1
ptm lanjut sekolah mewajibkan swab antigen mandiri lumayan tiap tua murid keluarkan dana ekstra antigen catatan ada anak sekolah swab antigen mandiri sekali swab,7.5
punya sekolah maksa banget ptm mau aman,7
iih males banget sekolah gue ptm lagi,-11
aku sekolah online lagi sudah enak ptm pakai sesi,12
bingung mau seneng sedih ptm distop,5
ptm dibuka ditutup anies bakal tetap disalahkan oleh pembencinya soal pilres kalau emang suka usah dipilih skip aja usah buat narasi seolah paling pinter memangnya sudah lakukan,16
sesuai prediksi ptm bertahan januari kembali separuh separuh,4
kalau bentar ptm gue mau menghilang aja deh,-1
iya enak ptm,5
gue sudah ptm dari januari eh sekarang pjj lagi sedih,-10
curiga kalau sekolah cuma jam doang way pjj lagi cuma dibagi sekali ptm pjj,-7.5
bukan soal taat lebih punya kesadaran lebih lagian pertimbangan sektor ekonomi jadi tentu pertimbangan kalau usaha buka makan kalau sekolah buka masihlah makan lagian kalau ptm ditutup pasti tetap disalahkan apapun salah anies sekarang,28.35
delta kluster perkantoran sulung omicron kluster ptm tengah lelah sangat,12
belum ada temuan klaster corona sekolah sragen ptm tetap berjalan persen,12
tutup dunia malam jika semua sudah tutup semua sasar sekolah stop ptm lh cafe cafe jakarta terutama,-4.5
wkwk liat dah kata ptm supaya anak paham anjeng paham bapak zoom pakai laptop siswa web cam dipake internet pakai kuota gue super duper mega get well soon buat gue kuota dipakai buat rumah paham,-9
ptm diy kembali persen wali murid wah pusing pusing aku,-1.25
jangan pikir nder saya lagi ptm,-8
gue daring lagi sudah nyaman ptm jujur,7
ptm walau gue anti sosial,-5
gue ptm dari jam wkwk sekolah nongkrong,-4
ptm pasti susah kalau dipaksain offline semua makanya online,-15.75
lagi ptm malah ptm pagi,-2
salah sma fav jogja awalnya aku pengen banget masuk eh alhamdulillah awal awal sekolah pengen pindah soalnya asik ternyata sudah ptm asik asik aja,37
suka ptm,3
aku kelas ipa kalau ambis ambis bangett aktif banget kerasa banget kalau ptm,-2
ptm distop supaya bisnis pcr mandeg oh mungkin saya setuju,0.75
hadeh semoga besok beneran ptm lagi gue sanggup pjj,-5
masuk ptm lagi seneng nanggung banget besok libur,3
kalau disekolahku pjj sama ptm sama aja kalau pjj selama ada jadwal zoom full dari pagi sampai aku lebih milih pjj supaya ngekos,6
asli sumpah ptm aja dapat,9
dah seneng ptm lebih gampang nyari nilai taunya pjj,10
pancen menyebalkan cara berpolitik bahasa kalem santun nyebelin sudah tau ptm kewenangan kapala daerah dilempar lagi luhut alasan skb mentri,-2
make alarm gue otomatis bangun kalau emg ptm gue bakal bangun jam kalau libur biasanya jam,-3
sekolah ptm gatau bakal pjj,2
jangan dengerin lbp karena menjadi tanggumg jawab akhirat kelak ptm hentikan aja usah minta perse istana,-1
belum pernah ngerasain ptm karena lagi pkl eh mau daring lagi surem banget putih abu saya,-7
aslinya gue kemarin masuk ptm tiba dikasih edaran lagi buat lanjut pjj gatau sampai,-6
gegara ptm aku jadi nangis nangis lagi,-13
jadi drama ya sementara gubernur bali stop ptm kemarin malam aman aman saja,-6
sudah pjj lagi aja banyak gaya ptm kira siswa semua taat prokes wkwk,9
jika demi kesehatan keselamatan anak anak dki abaikan saja penolakan jalankan pjj seperti bogor tangerang bekasi jangan cuma ngadu media,-23
supaya sama salah mari dibaca isinya ada kata menjelaskan penolakan selain disini tua bebas menentukan apakah anak didiknya mau ptm online kapasitas maksimal,3
ptm please gua pjj semua materi masuk lama banget langsung konek keterbatasan sinyal belum lagi kalau kelompok sumpah tuhan repot banget walaupun sambil nyantai tetap gasuka ptm walaupun capek pulang pergi sekolah kaya seru,-4
gue kemarin sudah mulai nyaman ptm eh sekarang pjj lagi,4
ngerasain temen kelas beda masuk ptm,-8
iyaaa yaallahlu bayangin ptm aja susah masuk materinya daring,-5
apakah cucu anak dari lbp anak mendiknas belum terkena covid jadi dki dilarang meniadakan ptm boleh ptm saja sedangkan beberapa daerah sudah menutup sementara ptm anak sekolahnya,-22
gue beneran gajadi ptm lagi word caper anjir,-5
mending ptm lahh kak anaku bangku dasar klu ada tugas dari guru mboknya puyeng,0
menurut aneh ptm mau pjj lagi bandara buat inter tetap buka,17
sebenernya kalau males baca sudah tertulis jelas aturan dibuat pusat bahwa ptm ppkm level masuk kriteria daerah lain vaksinnya seperti jkt jadi boleh nanti kalau ngikutin dibilang nurut aturan pusat ha ha ha,1
tolong dikeluarkan surat keputusan kemediovud jelas bahwa ptm tua boleh memilih khususnya wilayah depok karena sekolah anak saya sampai sekarang belum ada edaran sementara tanggal febuari wajib masuk sekolah,-14
nganterin sekolah karena emg jadwalnya hybrid sampai sekolah suruh balik rumah karena kebijakan pemerintah stop ptm sementara mantap mamank pegel kaki saya make mobil manual rumah jauh kesehatan bersama,3
sumpah gue aja kemarin ngerasa mulai nyaman ptm sekarang balik pjj lagi,-1
pertemanan terhalang aku pjj ptm,5
jujur ptm soalnya pjj tugas jadi otak,6
kemarin ptm sudah tau ada omicron sudah lagi coba kalau sesi sesi berkurang,5
syukur deh walau daring pusing kena covid moga aja ujian kelulusan ptm cepet kelar aja gue stress covid mulu,2
wkwk iyaa cuma ptm enaknya bangun lebih pagi,-1
sisi menstop ptm lbp mau sisi lain lbp teriak covid meningkat jadi,0
respon sekolah cuma berhati hati doang ptm tetap lanjut even guru gajelas,13
kalau sekarang ptm distop nanti puasa lebaran kopid jadi sepi dong paham,-7
sudah ptm terbatas alias gue takut buat ptm soalnya sekolah gue paling tinggi kena covid,12
ptm gua sangat males ketemu temen,-12
ya ptm lagi omicron angka itu bukan angka real jadi liat angka satgas jangan telan mentah jadi tolol jauh dah juta kena omicron baik ringan sedang kalau mau ptm tes pcr gedor tiap sekolah min dari siswa,-8
selamat pagi kt ptm pjj aku pjj kembali karena ada kasus covid sekolah,nan
guru daring ngajar negeri sekolahku sama swasta sudah mulai ptm akhirnya guru mutusin buat resign dari swasta soalnya negeri ngajar banyak kelas,10
dunia malam bebas dunia pendidikan ptm mau distop selama diganti pelajaran jarak jauh kaya,5
