original_tweet,sentiment_result
dok adek aku mulai dari kemarin sudah wajib ptm eh ternyata sudah nyampe rumah diumumin grup ada kelasnya adekku termasuk kontak erat sama sekarang adek aku lagi isoman kira kalau mau test pcr antigen yaa tepat makasih sudah jawab,64.75
sebenernya aku lebih suka ptm karena lebih ngerti kasusnya lagi tinggi banget aku ngekos lagi jauh dari keluarga amit amit kalau kena takut,-10
oh semoga segera ptm lagi yaa semangat didit,4
sebenarnya ptm karena jadi paham materi pengen pjj lagi karena capek,1
yay aja kalau ptm biasanya dosennya ngasih istirahat buat maksi,2
gue ptm anjir sudah dong,3
drama ngeyel ala gottbener daerah lain saja menghentikan ptm dki,-15
allah aku ptm,7
ada sukanya jalan jalan ketika disuruh ptm malah takut kena dikira jalan jalan kebal,-3
dulu lama soalnya ngumpulinnya ptm banyak ada tugas,1
iih gamau ptm,-9
viralkan aja jelas anies sudah berusaha karena arogansi lumut maka permintaan tutup ptm ditolaknya,1
bangun pagi gosok gigi mandi ptm lagi,-6
walau emg kadang suka ngeluh banget aku aja ada kejadian aku mikir iih tuhan baik banget sama aku sama karena sekarang online aku jadi lebih belajar ujian wkwk gatau aku sejak ptm malah makin males belajar sudah males tambah males,22
aku mau ptm aja jujur ngeri kalau ada ptm jangan ada tugas kelompok dong mls banget,5
ptm lagi aja anjing kena semprot mulu gue kalau rumah,-13
belum sumpah dari gapernah ptm,-3
sebel sekolah gue sudah mulai ptm,1
sekolahku tadinya ptm full jadi pjj lagi,-2
anjing deh ptm ajalah males gue pakai laptop tai,-16
eh serius semester belum ptm sama sekali,-3
ptm gajelas ngangngong ngantuk lagi,-5
presiden suruh evaluasi ptm usulan kepala daerah ditolak lord kementrian pendidikan mingkem banget tata,1
iih persis banget kaya kelas lagi ptm bagi sesi jadi tambah krik krik kelasku,-3
lebih suka ptm ujian online,5
gue seneng sama kampus gue ptm Cuma buat mata kuliah ada asitensinya sisanya online walau dari mata kuliah ada asistensinya,1
what the fuck kaya sumpah pola pikir agak agak kalau suka ptm yaudah anjir keep aja gausa suka daring sama bully sekolah bully hal dibuat bercanda kaya komenan,1.25
ptm ptm kontol tugas kelompok mulu,-7
iih enak ptm iya sekolah aku sudah pjj lagi suka,10
aaaaa aku lagi ptm jadi sempat aaaaaa,0
enakan ptm full sesi sesian,5
manusia indonesia mendukung banget penerbangan internasional buka tempat wisata buka setuju ptm pengen liburan,17
serius ptm lagi yaudah deh full online,-7
gua ngerasain ptm aja belum sekarang sudah balik daring,1
sudah kubilang mcrn naik krs trobel sampai berarti direstuin buat ptm,10
kaget lewat lagi ptm,2
pelajar dilarang ptm pintu masuk keluar negeri dibuka lebar lebar pembunuhan karakter norak,-2
humm gue tim ptm prokes ketat kasus bertambah aja cuaca lagi menentu bikin imun jadi menurun kalau kerasa enak badan dikit mending izin sekolah lagian kalau pjj aja tetap banyak bakal keluyuran,nan
anjay banget gue daring lagi sampai sudah nyaman sama ptm,6
sama anjir gue ptm,1
pjj lagi ptm singkat banget gabisa liat lagi parkiran,-8
punya ptm kelas sama karena kelas lagi pkl,-9
iya sekolah ptm enak aku aja pengen pulang sekolah pjj,17
ptm aku bolos hehe,-1
sekolah lain ptm aku mau,6
luhut tolak permohonan anies stop ptm fadli zon nanti tanggung jawab,-2
pjj rasanya emang beda sama ptm guru ngasih tugas kayak biasa,8
aneh ketika covid sedang tinggi ptm dihentikan sementara kalau sudah landai ptm dilanjutkan,6
ngelesnya aja bekasi bogor aja udahan stop ptm wkwk,1
haha emg labil udah dibilang mendingan pjj dulu sampai bener bener aman biar ptm bentar,1
gue kalau ptm shift malah,-4
ptm ptm bullshit gue mall jam lebih aja anak sma sudah nongkrong abis dari sekolah,0
tiba ptm tiba kehilangan seseorang dunia tiba siklus keseharian berubah tubuh mulai adaptasi kabar buruk lagi menerpa,-15
ptm cape banget seru,2
seru ptm,5
gue masalah ptm jangan shift anjir gue absen pasti dapetnya shift alias enak banget mending langsung ptm aja biar ribet sesi sesi sesi,-10.5
iih sekolahnya ptm enak banget,1
sudah ada terbaru opsi ptm persen ijin tua ada,16
terkejut kalau habis ptm habis pjj duar,5
positif perkantoran perkantorannya langsug tutup positif pasar pasarnya langsung tutup positif sekolah ptm lagi,11
kalau menolak ptm cabut ppkm seluruh indonesia opung,-13
wah aku speechless jam aku ptm sampai jam mau daring mau pjj sama aja,25
lagian emang belum siap ptm dipaksain,1
pengen ptm deh,3
diem dikamar jadi ptm tersiksa,-2
aku tim ptm pelajarannya lebih masuk otak lebih semangat ketemu temen banyak hal positif kalau ptm kalau,9
absolutely ptm nder karena introvert extrovert sama sama butuh interaksi sosial menunjang,3
baca beritanya lengkap om ganteng pemda boleh kurangi ptm jadi daerah lain level sama tua boleh melarang anaknya ikut ptm tanggung jawab om boleh dukung tertentu jangan subjektif,8
iyaa iih takut kalau ptm,-5
pandemi panjang ribet paksain ptm mendingan modifikasi kurikulum supaya sesuai new normal,-7
iya sama kalau ptm takut,3
pernyataan mas mentri dianggap perihal ptm sadar yuk generasi sekarang dibodohkan dimiskinkan alasan corona,3
aja lagi ptm pula,-2
keliatannya opung lihat jatuh sakit jadi proyek lagi mau ptm stop berkurang,2
ptm asik capeknya ditahan buat pjj selanjutnya,5
kalau sekolah gue ada test pcr berjamaah kelas negatif semua kena kelas sama aja jadi kemarin ptm cuma kelas aja pjj kelas sama eh malah semua pjj asu awal jadi penyebab test pcr berjamaah berawal dari anak,-33
ptm biasa,2
lockdown ppkm diharuskan ptm dihentikan kerumunan dipertontonkan bisanya sengaja membingungkan umat sebelum mati ditunjukan kepada azab pedih sebagai cerminan lainnya,-3
kalau daring sudah dijelasin tugasnya bejibun lagi astaghfirullah kalau ptm mah sekolah isinya penjelasan materi kerja kelompok sama praktek mendingan jarang dapet tugas ngerti materi,5
enak dong balik lagi ptm,-1
biar masyarakat tau kalau keputusan ptm ternyata wewenang pemerintah pusat selama saya menyangka,2
belum ada kepastian asli cuma katanya bakal ada ptm lagi,3
ptm lebih paham sama pelajaran enak gaada kendala grafik sama jaringan,14
