,date,tweet,tweet_tokens,tweet_tokens_WSW,tweet_normalized
240,2022-01-28 09:23:53+00:00,mungkin aku tugas ptm ga ngotak parah,"['mungkin', 'aku', 'tugas', 'ptm', 'ga', 'ngotak', 'parah']","['mungkin', 'aku', 'tugas', 'ptm', 'ngotak', 'parah']",mungkin aku tugas ptm ngotak parah
241,2022-01-28 08:47:34+00:00,sama nder tp ak ptm nyamasih,"['sama', 'nder', 'tp', 'ak', 'ptm', 'nyamasih']","['sama', 'nder', 'tp', 'ak', 'ptm', 'nyamasih']",sama nder tp ak ptm nyamasih
242,2022-01-28 08:14:40+00:00,belum pernah ptm tp pengen bgt nyobain yg krn kaloo ptm berasa beda kelas dgn yg beda sesi tt,"['belum', 'pernah', 'ptm', 'tp', 'pengen', 'bgt', 'nyobain', 'yg', 'krn', 'kaloo', 'ptm', 'berasa', 'beda', 'kelas', 'dgn', 'yg', 'beda', 'sesi', 'tt']","['belum', 'pernah', 'ptm', 'tp', 'pengen', 'bgt', 'nyobain', 'yg', 'krn', 'kaloo', 'ptm', 'berasa', 'beda', 'kelas', 'dgn', 'yg', 'beda', 'sesi']",belum pernah ptm tp pengen banget nyobain yang krn kaloo ptm berasa beda kelas dengan yang beda sesi
243,2022-01-28 08:05:21+00:00,ptm krn  rame amp lebih mudah ngerti materinya,"['ptm', 'krn', 'rame', 'amp', 'lebih', 'mudah', 'ngerti', 'materinya']","['ptm', 'krn', 'rame', 'amp', 'lebih', 'mudah', 'ngerti', 'materinya']",ptm krn rame amp lebih mudah ngerti materinya
244,2022-01-28 07:59:36+00:00,satgas merekomendasikan ptm dibagi sesi jumlah siswa yang mengikuti ptm tiap sesinya yakni persen dari kapasi,"['satgas', 'merekomendasikan', 'ptm', 'dibagi', 'sesi', 'jumlah', 'siswa', 'yang', 'mengikuti', 'ptm', 'tiap', 'sesinya', 'yakni', 'persen', 'dari', 'kapasi']","['satgas', 'merekomendasikan', 'ptm', 'dibagi', 'sesi', 'jumlah', 'siswa', 'mengikuti', 'ptm', 'tiap', 'sesinya', 'yakni', 'persen', 'dari', 'kapasi']",satgas merekomendasikan ptm dibagi sesi jumlah siswa mengikuti ptm tiap sesinya yakni persen dari kapasi
245,2022-01-28 07:40:00+00:00,persatuan guru republik indonesia mendesak pemerintah mengambil langkah bijak terkait merebaknya covid varian om,"['persatuan', 'guru', 'republik', 'indonesia', 'mendesak', 'pemerintah', 'mengambil', 'langkah', 'bijak', 'terkait', 'merebaknya', 'covid', 'varian', 'om']","['persatuan', 'guru', 'republik', 'indonesia', 'mendesak', 'pemerintah', 'mengambil', 'langkah', 'bijak', 'terkait', 'merebaknya', 'covid', 'varian', 'om']",persatuan guru republik indonesia mendesak pemerintah mengambil langkah bijak terkait merebaknya covid varian om
246,2022-01-28 07:25:02+00:00,pemerintah kota depok mengajukan surat kepada menteri pendidikan agar ptm persen kembali dievaluasi dan dikem,"['pemerintah', 'kota', 'depok', 'mengajukan', 'surat', 'kepada', 'menteri', 'pendidikan', 'agar', 'ptm', 'persen', 'kembali', 'dievaluasi', 'dan', 'dikem']","['pemerintah', 'kota', 'depok', 'mengajukan', 'surat', 'kepada', 'menteri', 'pendidikan', 'agar', 'ptm', 'persen', 'kembali', 'dievaluasi', 'dikem']",pemerintah kota depok mengajukan surat kepada menteri pendidikan agar ptm persen kembali dievaluasi dikem
247,2022-01-28 06:10:42+00:00,kasus covid melonjak ptm di kabupaten purwakarta kembali persen,"['kasus', 'covid', 'melonjak', 'ptm', 'di', 'kabupaten', 'purwakarta', 'kembali', 'persen']","['kasus', 'covid', 'melonjak', 'ptm', 'di', 'kabupaten', 'purwakarta', 'kembali', 'persen']",kasus covid melonjak ptm di kabupaten purwakarta kembali persen
248,2022-01-28 05:45:27+00:00,udah pas semester ptm btw semangatt sender semoga nilainya memuaskan,"['udah', 'pas', 'semester', 'ptm', 'btw', 'semangatt', 'sender', 'semoga', 'nilainya', 'memuaskan']","['udah', 'semester', 'ptm', 'btw', 'semangatt', 'sender', 'semoga', 'nilainya', 'memuaskan']",udah semester ptm by the way semangatt sender semoga nilainya memuaskan
249,2022-01-28 05:44:05+00:00,waktu ptm sering deg degan tapi setelah ptm jadi nggak paling kadang males aja kalo ada mapel yg,"['waktu', 'ptm', 'sering', 'deg', 'degan', 'tapi', 'setelah', 'ptm', 'jadi', 'nggak', 'paling', 'kadang', 'males', 'aja', 'kalo', 'ada', 'mapel', 'yg']","['ptm', 'sering', 'deg', 'degan', 'setelah', 'ptm', 'jadi', 'paling', 'kadang', 'males', 'aja', 'kalo', 'ada', 'mapel', 'yg']",ptm sering deg degan setelah ptm jadi paling kadang males aja kalo ada mata pelajaran yang
