date,original,tweet
2022-01-29 11:37:52+00:00,rt parker anak sekolah sdh ptm mohon dipertimbangkan lagi buat ptm dahulu jangan menunggu di suatu sekolah,rt parker anak sekolah sdh ptm mohon dipertimbangkan lagi buat ptm dahulu jangan menunggu di suatu sekolah
2022-01-29 10:45:20+00:00,kalo ptm persen ketemu mas crush lagi,kalo ptm persen ketemu mas crush lagi
2022-01-29 10:39:49+00:00,aku smanli ptm mulai wkwkwk,aku smanli ptm mulai wkwkwk
2022-01-29 10:29:30+00:00,rt soldier wes paling bener skolah ptm amannek ptm pasti maret full lagi rsplus handwood distrik kop,rt soldier wes paling bener skolah ptm amannek ptm pasti maret full lagi rsplus handwood distrik kop
2022-01-29 10:18:17+00:00,sama dom lagi cuma sehari doang tapii aku bersyukur sama sekali ptm malah lebih sedih,sama dom lagi cuma sehari doang tapii aku bersyukur sama sekali ptm malah lebih sedih
2022-01-29 10:11:49+00:00,kalau bener ptm lagi yang study tour malioboro kayaknya udah banyak dilirik,kalau bener ptm lagi study tour malioboro kayaknya udah banyak dilirik
2022-01-29 10:00:16+00:00,dalam sepekan terakhir kasus covid di kota depok melonjak drastis mencapai lebih dari kasus setiap,dalam sepekan terakhir kasus covid di kota depok melonjak drastis mencapai lebih dari kasus setiap
2022-01-29 09:59:38+00:00,aku udah pjj ptm lagi dong xxx,aku udah pjj ptm lagi dong xxx
2022-01-29 09:50:03+00:00,sender balik ptm lagi aaaaaa sender punya temen sesi,sender balik ptm lagi aaaaaa sender punya temen sesi
2022-01-29 09:49:09+00:00,sekolah aku aja yang ptm jadi online lagi by the way yang lagi cari keyword element canva ada banyak yaa,sekolah aku aja ptm jadi online lagi way lagi cari keyword element canva ada banyak yaa
2022-01-29 09:17:34+00:00,ptm doang aku jd mager sekolah,ptm doang aku jd mager sekolah
2022-01-29 09:09:17+00:00,udh full ptm nder wlopun,udh full ptm nder wlopun
2022-01-29 08:56:48+00:00,stay safe ptm enak banget,stay safe ptm enak banget
2022-01-29 07:43:40+00:00,hah jogja ptm lagi,hah jogja ptm lagi
2022-01-29 06:54:38+00:00,sekolahku mulai full ptm garagara omicron depan mulai lagi,sekolahku mulai full ptm garagara omicron depan mulai lagi
2022-01-29 06:35:44+00:00,rt soldier wes paling bener skolah ptm amannek ptm pasti maret full lagi rsplus handwood distrik kop,rt soldier wes paling bener skolah ptm amannek ptm pasti maret full lagi rsplus handwood distrik kop
2022-01-29 06:33:20+00:00,aku tipe orang yang belajar diskusi di aku gapunya temen diskusi jadi belajarnya ben,aku tipe belajar diskusi di aku gapunya temen diskusi jadi belajarnya ben
2022-01-29 06:30:34+00:00,tekan penularan covid wakil wali kota depok minta ptm persen,tekan penularan covid wakil wali kota depok minta ptm persen
2022-01-29 06:17:43+00:00,rt soldier wes paling bener skolah ptm amannek ptm pasti maret full lagi rsplus handwood distrik kop,rt soldier wes paling bener skolah ptm amannek ptm pasti maret full lagi rsplus handwood distrik kop
2022-01-29 06:16:25+00:00,wes paling bener skolah ptm amannek ptm pasti maret full lagi rsplus handwood distrik,wes paling bener skolah ptm amannek ptm pasti maret full lagi rsplus handwood distrik
2022-01-29 06:09:41+00:00,kelas ada yang positif nder kemaren lusa trus kemaren kelas di swarame rame di sekolah jadi mi,kelas ada positif nder kemaren lusa trus kemaren kelas di swarame rame di sekolah jadi mi
2022-01-29 06:06:43+00:00,penting ptm ditunda kantor wfh atau wfh lebih,penting ptm ditunda kantor wfh atau wfh lebih
2022-01-29 05:50:00+00:00,sch kalian dom depok liat berita kayak ptm atau balik pjj lagi kalo sekolah send,sch kalian dom depok liat berita kayak ptm atau balik pjj lagi kalo sekolah send
2022-01-29 05:37:08+00:00,sebenernya takut ptm jujur mau pjj anjir gila kalo pjj lagi mending aja,sebenernya takut ptm jujur mau pjj anjir gila kalo pjj lagi mending aja
2022-01-29 05:25:10+00:00,ptm tp tok mbak sma malah ditutup total jd full daring wkwk,ptm tp tok mbak sma malah ditutup total jd full daring wkwk
