date,original,tweet
2022-01-28 06:10:42+00:00,kasus covid melonjak ptm di kabupaten purwakarta kembali persen,kasus covid melonjak ptm di kabupaten purwakarta kembali persen
2022-01-28 05:45:27+00:00,udah semester ptm by the way semangatt sender semoga nilainya memuaskan,udah semester ptm way semangatt sender semoga nilainya memuaskan
2022-01-28 05:44:05+00:00,ptm sering deg degan setelah ptm jadi paling kadang males aja kalo ada mata pelajaran yang,ptm sering deg degan setelah ptm jadi paling kadang males aja kalo ada mata pelajaran
2022-01-28 05:32:48+00:00,sekolahku ptm wajib boleh ptm boleh banyak yang milih ptm jadi yaagitu takuutt banget,sekolahku ptm wajib boleh ptm boleh banyak milih ptm jadi yaagitu takuutt banget
2022-01-28 04:54:36+00:00,berat badan gue biasanya sebenernya felt confident bsegitu badan gue bagus know th,berat badan gue biasanya sebenernya felt confident bsegitu badan gue bagus know th
2022-01-28 04:18:14+00:00,sama bgtt beberapa sekolah nerapin pasti ada aja yang kena kebijakan beberapa sekolah langsung pt,sama bgtt beberapa sekolah nerapin pasti ada aja kena kebijakan beberapa sekolah langsung pt
2022-01-28 04:14:27+00:00,udah melakukan daring buat anak walau sekolah memaksakan ptm setelah sebelumnya komitmen sekola,udah melakukan daring buat anak walau sekolah memaksakan ptm setelah sebelumnya komitmen sekola
2022-01-28 03:05:36+00:00,nihh ptm pjj,nihh ptm pjj
2022-01-28 03:00:58+00:00,yadongg ptm jadi lebih cpet pulangnya yhahhaa iri loe,yadongg ptm jadi lebih cpet pulangnya yhahhaa iri loe
2022-01-28 02:55:45+00:00,anakku ptm capt online dari rumah,anakku ptm capt online dari rumah
2022-01-28 02:18:14+00:00,menurut saya jangan hentikan ptm persen tetapi pemda di,menurut saya jangan hentikan ptm persen tetapi pemda di
2022-01-28 01:46:10+00:00,dengan makin melonjaknya kasus harian akibat varian omicron ditambah dengan subvarian lbh baik,makin melonjaknya kasus harian akibat varian omicron ditambah subvarian lbh baik
2022-01-27 23:51:54+00:00,rt kurang dari sebulan ptm persen diadakan banyak sekolah ditutup akibat kasus penularan perhimpunan pendidikan gu,rt kurang dari sebulan ptm persen diadakan banyak sekolah ditutup akibat kasus penularan perhimpunan pendidikan gu
2022-01-27 23:45:00+00:00,kurang dari sebulan ptm persen diadakan banyak sekolah ditutup akibat kasus penularan perhimpunan pendidikan,kurang dari sebulan ptm persen diadakan banyak sekolah ditutup akibat kasus penularan perhimpunan pendidikan
2022-01-27 23:32:28+00:00,itulah selama status pandemi belum dicabut seharusnya sekolah ptm tetap kembalikan keputusan pd,itulah selama status pandemi belum dicabut seharusnya sekolah ptm tetap kembalikan keputusan pd
2022-01-27 22:04:20+00:00,ptm pjj wkwkwk alias ptmt lagi,ptm pjj wkwkwk alias ptmt lagi
2022-01-27 20:45:58+00:00,rt jadi seingat saya kalau kasusnya naik ppkmnya naik turun dari persen kalau naik lagi turun,rt jadi seingat saya kalau kasusnya naik ppkmnya naik turun dari persen kalau naik lagi turun
2022-01-27 20:38:33+00:00,jadi seingat saya kalau kasusnya naik ppkmnya naik turun dari persen kalau naik lag,jadi seingat saya kalau kasusnya naik ppkmnya naik turun dari persen kalau naik lag
2022-01-27 16:23:36+00:00,beberapa daerah langsung berani ptm dah daerah gue anjr,beberapa daerah langsung berani ptm dah daerah gue anjr
2022-01-27 15:48:33+00:00,sedih aku hampir sma sekolah full siswa sama guru cuma sehari bersihbersih kela,sedih aku hampir sma sekolah full siswa sama guru cuma sehari bersihbersih kela
2022-01-27 15:25:28+00:00,pjj ptm oke kalo,pjj ptm oke kalo
2022-01-27 15:03:19+00:00,jujur pjj lebih efektif ptm aja efektif,jujur pjj lebih efektif ptm aja efektif
2022-01-27 15:00:53+00:00,rt menkes budi gunadi kalau kasusnya naik ptm persen turun jadi,rt menkes budi gunadi kalau kasusnya naik ptm persen turun jadi
2022-01-27 14:49:02+00:00,rt menkes budi gunadi kalau kasusnya naik ptm persen turun jadi,rt menkes budi gunadi kalau kasusnya naik ptm persen turun jadi
2022-01-27 14:44:36+00:00,rt menkes budi gunadi kalau kasusnya naik ptm persen turun jadi,rt menkes budi gunadi kalau kasusnya naik ptm persen turun jadi
2022-01-27 14:43:05+00:00,menkes budi gunadi kalau kasusnya naik ptm persen turun jadi,menkes budi gunadi kalau kasusnya naik ptm persen turun jadi
2022-01-27 13:48:45+00:00,saran yang sangat baik dr perhimpunan pendidikan guru pg yang berada di ujung tombak pendidikan semoga gubern,saran sangat baik dr perhimpunan pendidikan guru pg berada di ujung tombak pendidikan semoga gubern
2022-01-27 13:44:21+00:00,seharian isinya sambat mulu ttg tugas sekolah emang secapek pulang ptm jam lanjut kerja,seharian isinya sambat mulu ttg tugas sekolah emang secapek pulang ptm jam lanjut kerja
2022-01-27 13:37:01+00:00,ahh shit binder catetan mtk gue ketinggalan di laci kelas bsk sekolah lagi gegara balik lagi ptm,ahh shit binder catetan mtk gue ketinggalan di laci kelas bsk sekolah lagi gegara balik lagi ptm
2022-01-27 13:13:05+00:00,hhmmmxfxfxax yth prof ptm siswa di pekanbaru smp,hhmmmxfxfxax yth prof ptm siswa di pekanbaru smp
2022-01-27 12:44:39+00:00,kayaknya otomatis diliburin dehh tetep ptm soalnya tempetku gituu stay safe waa,kayaknya otomatis diliburin dehh tetep ptm soalnya tempetku gituu stay safe waa
2022-01-27 12:14:47+00:00,susah dihindari dok bekasi ptm wfo,susah dihindari dok bekasi ptm wfo
2022-01-27 12:08:23+00:00,rt sebagai ibuk yang suka memantau kepatuhan prokes di sekolah aktif memantau kedisiplinan nakes,rt sebagai ibuk suka memantau kepatuhan prokes di sekolah aktif memantau kedisiplinan nakes
2022-01-27 12:08:00+00:00,sebagai ibuk yang suka memantau kepatuhan prokes di sekolah aktif memantau kedisiplin,sebagai ibuk suka memantau kepatuhan prokes di sekolah aktif memantau kedisiplin
2022-01-27 12:07:30+00:00,tiga siswa terpapar covid ptm turun persen via,tiga siswa terpapar covid ptm turun persen via
2022-01-27 11:46:58+00:00,riau kasus sudah mulai di atas kasus ptm siswa di pekanbaru smp sma,riau kasus sudah mulai di atas kasus ptm siswa di pekanbaru smp sma
2022-01-27 11:38:35+00:00,rt ptm jalan harusnya liat keadaan lokalnya ush digeneralisasi semua daera,rt ptm jalan harusnya liat keadaan lokalnya ush digeneralisasi semua daera
2022-01-27 11:30:54+00:00,rt ptm jalan harusnya liat keadaan lokalnya ush digeneralisasi semua daera,rt ptm jalan harusnya liat keadaan lokalnya ush digeneralisasi semua daera
2022-01-27 11:30:23+00:00,ptm jalan harusnya liat keadaan lokalnya ush digeneralisasi semua da,ptm jalan harusnya liat keadaan lokalnya ush digeneralisasi semua da
2022-01-27 11:20:16+00:00,stress ptm mau back,stress ptm mau back
2022-01-27 11:11:37+00:00,jangan sampe minimal mah ptm sisanya pjj jangan terusan pjj anjir,jangan sampe minimal mah ptm sisanya pjj jangan terusan pjj anjir
2022-01-27 10:52:04+00:00,gaada nder aku ptm,gaada nder aku ptm
2022-01-27 10:32:40+00:00,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn
2022-01-27 10:32:20+00:00,hiii maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn,hiii maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn
2022-01-27 10:32:11+00:00,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn
2022-01-27 10:31:55+00:00,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn
2022-01-27 10:31:35+00:00,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn
2022-01-27 10:31:29+00:00,yeyy glad know maap jrg tgs sekolah makin bnyk trs iya uda masuk ptm tp perminggu gt kangen,yeyy glad know maap jrg tgs sekolah makin bnyk trs iya uda masuk ptm tp perminggu gt kangen
2022-01-27 10:30:53+00:00,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt
2022-01-27 10:30:40+00:00,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn
2022-01-27 10:30:35+00:00,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn
2022-01-27 10:30:24+00:00,hii miwaa maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt,hii miwaa maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt
2022-01-27 10:29:58+00:00,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt
2022-01-27 10:29:32+00:00,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn
2022-01-27 10:29:26+00:00,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt
2022-01-27 10:28:51+00:00,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn,yeyy glad know maap jrg tgs sekolah makin bnyk trs ptm jg walaupun perminggu gt kangennnn
2022-01-27 09:47:01+00:00,kasus covid kembali melonjak asosiasi guru desak ptm cukup persen,kasus covid kembali melonjak asosiasi guru desak ptm cukup persen
2022-01-27 09:36:55+00:00,sekolah ditutup karena covid pg mendesak anies ptm persen,sekolah ditutup karena covid pg mendesak anies ptm persen
2022-01-27 09:32:40+00:00,kasus naik asosiasi guru desak ptm persen,kasus naik asosiasi guru desak ptm persen
2022-01-27 06:51:54+00:00,sridianava daerah sichklo cilacap jateng ptm di bagi dua sift masuknya,sridianava daerah sichklo cilacap jateng ptm di bagi dua sift masuknya
2022-01-27 06:25:03+00:00,ppkm level di jakarta berlaku sampai januari,ppkm level di jakarta berlaku sampai januari
2022-01-27 05:48:53+00:00,ptm jd masuk sdikit muridnaa wkwkwkwkk,ptm jd masuk sdikit muridnaa wkwkwkwkk
2022-01-27 04:04:32+00:00,gue uda gila gue gila banget gue butuh pjj atau ptm absen gue udah tahan sega,gue uda gila gue gila banget gue butuh pjj atau ptm absen gue udah tahan sega
2022-01-27 04:04:13+00:00,sejak anak sekolahan full ptm kerasa bangeeeettt capeknya pp sda sby krn jalanan bener macet tiap pagi bi,sejak anak sekolahan full ptm kerasa bangeeeettt capeknya pp sda sby krn jalanan bener macet tiap pagi bi
2022-01-27 03:51:14+00:00,iya aku denger antara ada ptm atau ptm,iya aku denger antara ada ptm atau ptm
2022-01-27 03:44:16+00:00,apakah timingnya tepat di tengah melonjaknya kasus harian covid ptm dipaksak,apakah timingnya tepat di tengah melonjaknya kasus harian covid ptm dipaksak
2022-01-27 02:51:53+00:00,liat dilapangan pelaksanaan aslinya kyk tiap balik sklh ruwet kyk,liat dilapangan pelaksanaan aslinya kyk tiap balik sklh ruwet kyk
2022-01-27 02:43:16+00:00,ptm soalnya kalo doang flop,ptm soalnya kalo doang flop
2022-01-27 02:01:17+00:00,sama banget udah ptm sekarang pjj ptm,sama banget udah ptm sekarang pjj ptm
2022-01-27 01:28:19+00:00,meeet pagiiiiii dari aku finally ptm hihi,meeet pagiiiiii dari aku finally ptm hihi
2022-01-27 00:50:15+00:00,by the way sebelum ptm wali murid disurvey mau daring atau luring da,way sebelum ptm wali murid disurvey mau daring atau luring da
2022-01-27 00:35:27+00:00,sekolah rin balik ptm gegara ada yang word trs rin milih buat masuk sekolah krn takut,sekolah rin balik ptm gegara ada word trs rin milih buat masuk sekolah krn takut
2022-01-27 00:04:15+00:00,buat kkl kalo ujungnya piknik males banget wahai dkn belum persiapan luring ptm kost dll rekan seangkat,buat kkl kalo ujungnya piknik males banget wahai dkn belum persiapan luring ptm kost dll rekan seangkat
2022-01-26 22:52:48+00:00,disekolahku ptm sehari besoknya pjj,disekolahku ptm sehari besoknya pjj
2022-01-26 22:50:06+00:00,lalu udh gegara kabupaten level omicron jadinya dibuat ptm,lalu udh gegara kabupaten level omicron jadinya dibuat ptm
2022-01-26 22:03:21+00:00,ptm jdi jngn gue duduk jdi di depan,ptm jdi jngn gue duduk jdi di depan
2022-01-26 20:36:15+00:00,kalau balik lagi kebijakan masingmasing sekolah sekolahku menetapkan selama semester kemaren,kalau balik lagi kebijakan masingmasing sekolah sekolahku menetapkan selama semester kemaren
2022-01-26 18:17:34+00:00,mulai mencium aroma aroma ptm,mulai mencium aroma aroma ptm
2022-01-26 18:14:20+00:00,aku masing ada kurlebnya pjj alu jenuh tp enak jd lebih cape fisik ptm asik ktmu tmn,aku masing ada kurlebnya pjj alu jenuh tp enak jd lebih cape fisik ptm asik ktmu tmn
2022-01-26 16:29:06+00:00,males ngotorin seragam buang bensin soalnya cmn pensi doang gt jd ngapain mending,males ngotorin seragam buang bensin soalnya cmn pensi doang gt jd ngapain mending
2022-01-26 16:11:05+00:00,ptm mending kalau ada ulhar online semua aja,ptm mending kalau ada ulhar online semua aja
2022-01-26 15:51:15+00:00,ptm nder kelas sama gantian masuknya per udah dibagi dua sesi selang seling sehari,ptm nder kelas sama gantian masuknya per udah dibagi dua sesi selang seling sehari
2022-01-26 15:37:57+00:00,jujurrr lebih suka ptm tapiii temen gueee bedaa sesiii gue gapunya temen lagi di sesi yang sama kaya gueee,jujurrr lebih suka ptm tapiii temen gueee bedaa sesiii gue gapunya temen lagi di sesi sama kaya gueee
2022-01-26 15:26:25+00:00,besok pengen ijin bleh tapo ptm udah aku gadapet duit tiap lagi serius lagi period enakkk bange,besok pengen ijin bleh tapo ptm udah aku gadapet duit tiap lagi serius lagi period enakkk bange
2022-01-26 15:10:20+00:00,sch sender pengen pjj pengen ptm,sch sender pengen pjj pengen ptm
2022-01-26 15:08:09+00:00,bbalik ptm lagi krn ada yang,bbalik ptm lagi krn ada
2022-01-26 14:55:29+00:00,daripada ptm mending pjj,ptm mending pjj
2022-01-26 14:45:03+00:00,sekolah sender mau balik ptm lagi huhu udah enak full,sekolah sender mau balik ptm lagi huhu udah enak full
2022-01-26 14:40:00+00:00,evaluasi ketentuannya kalau di level katanya di balai kota dki jakarta sumbe,evaluasi ketentuannya kalau di level katanya di balai kota dki jakarta sumbe
2022-01-26 14:38:30+00:00,bsk ptm lagi tp ak galaux lagian kpn jd banyak yang positif elah,bsk ptm lagi tp ak galaux lagian kpn jd banyak positif elah
2022-01-26 14:30:07+00:00,ada temen sebangku krn ptm,ada temen sebangku krn ptm
2022-01-26 14:06:39+00:00,yang kuliah ptm terbatas sedangkan tingkatan paud tk yang jelas ngatur diri sendiri,kuliah ptm terbatas sedangkan tingkatan paud tk jelas ngatur diri sendiri
2022-01-26 13:40:16+00:00,rt perhimpunan pendidikan guru pg meminta gubernur dki jakarta anies baswedan mengevaluasi pelaksanaan ptm pers,rt perhimpunan pendidikan guru pg meminta gubernur dki jakarta anies baswedan mengevaluasi pelaksanaan ptm pers
2022-01-26 13:30:43+00:00,rt sekolah ditutup karena covid pg desak anies ptm persen,rt sekolah ditutup karena covid pg desak anies ptm persen
2022-01-26 13:29:13+00:00,sekolah ditutup karena covid pg desak anies ptm persen,sekolah ditutup karena covid pg desak anies ptm persen
2022-01-26 13:21:37+00:00,ri ptm bs jd daring pjj terutama,ri ptm bs jd daring pjj terutama
2022-01-26 13:19:42+00:00,dom onlen di gue ptm,dom onlen di gue ptm
2022-01-26 13:16:16+00:00,ptm sekolah gue terancam turun jangan doooooong duit jajan gue belum kekumpul sejuta,ptm sekolah gue terancam turun jangan doooooong duit jajan gue belum kekumpul sejuta
2022-01-26 12:52:42+00:00,rt hingga sudah ada sekolah di jakarta ditutup,rt hingga sudah ada sekolah di jakarta ditutup
2022-01-26 12:51:52+00:00,hingga sudah ada sekolah di jakarta ditutup,hingga sudah ada sekolah di jakarta ditutup
2022-01-26 12:51:32+00:00,anakanak sekolah di jakarta yang rada khawatir karena ptm full atau kasus covid lagi,anakanak sekolah di jakarta rada khawatir karena ptm full atau kasus covid lagi
2022-01-26 12:27:27+00:00,deh suka ptm karna ketemu crush pjj karna seru di rumah belajar,deh suka ptm karna ketemu crush pjj karna seru di rumah belajar
2022-01-26 12:10:34+00:00,ptm,ptm
2022-01-26 12:10:10+00:00,assalamualaikum sehubungan naik angka covid di dki apakah layak ptm sementara,assalamualaikum sehubungan naik angka covid di dki apakah layak ptm sementara
2022-01-26 12:09:34+00:00,ngajar sumpah capek banget wes mending entah semua pjj atau semua ptm asal jangan separoh,ngajar sumpah capek banget wes mending entah semua pjj atau semua ptm asal jangan separoh
2022-01-26 12:07:13+00:00,trus ptm kasus udh tambah begini ko ptm di lanjutkankasian anak sement,trus ptm kasus udh tambah begini ko ptm di lanjutkankasian anak sement
2022-01-26 12:02:34+00:00,kalau distopminimal jadi ptm,kalau distopminimal jadi ptm
2022-01-26 11:56:30+00:00,rt pg mendesak anies baswedan kepala daerah sekitar ganti ptm persen jadi persen keselamatan kesehata,rt pg mendesak anies baswedan kepala daerah sekitar ganti ptm persen jadi persen keselamatan kesehata
2022-01-26 11:43:04+00:00,dari awal blended learning pjj ptm,dari awal blended learning pjj ptm
2022-01-26 11:38:53+00:00,aku ptm ptm ptm sesi smpe sekarng,aku ptm ptm ptm sesi smpe sekarng
2022-01-26 11:36:51+00:00,sesi jadi absen pagi ikut mata pelajaran absen ikut mata pelajaran ming,sesi jadi absen pagi ikut mata pelajaran absen ikut mata pelajaran ming
2022-01-26 11:10:20+00:00,rt perhimpunan pendidikan guru pg meminta gubernur dki jakarta anies baswedan mengevaluasi pelaksanaan ptm pers,rt perhimpunan pendidikan guru pg meminta gubernur dki jakarta anies baswedan mengevaluasi pelaksanaan ptm pers
2022-01-26 11:09:23+00:00,besok gua ptm lagi anjir menggabut,besok gua ptm lagi anjir menggabut
2022-01-26 10:59:44+00:00,sch guyss doain daerah tetap safe yaa biar sekolahku tetep jalann walau cuma yang penting tetep ptm,sch guyss doain daerah tetap safe yaa biar sekolahku tetep jalann walau cuma penting tetep ptm
2022-01-26 10:56:02+00:00,ptm asikkk,ptm asikkk
2022-01-26 10:38:54+00:00,rt perhimpunan pendidikan guru pg meminta gubernur dki jakarta anies baswedan mengevaluasi pelaksanaan ptm pers,rt perhimpunan pendidikan guru pg meminta gubernur dki jakarta anies baswedan mengevaluasi pelaksanaan ptm pers
2022-01-26 10:11:23+00:00,bekasi ketularan kayanya nanti br ptm msh pula udh disuruh belajar dari rumah lagi aja krn ada guru yang positip,bekasi ketularan kayanya nanti br ptm msh pula udh disuruh belajar dari rumah lagi aja krn ada guru positip
2022-01-26 10:04:34+00:00,jika jakarta ppkm level ptm persen turun jadi persen,jika jakarta ppkm level ptm persen turun jadi persen
2022-01-26 09:52:31+00:00,ketentuannya kalau ppkm di level ptm turunkan jadi persen kata riza,ketentuannya kalau ppkm di level ptm turunkan jadi persen kata riza
2022-01-26 09:35:33+00:00,pg mendesak anies baswedan kepala daerah sekitar ganti ptm persen jadi persen keselamatan da,pg mendesak anies baswedan kepala daerah sekitar ganti ptm persen jadi persen keselamatan da
2022-01-26 09:34:42+00:00,anak sesi lbh asik tp klo balik ptm lagi sesi,anak sesi lbh asik tp klo balik ptm lagi sesi
2022-01-26 09:34:29+00:00,pg mendesak anies baswedan kepala daerah sekitar ganti ptm persen jadi persen keselamatan da,pg mendesak anies baswedan kepala daerah sekitar ganti ptm persen jadi persen keselamatan da
2022-01-26 09:11:44+00:00,rt pg mendesak anies baswedan kepala daerah sekitar ganti ptm persen jadi persen keselamatan kesehata,rt pg mendesak anies baswedan kepala daerah sekitar ganti ptm persen jadi persen keselamatan kesehata
2022-01-26 09:11:10+00:00,pg mendesak anies baswedan kepala daerah sekitar ganti ptm persen jadi persen keselamatan da,pg mendesak anies baswedan kepala daerah sekitar ganti ptm persen jadi persen keselamatan da
2022-01-26 08:49:07+00:00,sudah ada sekolah ditutup atau menghentikan proses ptm akibat siswa guru positif covid,sudah ada sekolah ditutup atau menghentikan proses ptm akibat siswa guru positif covid
2022-01-26 08:38:57+00:00,rt gue abang sekolah libur atau school home maliq libur tante iyangada kofiiiittt anak sd,rt gue abang sekolah libur atau school home maliq libur tante iyangada kofiiiittt anak sd
2022-01-26 08:20:26+00:00,rt perhimpunan pendidikan guru pg meminta gubernur dki jakarta anies baswedan mengevaluasi pelaksanaan ptm pers,rt perhimpunan pendidikan guru pg meminta gubernur dki jakarta anies baswedan mengevaluasi pelaksanaan ptm pers
2022-01-26 08:15:00+00:00,perhimpunan pendidikan guru pg meminta gubernur dki jakarta anies baswedan mengevaluasi pelaksanaan,perhimpunan pendidikan guru pg meminta gubernur dki jakarta anies baswedan mengevaluasi pelaksanaan
2022-01-26 08:11:06+00:00,waguriza sebut jika jakarta ppkm level ptm persen,waguriza sebut jika jakarta ppkm level ptm persen
2022-01-26 08:02:04+00:00,udaahh sena sena tau mulai gue balik lagi full pjj kemarin dua,udaahh sena sena tau mulai gue balik lagi full pjj kemarin dua
2022-01-26 07:44:27+00:00,ptm di dki tetap dilakukan karena sesuai sk menteri,ptm di dki tetap dilakukan karena sesuai sk menteri
2022-01-26 07:33:21+00:00,rt gue abang sekolah libur atau school home maliq libur tante iyangada kofiiiittt anak sd,rt gue abang sekolah libur atau school home maliq libur tante iyangada kofiiiittt anak sd
2022-01-26 07:29:32+00:00,wagudki sebut ptm dikurangi persen jika status ppkm jakarta naik level,wagudki sebut ptm dikurangi persen jika status ppkm jakarta naik level
2022-01-26 07:28:19+00:00,rt gue abang sekolah libur atau school home maliq libur tante iyangada kofiiiittt anak sd,rt gue abang sekolah libur atau school home maliq libur tante iyangada kofiiiittt anak sd
2022-01-26 06:56:29+00:00,ptm soalnya kalo menurutku kondusif banget kelasku benerbener serame,ptm soalnya kalo menurutku kondusif banget kelasku benerbener serame
2022-01-26 06:17:33+00:00,ada kurangnya sii kalau pjj bener ngerti materi setidaknya kalau mau belajar ganggu yang lain kalau,ada kurangnya sii kalau pjj bener ngerti materi setidaknya kalau mau belajar ganggu lain kalau
2022-01-26 06:15:16+00:00,bstruggle sklh ptm setelah setengah sekolah ptm pulang sekolah belum tentu sekolah sudah,bstruggle sklh ptm setelah setengah sekolah ptm pulang sekolah belum tentu sekolah sudah
2022-01-26 05:22:40+00:00,semoga bpk ri marufamin dpt segera meminta menkes berkoordinasi dengan mendikbudristek,semoga bpk ri marufamin dpt segera meminta menkes berkoordinasi mendikbudristek
2022-01-26 05:16:55+00:00,dua kemarin ptm trs berhubung mas crush kelas aku rapih mau berangkat sekolah hampir sejam,dua kemarin ptm trs berhubung mas crush kelas aku rapih mau berangkat sekolah hampir sejam
2022-01-26 04:38:58+00:00,aku lebih prefer ptm brngkt online soalnya keadaan kaya,aku lebih prefer ptm brngkt online soalnya keadaan kaya
2022-01-26 04:22:40+00:00,ptm disesisesi,ptm disesisesi
2022-01-26 04:15:18+00:00,kalau ptm kemarin cepet gegara mata kuliah doang trs yang dijadiin ptm cuma sks sksnya lagi yang sisa tetep daring tp,kalau ptm kemarin cepet gegara mata kuliah doang trs dijadiin ptm cuma sks sksnya lagi sisa tetep daring tp
2022-01-26 03:32:17+00:00,adil dong yang santer di sorot diberhentiin ptm,adil dong santer di sorot diberhentiin ptm
2022-01-26 03:08:13+00:00,punyaku udh ptm tp ttp pjj xfxfxx xfxfxfxbf capek tugasnya malah jd nambah banyak nder xfxfxxa,punyaku udh ptm tp ttp pjj xfxfxx xfxfxfxbf capek tugasnya malah jd nambah banyak nder xfxfxxa
2022-01-26 03:05:33+00:00,pjj kemarin ptm enak sekarng gaenak cape,pjj kemarin ptm enak sekarng gaenak cape
2022-01-26 02:55:22+00:00,ptm,ptm
2022-01-26 02:53:08+00:00,pjj atau ptm,pjj atau ptm
2022-01-26 02:32:16+00:00,rt arif ptm jg menjadi resiko penyebaran omicron anak yang terdampak,rt arif ptm jg menjadi resiko penyebaran omicron anak terdampak
2022-01-26 02:24:19+00:00,alias gue udah pewe banget sama ptm,alias gue udah pewe banget sama ptm
2022-01-26 02:11:27+00:00,katanya mau ptm lagi awokwkwkkw ngabrut ngakak brutallll,katanya mau ptm lagi awokwkwkkw ngabrut ngakak brutallll
2022-01-26 01:50:47+00:00,emang udah bener ptm deh daripada tp ujung ujungnya bakal pjj semua lagi,emang udah bener ptm deh tp ujung ujungnya bakal pjj semua lagi
2022-01-26 01:46:33+00:00,oiya gue soalnya lgi skolah onlen klian udh ptm atau ptm,oiya gue soalnya lgi skolah onlen klian udh ptm atau ptm
2022-01-26 01:45:05+00:00,udh ptm jdi kaya ptm pjj gituu,udh ptm jdi kaya ptm pjj gituu
2022-01-26 01:30:50+00:00,gue abang sekolah libur atau school home maliq libur tante iyangada kofiiiittt,gue abang sekolah libur atau school home maliq libur tante iyangada kofiiiittt
2022-01-26 01:26:49+00:00,pjj kalo ptm minusnya terlalu banyak tugas sampe kelimpungan plusnya jadi lebih rajin kalo,pjj kalo ptm minusnya terlalu banyak tugas sampe kelimpungan plusnya jadi lebih rajin kalo
2022-01-26 01:16:46+00:00,arif ptm jg menjadi resiko penyebaran omicron anak yang terdampak semoga presiden,arif ptm jg menjadi resiko penyebaran omicron anak terdampak semoga presiden
2022-01-26 00:22:40+00:00,punyaku diakali sie nder pjj ptm dari jadi blanded wkwk,punyaku diakali sie nder pjj ptm dari jadi blanded wkwk
2022-01-25 23:31:37+00:00,kayaknya semua deh mungkin awal awal ketika ada siswa kena word jadi pjj lagi atau ptm,kayaknya semua deh mungkin awal awal ketika ada siswa kena word jadi pjj lagi atau ptm
2022-01-25 23:26:36+00:00,sch sekolah sender mulai bsk ptm lagi sedih banget lebih asik ptm,sch sekolah sender mulai bsk ptm lagi sedih banget lebih asik ptm
2022-01-25 23:25:05+00:00,sekolahku ptm,sekolahku ptm
2022-01-25 23:19:33+00:00,aku mulai besok nder ptm lagi,aku mulai besok nder ptm lagi
2022-01-25 16:55:52+00:00,sekolahku malah ptm ih asalnya sekarng jadi,sekolahku malah ptm ih asalnya sekarng jadi
2022-01-25 16:08:24+00:00,allah sehari ptm tau tau kakel gue positip,allah sehari ptm tau tau kakel gue positip
2022-01-25 16:08:10+00:00,aku justru mau ptm aja sekolahku ptm soalnya aku tipe yang bakal rajin kalo liat langs,aku justru mau ptm aja sekolahku ptm soalnya aku tipe bakal rajin kalo liat langs
2022-01-25 15:55:06+00:00,pjj malah ptm semoga jangan deh,pjj malah ptm semoga jangan deh
2022-01-25 15:52:21+00:00,rt vaksin dosis tercapai sekitar bagi guru tenaga pendidikan lainnya bagi masyarakat lain jakarta jadi,rt vaksin dosis tercapai sekitar bagi guru tenaga pendidikan lainnya bagi masyarakat lain jakarta jadi
2022-01-25 15:03:02+00:00,jujur gue tambah stres ptm jelas,jujur gue tambah stres ptm jelas
2022-01-25 14:54:37+00:00,jalan fine fine aja soalnya jam doang tugasnya udah mulai tolong ud,jalan fine fine aja soalnya jam doang tugasnya udah mulai tolong ud
