id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1.48915E+18,Thu Feb 03 08:20:08 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Evaluasi Kasus Corona di PTM Kota Solo Dilakukan Pertengahan Februari, Dinkes Soroti Soal Prokes
 
https://t.co/jIhOSgMYIa",evaluasi kasus corona ptm kota solo pertengahan februari dinkes soroti prokes,in,0,0,Tribun_Solo,FALSE,,,"Karanganyar, Jawa Tengah",
,,,,,,,,,,,,,
1.48915E+18,Thu Feb 03 08:20:07 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @TeupuguhC: @StopPlandemit @musafirkepo @nadssammellia @natshanabilla @tommymarten @KakaKeyo Guwa lag sedih bangeuuddd...
Sekolah anak s…",guwa lag sedih bangeuuddd sekolah anak s,in,0,3,Harimau_sumbar,,,"TeupuguhC, StopPlandemit, musafirkepo, nadssammellia, natshanabilla, tommymarten, KakaKeyo",,
,,,,,,,,,,,,,
1.48915E+18,Thu Feb 03 08:19:57 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @aadrrrrrrr: ✨Rekomendasi Tas Ransel/Backpack Buat Sekolah✨

Mumpung bentar lagi mau ptm, ada banyak tas2 lucu nihh😍

‼️A Thread‼️ https…",rekomendasi tas ransel backpack sekolahmumpung bentar lagi ptm ada tas lucu nihha thread https,in,0,173,luoysi,,,aadrrrrrrr,close,
,,,,,,,,,,,,,
1.48915E+18,Thu Feb 03 08:19:27 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@subschfess absolutely ptm nder, why? karena introvert atau extrovert, kita sama-sama butuh interaksi sosial untuk menunjang proses perkembangan pikiran kita. kan ada keluarga? ngga ada jaminan semua orang sama-sama punya interaksi yang baik dengan keluarganya sendiri",absolutely ptm nder why introvert extrovert butuh interaksi sosial untuk menunjang proses perkembangan pikiran ada keluarga ada jaminan interaksi keluarganya sendiri,in,0,0,freedomsya,,,subschfess,,
,,,,,,,,,,,,,
1.48915E+18,Thu Feb 03 08:19:21 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mendikbudristek Nadiem Makarim memutuskan untuk menerapkan Pembelajaran Tatap Muka (PTM) Terbatas dengan kapasitas 50 persen.

https://t.co/UrCIYY0gAm",mendikbudristek nadiem makarim memutuskan untuk menerapkan pembelajaran tatap muka ptm terbatas kapasitas,in,0,0,akuratco,FALSE,,,Jakarta Capital Region,
,,,,,,,,,,,,,
