created_at,username,tweet
2022-02-02 04:09:34+00:00,tvOneNews,bpom kasih lampu hijau vaksin sinopharm untuk booster 
2022-02-02 04:09:33+00:00,tvOneNews,kota bekasi capai kasus covid pembelajaran tatap muka dihentikan sementara 
2022-02-02 04:09:28+00:00,MinC900,mewaspadai provokasi kelompok kepentingan terkait penolakan vaksin karena vaksin covid yang telah dipilih pemerintah telah teruji dan terjamin keamanannya prokes tangkal omicron 
2022-02-02 04:09:25+00:00,gettinzeno,ini virus ngeri bener mereka udah ga peduli sama paru manusia tp tujuan penyerangannya mulai bergeser seolah olah nemu cara 
2022-02-02 04:09:24+00:00,hidupsquidward,selamat sore sehubungan dgn meningkatnya covid saya amp team menawarkan kpd tmn saudara yg terpapar covid amp ingin peraw 
2022-02-02 04:09:23+00:00,mistenpolsek,ayo sukseskan vaksinasi covid bagi anak tahun bersama jaga nkri 
2022-02-02 04:09:21+00:00,drjeffaloys,sah sinopharm jadi vaksin booster di indonesia nb sementara untuk yg vaksin primer dengan sinopharm juga alias booster homolog ya 
2022-02-02 04:09:20+00:00,bembeast,saya muak sama ceramah hoaks alfian tanjung saya lebih muak lagi sama kinerja aparat yang kerap menyepelekan aduan netize 
2022-02-02 04:09:19+00:00,cannadiawn,ya allah rb kasus harian aku khawatir sama siswa mahasiswa yang saat ini lagi tatap muka sih apalagi banyak yg belum pada v 
2022-02-02 04:09:16+00:00,Vie__DonnaForte,hukum prokes berlaku hanya utk manusia virus covid takut sm pangeran 
2022-02-02 04:09:14+00:00,ptengki,sudah divaksin sdh m masyarakat harus disiplin bagaimana lagi apa yg harus dilakukan masyarakat lagi utk menyudahi pandemi ini atau jangan cuma bisa menyalahkan masyarakat dan tak punya solusi apa selain vaksin dan m 
2022-02-02 04:09:12+00:00,IluveB_,ya allah rb kasus harian aku khawatir sama siswa mahasiswa yang saat ini lagi tatap muka sih apalagi banyak yg belum pada v 
2022-02-02 04:09:05+00:00,enjel02hebeun,jengking ppkm di jawa bali kembali diperpanjang hingga februari kebijakan pemerintah untuk mencegah penyebran covid 
2022-02-02 04:09:05+00:00,warmspotlight,vaksin booster astra zenecca done gak kerasa apa sejak disuntik sampe skrg tapi hubby langsung kerasa pegel selepas disuntik pdhl rencananya blio mao ngurus kebun abis plg vaksin gagal deh krn tangannya pegel bgt gpp lah istirahat ujan juga pasti di kebun jg ujan 
2022-02-02 04:09:03+00:00,curahanhatinim,klo ada negara ke yg serem utk dikunjungi di saat pandemi it will be usa open border gak ada kewajiban karantina setelah masuk negaranya plus di sana orangnya semau gue pada ga mau pake masker ga mau vaksin 
2022-02-02 04:09:02+00:00,pikiran_rakyat,pemkot bogor hentikan seluruh ptm tiga langkah cepat disiapkan satgas covid 
2022-02-02 04:09:01+00:00,jiminsea95,data bts members rankings jimin jungkook taehyung jin yoongi rm jhope jimin s positivity ratio 
2022-02-02 04:08:57+00:00,enjel02hebeun,jengking presiden mengingatkan seluruh masyarakat untuk waspada terhadap ancaman covid varian omicron yang sudah mula 
2022-02-02 04:08:56+00:00,nuraeni_ely,gubernur jawa timur sngt optimis amp siaap menjdi org peama yg menerima booster vaksin merah putih
2022-02-02 04:08:53+00:00,GilangPrimanda7,seifikat vaksin internasional kini telah tersedia di aplikasi pedulilindungi seifikat ini telah sesuai d 
2022-02-02 04:08:53+00:00,kesygnmertua,bangga kita dengan pengatur kebijakan konsep sederhana yg ditentang masyarakat malah membawa perubahan positif bagi rakyat selama pandemi covid 
2022-02-02 04:08:46+00:00,berlinputras,badai covid liga belum reda pss sleman laporkan pemain positif dan jalani karantina 
2022-02-02 04:08:42+00:00,tribunmedan,ternyata begini efek samping vaksin sinopharm yang dijadikan booster via 
2022-02-02 04:08:40+00:00,neyrashazeyra,aku harap orang macam ni kalau sakit kritikal atau dah nazak nanti xpayah la pi hospital ubat pun tolak vaksin pun tolak biar je la mati naturally gituh 
2022-02-02 04:08:39+00:00,toothfairrryyy,kurang tau nder tapi setauku gaboleh ada yg masuk selama puasa saranku mending gausah puasa dulu biasanya kan ada efek samping setelah vaksin
2022-02-02 04:08:38+00:00,NaviSidhu0077,singh ji insan 
2022-02-02 04:08:36+00:00,Pol4rist4r,my husband plak x bg booster dulu tunggu lepas beranak sbb mas st dose dah keguguran btw kami family dah pernah kena covid alhamdulillah cat sahaja walaupun masa tu x vaksin lagi 
2022-02-02 04:08:29+00:00,CanisMajorAlpha,anak belom tinggi cakupan vaksin belom semua kategori umur masuk belom banyak dosis komplit jumlah bed picu memang tidak banyak ngei ga goblok 
