date,tweet_original,tweet
2021-11-27 17:44:06+00:00,Please jangan pjj lagi please. Pengen ngehabisin waktu yang tersisa sblm lulus dengan sebaik mungkin. ,please jangan pjj lagi please pengen ngehabisin tersisa sebelum lulus sebaik mungkin
2021-11-27 17:38:05+00:00,"jgn smpe ni tmn2 kmps terpapar grgr ptm, awas ja dibatalkan ptm krna nunggu kena dlu.",jangan smpe tmn kampus terpapar gegara ptm awas sja dibatalkan ptm karena nunggu kena dulu
2021-11-27 17:36:48+00:00,mulai mencium aroma aroma ptm 50% nih,mulai mencium aroma aroma ptm
2021-11-27 17:36:29+00:00,Aku padahal nanti pagi ptm tapi belum bisa tidur,aku nanti pagi ptm belum tidur
2021-11-27 17:32:42+00:00,"aku 50:50 sih. masing2 ada kurlebnya. pjj alu jenuh, tp enak jd lebih ga cape fisik. ptm asik ktmu tmn2",besok gue ptm anjir gabisa tidur lagi
2021-11-27 17:24:39+00:00,"Ptm jangan berenti pliss, stress gua dirumah tai",ptm jangan berhenti plis stress gua dirumah tai
2021-11-27 17:17:17+00:00,"besok w ptm, tapi gabisa tidur anyink",besok ptm gabisa tidur anjing
2021-11-27 17:16:36+00:00, Lebih baik distop dulu #ptm untuk sementara waktu melihat kasus penularannya yg lebih cepat daripada pjj,lebih baik distop sementara melihat kasus penularannya lebih cepat pjj
2021-11-27 17:05:23+00:00,klo ptm enaknya gue bs ketemu guru terus praktek ayEy,kalau ptm enaknya gue ketemu guru praktek ayey
2021-11-27 17:05:20+00:00,"gueEEE apaya,, gue suka ptm.... pas kbm nya aja .... gue ga mau ke sekolah",gue gue suka ptm kbm aja gue mau sekolah
2021-11-27 17:04:34+00:00,sumpah bisa ga sih gw ga ptm,sumpah gue ptm
2021-11-27 16:59:01+00:00,Sumpah kalo dalam waktu dekat gak ptm lagi aku di prank banget sama semesta,sumpah kalau dalam dekat ptm lagi aku prank banget sama semesta
2021-11-27 16:57:50+00:00,d siang di tv katanya ada 90an murid kena weh serem ptm 100 persen ,tv katanya ada murid kena weh serem ptm persen
2021-11-27 16:56:33+00:00,ihh besok ptm males banget,ihh besok ptm males banget
2021-11-27 16:56:12+00:00,"kampus gua rencananya semester depan udh ptm, jujur seneng bgt tp degdegan jg karena udah lama ga masuk kelas",kampus gua rencananya semester depan sudah ptm jujur seneng banget degdegan jg karena udah lama masuk kelas
2021-11-27 16:54:32+00:00,ini omicron lagi naik naiknya apa ga ada pencegahan buat ngga maksain ptm dlu ga sih?:( apa nunggu ada yg kena dulu,omicron lagi naik naiknya ada pencegahan buat maksain ptm dulu nunggu ada kena
2021-11-27 16:50:47+00:00,"Kalo ku sih ptm, penjelasan lebih dipahami dan tugas dikit karna menekan ke pemahaman. Klo PJJ gila tugas",kalau ptm penjelasan lebih dipahami tugas dikit karena menekan pemahaman kalau pjj gila tugas
2021-11-27 16:47:33+00:00,"ptm, soalnya pelajaran lebih meresap",ptm soalnya pelajaran lebih meresap
2021-11-27 16:44:47+00:00,"di sekolahku lagi pada ngeluh sakit sendi, flu batuk, sama badan anget gitu. udh banyak yg ngalamin, termasuk aku sendiri. PTM 100%",sekolahku lagi ngeluh sakit sendi flu batuk sama badan anget sudah banyak ngalamin termasuk aku sendiri ptm
2021-11-27 16:40:11+00:00,@guanhengera semenjak ptm kerjaan gua kalo gk tidur ya ketiduran',semenjak ptm kerjaan gua kalau tidur ya ketiduran
2021-11-27 16:39:19+00:00," Wkwk biasanya baru bisa tidur jam segitu kaaa Wahaaa enak yah kaa, aku males banget sekarang ptm",wkwk biasanya tidur jam segitu kaaa wah enak aku males banget sekarang ptm
2021-11-27 16:34:10+00:00,Yang kemarin ngotot PTM 100% dengan banyak kasusnya covid di sekolah Sekarang ngumpet ya?',kemarin ngotot ptm banyak kasusnya covid di sekolah sekarang ngumpet ya
2021-11-27 16:33:01+00:00,"Gue sekolah PTM kek buat HEALING bisa ketawa, cekikikan, di rumah belum tentu bisa kek gitu",gue sekolah ptm kayak buat healing ketawa cekikikan di rumah belum tentu kayak
2021-11-27 16:29:57+00:00,"udah semester 6, baru awal ptm full pula, tapi tugasnya masih sama kek pas daring, bedanya yg sekrang banyak tugas",udah semester awal ptm full pula tugasnya sama kayak daring bedanya sekrang banyak tugas
2021-11-27 16:28:13+00:00,cape ptm jujur,cape ptm jujur
2021-11-27 16:26:49+00:00,'gua msh mau main hp tapi besok kan ptm :)))))',gua msh mau main hp besok ptm
2021-11-27 16:25:22+00:00,Speechless.. sama pemda DKI yang tetap ngotot PTM 100%\nPadahal dulu paling ngotot jakarta harus di lockdown ,speechless sama pemda dki tetap ngotot ptm paling ngotot jakarta lockdown
2021-11-27 16:14:03+00:00, masih menemukan banyak pelanggaran prokes dalam pelaksanaan PTM 100 persen,menemukan banyak pelanggaran prokes dalam pelaksanaan ptm persen
2021-11-27 16:11:55+00:00,"Siapa yang bilang semenjak ptm jadi ga stress lagi, yang ada makin stress AJG'",semenjak ptm jadi stress lagi ada makin stress anjing
2021-11-27 16:01:29+00:00,"Sama ky ponakan sy mak dok Sy bersikeras bilang ke ortunya jgn pernah mau di vaksin demi PTM,daring aja",sama kaya ponakan saya mak dok saya bersikeras ortunya jangan pernah mau vaksin ptm daring aja
2021-11-27 15:57:49+00:00,"yyy betul , sbnrnya pjj enak ptm jg enak , tp skrng kasus omicorn lagi naik mending pjj dlu deh :( ngeri cuy",ya betul sebenarnya pjj enak ptm enak sekarang kasus omicorn lagi naik mending pjj dulu deh ngeri cuy
2021-11-27 15:52:30+00:00,"Gatau deh masing2 punya kelebihan yang gua butuhin.. pjj = for uh/uas dkk, ptm = gampang dimengerti'",gatau deh masing punya kelebihan gua butuhin pjj uhuas dkk ptm gampang dimengerti
2021-11-27 15:52:27+00:00," kemarin dah kena, skrg ptm lagi'",kemarin dah kena sekarang ptm lagi
2021-11-27 15:49:30+00:00,btw ya.. audeh nangis besok ptm huuuuuuuuuuuu',way ya audeh nangis besok ptm huhu
2021-11-27 15:41:11+00:00,Shift 2 bikin aku lelah banget nget nget sampai skrg masih ngerjain tugas klo pagi2 ngerjainnya takut ga selesai ka,shift aku lelah banget nget nget sampai sekarang ngerjain tugas kalau pagi ngerjainnya takut selesai
2021-11-27 15:39:29+00:00,aa gak mau udah lumayan nyaman ptm ntar otak ku bodoh lagi,aa mau udah lumayan nyaman ptm bentar otak bodoh lagi
2021-11-27 15:39:09+00:00,Minggu depan PTM 100% Gak mau pengen per sesi aja masa setiap hari harus hapalan bahasa Inggris sama keagamaan pusing,depan ptm mau pengen per sesi aja masa setiap hapalan bahasa inggris sama keagamaan pusing
2021-11-27 15:38:20+00:00,@PartaiSocmed: Hanya berupa teguran. Sudah kami ingatkan berkali2 prokes tidak mungkin diterapkan di sekolah tanpa sanksi tegas,berupa teguran sudah ingatkan berkali prokes mungkin diterapkan sekolah sanksi tegas
2021-11-27 15:33:30+00:00,"males, ngotorin seragam, buang bensin, soalnya pas hari itu tuh cmn pensi doang gt jd ya ngapain mending di rumah",males ngotorin seragam buang bensin soalnya cuma pensi doang jadi ya ngapain mending rumah
2021-11-27 15:31:51+00:00,ni kyknya sekolah lain udh pada balik pjj lagi sekolah gue masih tetep ptm aneh',kayaknya sekolah lain sudah balik pjj lagi sekolah gue tetap ptm aneh
2021-11-27 15:27:50+00:00,@v1scasa kalau w punya cewe mending ptm sih tar biar bisa bucin plek plek plek tiap hari,kalau punya cewe mending ptm tar biar bucin plek plek plek tiap
2021-11-27 15:26:53+00:00,"sekelas positif covid semua, kantin ama kopsis sekolah ditutup tpi tetep disuruh ptm",sekelas positif covid semua kantin sama kopsis sekolah ditutup tetap disuruh ptm
2021-11-27 15:22:54+00:00,schfess Pjj krna PTM tmn ku pada gak asik tpi KLO pjj capek juga gak kuat ngerjain tugas yg gk masuk ke otak tpi klo,pjj karena ptm teman asik kalau pjj capek kuat ngerjain tugas masuk otak kalau
2021-11-27 15:22:38+00:00,"lemes bre ptm isinya kerkom, praktek, laporan, presentasi. niatnya mau kejar materi malah isinya gitu'",lemes bre ptm isinya kerja kelompok praktek laporan presentasi niatnya mau kejar materi malah isinya
2021-11-27 15:20:06+00:00," Kalau PTM di ganti dengan belajar online, trus pelajar yang vaksin kemarin sampai ada yang dipaksa",kalau ptm di ganti belajar online trus pelajar vaksin kemarin sampai ada dipaksa
2021-11-27 15:16:21+00:00,"Awal 2022 wow... di bercandain PTM dadakan awal tahun, terus nyaman PTM 3 Minggu walau dengan tugas yang numpuk numpuk",awal wow bercandain ptm dadakan awal nyaman ptm walau tugas numpuk numpuk
2021-11-27 15:16:19+00:00,"Setelah ptm, aku jadi males banget",setelah ptm aku jadi males banget
2021-11-27 15:13:34+00:00,ptm 50% mending kl ada ulhar online semua aja,ptm mending kalau ada ulhar online semua aja
2021-11-27 15:12:07+00:00,takut nanti pjj lagi. jjur sebenernya gue jg maless ptm tp ni tugas kelompok banyak bgt.. gw males klo ngerjainnya onlen onlenan ribet',takut nanti pjj lagi jujur sebenernya gue males ptm tugas kelompok banyak banget gue males kalau ngerjainnya online online ribet
2021-11-27 15:10:25+00:00,"mau nangis aja, sekolahku balik ke sistem pjj.. bismillah bisa balik ptm lagi:((",mau nangis aja sekolahku balik sistem pjj bismillah balik ptm lagi
2021-11-27 15:09:16+00:00,schfess Males yakin sama siswa/ guru yang buka masker seenaknya pas PTM,males yakin sama siswa guru buka masker seenaknya ptm
2021-11-27 15:06:59+00:00,hoo kentut ptm kentut kentut,hoo kentut ptm kentut kentut
2021-11-27 15:04:08+00:00,aku dengar dari kalian PTM masih 100% ya? masih tatap muka belajarnya dan kerjanya pun masih belum WFH. padahal kasus udah pada naik,aku dengar dari kalian ptm ya tatap muka belajarnya kerjanya belum wfh kasus sudah naik
2021-11-27 15:03:07+00:00,"@schfess Gak punya temen sebangku, duduk nya sendiri karna blum ptm 1000%",punya temen sebangku duduk sendiri karena belum ptm
2021-11-27 14:59:40+00:00,@schfess Ptm. Pjj membuatku malas belajar,ptm pjj membuatku malas belajar
2021-11-27 14:59:09+00:00,mending turu bsk ptm tai kucing,mending turu besok ptm tai kucing
2021-11-27 14:55:55+00:00,YOLAHH gue seneng si pjj lagi tpi ptm tuh lebih seruu rasanya,yolahh gue seneng pjj lagi ptm lebih seru rasanya
2021-11-27 14:54:05+00:00,@Iandryx Enak bener ga ptm,enak bener ptm
2021-11-27 14:49:07+00:00,update terkini aku wes mulai bosen PTM',update terkini aku wes mulai bosen ptm
2021-11-27 14:48:53+00:00,@mindianie SAMA bayangin km ptm terus tetep dikasih tugas',sama bayangin ptm tetap dikasih tugas
2021-11-27 14:44:01+00:00,"Udah hari rabu aja nih. Awalai hari ini dengan semangat! walaupun sekolah udah PTM 100%, tapi tetap harus belajar",sudah aja awali semangat walaupun sekolah sudah ptm tetap belajar
2021-11-27 14:42:39+00:00,'ptm membuatku sibuk,ptm membuatku sibuk
2021-11-27 14:39:33+00:00,"es pjj tapi jangan kelamaan, kayaknya aku bakal kangen ptm",es pjj jangan kelamaan kayaknya aku bakal kangen ptm
