created_at,username,tweet
7/29/2021 3:13,KrupuKKetan,brai vaksin aszen bekerja dengan cara fitnah ya 
,,
7/29/2021 3:13,Kelvin_Lusichi,campaign imeanza sasa mnataka kudanganywa vile nyinyi kama wakikuyu nyinyi kama waluhya nyinyi kama wakalenjin nyinyi 
,,
7/29/2021 3:13,ssupzecha,at least kj lepaslah tahap minimum jadi menteri buat kerja jawab soalan cuba kau bayangkan adham baba urus vaksin nak 
,,
7/29/2021 3:13,inshafiqahz,at least kj lepaslah tahap minimum jadi menteri buat kerja jawab soalan cuba kau bayangkan adham baba urus vaksin nak 
,,
7/29/2021 3:13,namdobal,vaksin apa enggak 
,,
7/29/2021 3:13,iqbalhafizon,alfansi jangan sampe donor kecewa dengan tata kelola vaksin di level domestik mas jadi co chair covax gavi teriak soal vaccines inequity tapi di dalam negeri malah sebaliknya 
,,
7/29/2021 3:13,krisnawan1977,polsek seltim berbagai dimasa pandemi corona
,,
7/29/2021 3:13,lovelychoding,bete ga jadi vaksin ke abisan kuota udah penuh padahal ku pagi dateng nya tetep ga kebagian 
,,
7/29/2021 3:13,opinidion,lagi dan lagi dapet kabar teman kerja di tempat lama meninggal akibat gagal nafas setelah sesak nafas beliau didiagnosis positif covid beliau koki yang asik baik hati dan suka becanda selalu jadi imam anak di mushola tempat kerja orang baik ditempatkan terbaik amin
,,
7/29/2021 3:13,bunk_zae,belum terkendali covid ri tambah kasus hari ini silahkan datang biar ditunjukin ke komuknya 
,,
7/29/2021 3:13,junkcok,pembatalan vaksin berbayar membuat kita belajar bacot di media sosial ada gunanya terutama jika kita hidup di negara yang p 
,,
7/29/2021 3:13,DitbinmasJateng,pemerintah bersama dengan tni polri saling bahu membahu dalam membantu masyarakat yang sedang berjuang dengan covid komitmen atasi pandemi 
,,
7/29/2021 3:13,bangko_polsek,lindungi diri dari penularan covid 
,,
7/29/2021 3:13,ketutsatriawan4,parfum terenak adalah pelukanmu dan vaksin terbaik adalah bibirmu
,,
7/29/2021 3:13,the_disc0_,moderna jadi rebutan pejabat pejabat yg sama nyuruh kita percaya vaksin nusantara 
,,
7/29/2021 3:13,herurief,gagal vaksin mergo e tiket belum keluar sabar sabar 
,,
7/29/2021 3:13,jen_l4u,pemerintah sediakan bagi yang mau jangan dipaksakan pak banyak kasus efek samping amp produsen vaksin menyatakan tidak akan tanggung jawab 
,,
7/29/2021 3:13,ANTARABengkulu,indonesia hasilkan teknologi olah dan daur ulang limbah medis covid antara news bengkulu 
,,
7/29/2021 3:13,hayatunsyahidah,info covid menambah varian baru halah bsns mulu terus aja nambah tuh varian said org yg ga pernah maskeran dia g sa 
,,
7/29/2021 3:13,nabilatiqah_,setiap tahun ada wabak yang ragut ribuan jutaan nyawa the great plague kole 
,,
7/29/2021 3:13,MOCHISUCK,mules besok w vaksin di sekolah tp gjls ada bus ke rumah eyang w apa kgk
,,
7/29/2021 3:13,MashesZ,pastikan anda sihat bebas daripada sebarang simptom dan tidak mempunyai kemungkinan dijangkiti covid sebelum hadir ke ppv 
,,
